"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",876,0.00570776255707763,0.0376712328767123,0.0139436532425359,0.0529482654604613
"BWI",561,0.0071301247771836,0.0588235294117647,0.019244066861633,0.0822297667605117
"CLT",27,0,0.148148148148148,0.152763434119102,0.335464950020664
"DAL",2090,0.00813397129186603,0.0674641148325359,0.0132178400680945,0.0793149227240188
"DEN",1598,0.0131414267834793,0.0838548185231539,0.0203012235397392,0.0988213666200218
"DFW",2113,0.0269758637008992,0.0861334595362045,0.035024425205227,0.0991608624889042
"HOU",1025,0.0117073170731707,0.0751219512195122,0.0208282152862702,0.0933725802095151
"IAH",1206,0.0140961857379768,0.0737976782752902,0.0228504806156159,0.0903697004143385
"JFK",299,0.0133779264214047,0.0802675585284281,0.0358093472223901,0.11798906780368
"LAS",1507,0.0072992700729927,0.0643662906436629,0.0133554036491257,0.0782506913683234
"LAX",2185,0.0105263157894737,0.0745995423340961,0.0159628745181925,0.0866620667343636
"MCI",352,0,0.0397727272727273,0.0135406486363529,0.0669049383805727
"MCO",100,0,0.05,0.0461644104379188,0.116445397892612
"MDW",720,0.025,0.0875,0.0398064462383763,0.111027175506749
"MSP",282,0.00354609929078014,0.0283687943262411,0.0225380606789377,0.0566888195182313
"OAK",902,0.00776053215077605,0.0476718403547672,0.0165233159996553,0.0641048295765068
"ORD",675,0.0355555555555556,0.121481481481481,0.0530204471478519,0.14898240027961
"PDX",266,0.0037593984962406,0.0225563909774436,0.0238696401805075,0.0502682179669564
"PHX",3016,0.0109416445623342,0.0507294429708223,0.0154845681836435,0.0593550986700123
"SAN",720,0.00277777777777778,0.0527777777777778,0.011034440568905,0.0722302807994711
"SEA",581,0.00516351118760757,0.0275387263339071,0.0161589457273171,0.0450490917197618
"SFO",366,0.0136612021857923,0.112021857923497,0.0330843482589586,0.149538557930853
"SLC",1031,0.000969932104752667,0.0242483026188167,0.00624065462293181,0.0359959973789484
