"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1026,0.00779727095516569,0.0497076023391813,0.0158192026337665,0.0652239466804603,0.00853614239011987,0.0510166358595194
"BWI",1868,0.0187366167023555,0.0765524625267666,0.0261990916194455,0.0898139335487899,0.0187319884726225,0.0765072765072765
"CLT",719,0.00973574408901252,0.0417246175243394,0.0206950742124937,0.059558094800813,0.0105766809367917,0.0441290322580645
"DEN",3,0,0,0.627208174095541,0.627208174095541,0.0179028132992327,0.0711864406779661
"DTW",636,0.00943396226415094,0.050314465408805,0.021283418326597,0.0708561051500957,0.0104049493813273,0.0523121387283237
"EWR",77,0,0.025974025974026,0.0591764199999356,0.097530668792275,0.00919842312746386,0.0466165413533835
"FLL",317,0.00630914826498423,0.0378548895899054,0.0248442359971627,0.0664121745433469,0.00866904640489546,0.0434316353887399
"IAD",39,0.0512820512820513,0.230769230769231,0.18161425734751,0.388889618165319,0.0297723292469352,0.138947368421053
"LAS",301,0.00332225913621262,0.129568106312292,0.0211377801616935,0.173489997187346,0.00637958532695375,0.121008403361345
"MCO",691,0.0115774240231548,0.0723589001447178,0.0234228634009641,0.0947801167736636,0.0122683372487601,0.0725568942436412
"MDW",730,0.0205479452054795,0.0876712328767123,0.0342645198254015,0.111035931275465,0.020367610531545,0.0867684478371501
"MSP",142,0.00704225352112676,0.0915492957746479,0.0440296356263637,0.152995039853492,0.0110497237569061,0.0868686868686869
"ORD",974,0.0297741273100616,0.151950718685832,0.0429014563092534,0.176419540840591,0.0289744567289363,0.147766990291262
"RSW",5,0,0,0.499382028649922,0.499382028649922,0.0174563591022444,0.0688524590163934
"TPA",422,0.00947867298578199,0.0853080568720379,0.0255031861234332,0.116821851469677,0.0108608205953339,0.0841004184100418
