"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",98,0,0.0816326530612245,0.0470643153730982,0.156926788153928
"DEN",473,0.00634249471458774,0.0824524312896406,0.0198084598336595,0.11162161655204
"DFW",120,0,0.0666666666666667,0.0387542298700925,0.129549781842122
"EWR",9,0,0,0.353982657103997,0.353982657103997
"HNL",260,0,0.0230769230769231,0.018248837186509,0.0514033522370543
"IAH",84,0,0.166666666666667,0.0545011497917969,0.264048548521208
"KOA",45,0,0,0.0973490362380913,0.0973490362380913
"LAS",146,0,0.0136986301369863,0.032063384449516,0.0529753752656867
"LAX",404,0.00247524752475248,0.0148514851485149,0.0158121138475813,0.0333360792551766
"LGB",111,0,0.036036036036036,0.0417715150548425,0.0936475488141951
"MSP",673,0.00297176820208024,0.0237741456166419,0.0117993584262007,0.0389537940708605
"OGG",67,0,0.0746268656716418,0.0674409233585537,0.169350515563128
"ORD",668,0.0149700598802395,0.0763473053892216,0.0280745024155594,0.0996640677627755
"PDX",897,0.00111482720178372,0.00891861761426979,0.00716795750470795,0.0180792008548169
"PHX",412,0.0121359223300971,0.0315533980582524,0.0294394083962278,0.0543390234569234
"SEA",6643,0.00436549751618245,0.0272467258768629,0.00633511835010916,0.0315451276981339
"SFO",173,0,0.132947976878613,0.0271887113724072,0.193598387573973
"SLC",101,0,0.0396039603960396,0.0457272401316962,0.102447140981262
