"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ATL",98,0.0102040816326531,0.0918367346938776,0.0628703799408542,0.169268365195272,0.0138568129330254,0.0857142857142857,98,0,0.0816326530612245,0.0470643153730982,0.156926788153928,0.00808314087759815,0.0792207792207792
"DEN",468,0.00427350427350427,0.0876068376068376,0.01691316691794,0.117591567636158,0.00625920471281296,0.0862595419847328,473,0.00634249471458774,0.0824524312896406,0.0198084598336595,0.11162161655204,0.00802626778547975,0.0816635160680529
"DFW",120,0,0.0666666666666667,0.0387542298700925,0.129549781842122,0.00717213114754098,0.0693181818181818,120,0,0.0666666666666667,0.0387542298700925,0.129549781842122,0.00717213114754098,0.0693181818181818
"EWR",9,0,0.111111111111111,0.353982657103997,0.464478315480846,0.0166270783847981,0.08,9,0,0,0.353982657103997,0.353982657103997,0.0166270783847981,0.0646153846153846
"HNL",260,0,0.0269230769230769,0.018248837186509,0.0564274259405368,0.00417661097852029,0.0354430379746835,260,0,0.0230769230769231,0.018248837186509,0.0514033522370543,0.00417661097852029,0.0322784810126582
"IAH",87,0.0344827586206897,0.183908045977011,0.102720213270916,0.28131741016835,0.0271270036991369,0.141258741258741,84,0,0.166666666666667,0.0545011497917969,0.264048548521208,0.00879396984924623,0.13
"KOA",44,0,0,0.0993515546035977,0.0993515546035977,0.011744966442953,0.042,45,0,0,0.0973490362380913,0.0973490362380913,0.0116472545757072,0.0415841584158416
"LAS",146,0.00684931506849315,0.0273972602739726,0.0428619042659763,0.072,0.0108499095840868,0.0405940594059406,146,0,0.0136986301369863,0.032063384449516,0.0529753752656867,0.00632911392405063,0.0306930693069307
"LAX",403,0,0.0148883374689826,0.0118463614592122,0.033417647947806,0.00292764533667921,0.0222222222222222,404,0.00247524752475248,0.0148514851485149,0.0158121138475813,0.0333360792551766,0.00500834724540901,0.0221739130434783
"LGB",111,0,0.027027027027027,0.0417715150548425,0.0815116108580999,0.0075187969924812,0.0431137724550898,111,0,0.036036036036036,0.0417715150548425,0.0936475488141951,0.0075187969924812,0.0491017964071856
"MSP",672,0.00595238095238095,0.0357142857142857,0.0160905177442637,0.0532544378698225,0.00722698072805139,0.0387362637362637,673,0.00297176820208024,0.0237741456166419,0.0117993584262007,0.0389537940708605,0.0045442395081529,0.0277091906721536
"OGG",66,0.0151515151515152,0.0303030303030303,0.0912722574765999,0.112629046426013,0.0169971671388102,0.0508196721311475,67,0,0.0746268656716418,0.0674409233585537,0.169350515563128,0.00984528832630099,0.0747967479674797
"ORD",668,0.0134730538922156,0.0583832335329341,0.0261588327166126,0.0794783241300748,0.0139935414424112,0.0596685082872928,668,0.0149700598802395,0.0763473053892216,0.0280745024155594,0.0996640677627755,0.0153390742734123,0.0762430939226519
"PDX",898,0.0044543429844098,0.0144766146993318,0.0120650316804141,0.0251455544125463,0.00554870530209618,0.0180293501048218,897,0.00111482720178372,0.00891861761426979,0.00716795750470795,0.0180792008548169,0.00246862785435096,0.0128016789087093
"PHX",412,0.0145631067961165,0.0436893203883495,0.032697589834344,0.0690543680486565,0.0151888341543514,0.0474358974358974,412,0.0121359223300971,0.0315533980582524,0.0294394083962278,0.0543390234569234,0.013136288998358,0.0367521367521368
"SEA",6647,0.00601775236949,0.023469234241011,0.00825747883683432,0.0274904840300482,0.00615869804528279,0.0238997463822169,6643,0.00436549751618245,0.0272467258768629,0.00633511835010916,0.0315451276981339,0.00452502158316216,0.0276459173010897
"SFO",177,0.0225988700564972,0.146892655367232,0.0597629647760902,0.208453360383896,0.021411578112609,0.129613733905579,173,0,0.132947976878613,0.0271887113724072,0.193598387573973,0.0056406124093473,0.118777292576419
"SLC",100,0,0.03,0.0461644104379188,0.0900318130203899,0.00799086757990868,0.0461538461538462,101,0,0.0396039603960396,0.0457272401316962,0.102447140981262,0.00794551645856981,0.0522292993630573
