"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",98,0.0102040816326531,0.0918367346938776,0.0628703799408542,0.169268365195272,0.0138568129330254,0.0857142857142857
"DEN",468,0.00427350427350427,0.0876068376068376,0.01691316691794,0.117591567636158,0.00625920471281296,0.0862595419847328
"DFW",120,0,0.0666666666666667,0.0387542298700925,0.129549781842122,0.00717213114754098,0.0693181818181818
"EWR",9,0,0.111111111111111,0.353982657103997,0.464478315480846,0.0166270783847981,0.08
"HNL",260,0,0.0269230769230769,0.018248837186509,0.0564274259405368,0.00417661097852029,0.0354430379746835
"IAH",87,0.0344827586206897,0.183908045977011,0.102720213270916,0.28131741016835,0.0271270036991369,0.141258741258741
"KOA",44,0,0,0.0993515546035977,0.0993515546035977,0.011744966442953,0.042
"LAS",146,0.00684931506849315,0.0273972602739726,0.0428619042659763,0.072,0.0108499095840868,0.0405940594059406
"LAX",403,0,0.0148883374689826,0.0118463614592122,0.033417647947806,0.00292764533667921,0.0222222222222222
"LGB",111,0,0.027027027027027,0.0417715150548425,0.0815116108580999,0.0075187969924812,0.0431137724550898
"MSP",672,0.00595238095238095,0.0357142857142857,0.0160905177442637,0.0532544378698225,0.00722698072805139,0.0387362637362637
"OGG",66,0.0151515151515152,0.0303030303030303,0.0912722574765999,0.112629046426013,0.0169971671388102,0.0508196721311475
"ORD",668,0.0134730538922156,0.0583832335329341,0.0261588327166126,0.0794783241300748,0.0139935414424112,0.0596685082872928
"PDX",898,0.0044543429844098,0.0144766146993318,0.0120650316804141,0.0251455544125463,0.00554870530209618,0.0180293501048218
"PHX",412,0.0145631067961165,0.0436893203883495,0.032697589834344,0.0690543680486565,0.0151888341543514,0.0474358974358974
"SEA",6647,0.00601775236949,0.023469234241011,0.00825747883683432,0.0274904840300482,0.00615869804528279,0.0238997463822169
"SFO",177,0.0225988700564972,0.146892655367232,0.0597629647760902,0.208453360383896,0.021411578112609,0.129613733905579
"SLC",100,0,0.03,0.0461644104379188,0.0900318130203899,0.00799086757990868,0.0461538461538462
