"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",875,0.00914285714285714,0.0365714285714286,0.0185306900553656,0.0516884373879741
"ALB",1026,0.00974658869395711,0.0477582846003899,0.0183375985690776,0.063033750643012
"ANC",98,0.0102040816326531,0.0918367346938776,0.0628703799408542,0.169268365195272
"AUS",3379,0.00562296537437112,0.0402485942586564,0.00890826506982166,0.0475939968229225
"BDL",3091,0.0129407958589453,0.0459398252992559,0.0177296399234321,0.0540985558391677
"BHM",3189,0.00501724678582628,0.0417058639071809,0.0082872942057482,0.0494022379440524
"BNA",3372,0.00771055753262159,0.0480427046263345,0.0114155885655169,0.0559782725138041
"BOS",5276,0.0181956027293404,0.0587566338134951,0.0222754523973348,0.0655809465349879
"BTR",2760,0.0123188405797101,0.102898550724638,0.0173377699915776,0.115059842973338
"BUF",1723,0.00580383052814858,0.0336622170632618,0.0109462021313995,0.0435555538865296
"BWI",6139,0.0143345821795081,0.0651571917250366,0.0177167773426944,0.0717508713134783
"CHS",3374,0.00592768227622999,0.0323058684054535,0.00928070876599582,0.0389941437515009
"CID",1007,0.0248262164846077,0.0933465739821251,0.0368472760735895,0.113395001721433
"CLE",2751,0.00981461286804798,0.0472555434387495,0.0144150612359575,0.0560511857877111
"CLT",6889,0.00479024531862389,0.0480476121352881,0.00678979860169018,0.0534751327752689
"CMH",3427,0.00496060694484972,0.0452290633206886,0.00807159018046284,0.0528941570117676
"COS",342,0,0.0292397660818713,0.0139313313079211,0.0543554936892586
"CVG",2459,0.00569337128914193,0.0402602684017893,0.00973364721511953,0.0489985071794996
"DAL",2511,0.0159299084030267,0.0637196336121067,0.02181025791658,0.0742037170498257
"DAY",1422,0.00351617440225035,0.0457102672292546,0.00861044816648642,0.0581917906765426
"DCA",6952,0.0168296892980437,0.0676064441887227,0.0202170784959826,0.0738860031669213
"DEN",5183,0.00829635346324522,0.0530580744742427,0.011250835518306,0.0596463546108688
"DFW",7723,0.0155380033665674,0.0805386507833743,0.0186250336830414,0.0869548655065122
"DSM",1020,0.00882352941176471,0.0450980392156863,0.0171850835720906,0.0600856926352233
"DTW",5092,0.00432050274941084,0.0498821681068342,0.00662771970665557,0.0563551562255272
"ELP",708,0.00423728813559322,0.0367231638418079,0.0132814684904892,0.053894417618035
"EWR",5311,0.0254189418188665,0.0873658444737338,0.0301233732084097,0.0954351801798911
"FLL",7572,0.00567881669307977,0.0379027997886952,0.00770545182995048,0.0425482047784448
"GEG",9,0,0,0.353982657103997,0.353982657103997
"GRR",1317,0.00759301442672741,0.0341685649202733,0.0143048171433208,0.0457722801369473
"GSO",2810,0.00604982206405694,0.0562277580071174,0.00983948718973662,0.0655893696855502
"GSP",2610,0.00804597701149425,0.0494252873563218,0.0124519404621592,0.0586496114453268
"HNL",365,0.00273972602739726,0.0383561643835616,0.0174796508480862,0.0645654098577451
"HOU",4587,0.012862437322869,0.0636581643775888,0.0166666039202473,0.0712647924709956
"HPN",2149,0.0321079571893904,0.129362494183341,0.0406744537612205,0.144549217016102
"IAD",3208,0.00841645885286783,0.0773067331670823,0.0123666247331582,0.0872874223636237
"IAH",4500,0.00777777777777778,0.078,0.0109048518217643,0.0863841071354941
"ICT",1202,0.00831946755407654,0.0557404326123128,0.0156663751121621,0.0705895469500143
"IND",4044,0.00321463897131553,0.0432739861523244,0.00561551430406431,0.0501531719771892
"JAN",2441,0.008603031544449,0.0475215075788611,0.013311428337988,0.0569303972593163
"JAX",5462,0.00457707799340901,0.0399121201025265,0.00683618844068613,0.045565619574507
"JFK",2075,0.0139759036144578,0.0833734939759036,0.0202271264537003,0.0963537792811371
"LAS",4101,0.00780297488417459,0.0407217751767861,0.0111116950139818,0.0473712969959234
"LAX",5457,0.00751328568810702,0.0382994319223016,0.0102660944207575,0.0438536725408602
"LGA",8518,0.0281756280817093,0.0970885184315567,0.0319957476944003,0.103697749726874
"LIT",2091,0.00717360114777618,0.0416068866571019,0.0120346949499766,0.0512949105498446
"MCI",3868,0.00672182006204757,0.0354188210961737,0.00995471870280785,0.0418782396447929
"MCO",8564,0.00665576833255488,0.0497431106959365,0.00867288831472366,0.0546603222196848
"MDW",4935,0.0210739614994934,0.0767983789260385,0.0255859685582407,0.0847342563929029
"MEM",3290,0.00759878419452888,0.0428571428571429,0.0113386842122309,0.0505135477769764
"MIA",5709,0.00980907339288842,0.0565773340339814,0.0128048365969683,0.0630167928713572
"MKE",3457,0.0104136534567544,0.0488863176164304,0.0145220916223571,0.0567752442751365
"MSN",849,0.00588928150765607,0.0541813898704358,0.0143842274146539,0.0720526356062901
"MSP",5228,0.00631216526396327,0.0336648814078041,0.00894352387897511,0.0390339255063127
"MSY",5488,0.00692419825072886,0.0462827988338192,0.00957810682660597,0.0523024923642174
"OAK",5,0,0,0.499382028649922,0.499382028649922
"OKC",2229,0.00986989681471512,0.0426200089726335,0.0151120300576243,0.0520667882000277
"OMA",1723,0.00522344747533372,0.0394660475914103,0.0101980838656374,0.0500234925698167
"ONT",8,0,0,0.381832408122634,0.381832408122634
"ORD",6029,0.0210648532094875,0.110797810582186,0.0251071546086334,0.119146283904824
"ORF",2755,0.0108892921960073,0.0540834845735027,0.0156752108211484,0.0633905094482607
"PBI",4304,0.00650557620817844,0.0467007434944238,0.00949773497559912,0.0535784894624434
"PDX",1234,0.00243111831442464,0.020259319286872,0.00764385771310003,0.0301117571228642
"PHL",6913,0.0147548097786779,0.072761463908578,0.0179618570953635,0.0792645158517651
"PHX",3974,0.00528434826371414,0.0334675390035229,0.00818599655905053,0.0396782776379395
"PIT",3572,0.00587905935050392,0.0358342665173572,0.00910536007155572,0.0426133048271847
"PNS",2475,0.00525252525252525,0.0456565656565657,0.00916599289344723,0.054838333813139
"PVD",1036,0.0125482625482625,0.0482625482625483,0.0218172148754187,0.0635163718390812
"RDU",5177,0.0071469963299208,0.0515742708132123,0.00992914455648008,0.0580852209645395
"RIC",3812,0.00708289611752361,0.0527282266526758,0.0104112491010506,0.060463132796041
"ROC",1070,0.00747663551401869,0.0570093457943925,0.0151722928634211,0.0729998873480703
"RSW",4269,0.00491918482080112,0.0313890840946357,0.00762129979039677,0.0371986037921588
"SAN",2240,0.00669642857142857,0.0254464285714286,0.011236593680472,0.0330476787101374
"SAT",3312,0.00543478260869565,0.0323067632850242,0.00872052413753217,0.0390634990764182
"SAV",3270,0.00581039755351682,0.0385321100917431,0.00920455426835052,0.0458707047786123
"SDF",2802,0.0092790863668808,0.0496074232690935,0.0137313153888645,0.0584976174871635
"SEA",2647,0.00604457876841708,0.0245561012466944,0.00997979073638699,0.031370241154637
"SFO",3758,0.00612027674294838,0.0393826503459287,0.00929471494077759,0.0462524175553806
"SJC",298,0.0100671140939597,0.0503355704697987,0.0312415908862454,0.0828170674201543
"SJU",1711,0.0075978959672706,0.0303915838690824,0.0132431590712658,0.0399205291378629
"SLC",2732,0.00512445095168375,0.0296486090775988,0.00876336764920136,0.0368941382437982
"SMF",615,0.0016260162601626,0.0276422764227642,0.0104292358466074,0.0445605172271108
"SNA",1070,0.011214953271028,0.0401869158878505,0.0199575240688466,0.0541269370160345
"STL",3911,0.00690360521605727,0.0416773203784198,0.010148241471046,0.0485678844568422
"TPA",7344,0.00830610021786492,0.0452069716775599,0.010724865167299,0.0503145020256122
"TUL",1677,0.011329755515802,0.0512820512820513,0.0179106028259623,0.0632147397247209
"TUS",673,0.00594353640416048,0.0222882615156018,0.0160667980092678,0.0371373982168063
"TYS",1713,0.0099241097489784,0.0513718622300058,0.0161149848259606,0.0631739671599023
"XNA",1763,0.00964265456608054,0.0657969370391378,0.0156597630615101,0.0786573928910878
