"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ABQ",876,0.00570776255707763,0.0376712328767123,0.0139436532425359,0.0529482654604613,875,0.00914285714285714,0.0365714285714286,0.0185306900553656,0.0516884373879741
"ALB",1026,0.00779727095516569,0.0497076023391813,0.0158192026337665,0.0652239466804603,1026,0.00974658869395711,0.0477582846003899,0.0183375985690776,0.063033750643012
"ANC",98,0,0.0816326530612245,0.0470643153730982,0.156926788153928,98,0.0102040816326531,0.0918367346938776,0.0628703799408542,0.169268365195272
"AUS",3368,0.00593824228028504,0.0415676959619952,0.00929720631040529,0.0490289254868992,3379,0.00562296537437112,0.0402485942586564,0.00890826506982166,0.0475939968229225
"BDL",3084,0.00940337224383917,0.0376134889753567,0.01362677905814,0.0451121841422655,3091,0.0129407958589453,0.0459398252992559,0.0177296399234321,0.0540985558391677
"BHM",3189,0.00407651301348385,0.0357478833490122,0.00711799275416584,0.0429520072173358,3189,0.00501724678582628,0.0417058639071809,0.0082872942057482,0.0494022379440524
"BNA",3372,0.00652431791221827,0.0432977461447212,0.0100009093559439,0.0508861820295462,3372,0.00771055753262159,0.0480427046263345,0.0114155885655169,0.0559782725138041
"BOS",5276,0.0151630022744503,0.0595147839272176,0.018933633920779,0.066377362641392,5276,0.0181956027293404,0.0587566338134951,0.0222754523973348,0.0655809465349879
"BTR",2763,0.0112196887441187,0.0922909880564604,0.0160536351886888,0.103916578834498,2760,0.0123188405797101,0.102898550724638,0.0173377699915776,0.115059842973338
"BUF",1722,0.0040650406504065,0.021486643437863,0.00868153907820665,0.02974975683218,1723,0.00580383052814858,0.0336622170632618,0.0109462021313995,0.0435555538865296
"BWI",6135,0.0127139364303178,0.0493887530562347,0.0159263080097878,0.0552288288098824,6139,0.0143345821795081,0.0651571917250366,0.0177167773426944,0.0717508713134783
"CHS",3375,0.00533333333333333,0.0296296296296296,0.00855808299812316,0.0360733369645558,3374,0.00592768227622999,0.0323058684054535,0.00928070876599582,0.0389941437515009
"CID",1006,0.0159045725646123,0.0864811133200795,0.0261478515224873,0.105957904216336,1007,0.0248262164846077,0.0933465739821251,0.0368472760735895,0.113395001721433
"CLE",2752,0.00726744186046512,0.0530523255813953,0.0113727557563272,0.0622890909364201,2751,0.00981461286804798,0.0472555434387495,0.0144150612359575,0.0560511857877111
"CLT",6888,0.00551684088269454,0.0410859465737515,0.00763382916113176,0.0461489275553508,6889,0.00479024531862389,0.0480476121352881,0.00678979860169018,0.0534751327752689
"CMH",3440,0.00348837209302326,0.0375,0.00623347540515887,0.0445561760862878,3427,0.00496060694484972,0.0452290633206886,0.00807159018046284,0.0528941570117676
"COS",342,0.00292397660818713,0.0614035087719298,0.0186388761233508,0.0932583332111819,342,0,0.0292397660818713,0.0139313313079211,0.0543554936892586
"CVG",2463,0.00406008932196508,0.0361347949654892,0.0076657205433673,0.0444765298612021,2459,0.00569337128914193,0.0402602684017893,0.00973364721511953,0.0489985071794996
"DAL",2503,0.0147822612864563,0.0571314422692769,0.020499587256994,0.0671624866601565,2511,0.0159299084030267,0.0637196336121067,0.02181025791658,0.0742037170498257
"DAY",1422,0.00281293952180028,0.0330520393811533,0.00763580800350667,0.0440093719980478,1422,0.00351617440225035,0.0457102672292546,0.00861044816648642,0.0581917906765426
"DCA",6942,0.0167098818784212,0.0561797752808989,0.0200892933311326,0.0619729903221645,6952,0.0168296892980437,0.0676064441887227,0.0202170784959826,0.0738860031669213
"DEN",5136,0.007398753894081,0.0595794392523364,0.0102334233815985,0.0665431873785936,5183,0.00829635346324522,0.0530580744742427,0.011250835518306,0.0596463546108688
"DFW",7708,0.01712506486767,0.071613907628438,0.0203513558415415,0.0777168154141588,7723,0.0155380033665674,0.0805386507833743,0.0186250336830414,0.0869548655065122
"DSM",1019,0.00490677134445535,0.0402355250245339,0.0119974268583374,0.0545809264524671,1020,0.00882352941176471,0.0450980392156863,0.0171850835720906,0.0600856926352233
"DTW",5099,0.00333398705628555,0.0433418317317121,0.00542848388468675,0.0494231829450164,5092,0.00432050274941084,0.0498821681068342,0.00662771970665557,0.0563551562255272
"ELP",708,0.00564971751412429,0.0522598870056497,0.015278502874999,0.0718302069560728,708,0.00423728813559322,0.0367231638418079,0.0132814684904892,0.053894417618035
"EWR",5391,0.0255982192543127,0.101279910962716,0.0302790096243239,0.10980117124934,5311,0.0254189418188665,0.0873658444737338,0.0301233732084097,0.0954351801798911
"FLL",7573,0.00435758616136274,0.0406708041727189,0.00617722055270175,0.0454646638803902,7572,0.00567881669307977,0.0379027997886952,0.00770545182995048,0.0425482047784448
"GEG",9,0,0,0.353982657103997,0.353982657103997,9,0,0,0.353982657103997,0.353982657103997
"GRR",1317,0.00531511009870919,0.0349278663629461,0.011339535205639,0.0466331060923883,1317,0.00759301442672741,0.0341685649202733,0.0143048171433208,0.0457722801369473
"GSO",2806,0.00392017106200998,0.0516749821810406,0.00718662018771062,0.0607138535383981,2810,0.00604982206405694,0.0562277580071174,0.00983948718973662,0.0655893696855502
"GSP",2611,0.0072769054002298,0.0520873228648028,0.0115213294109425,0.0615167655999763,2610,0.00804597701149425,0.0494252873563218,0.0124519404621592,0.0586496114453268
"HNL",365,0.00547945205479452,0.0301369863013699,0.0216213027333306,0.0544253083313855,365,0.00273972602739726,0.0383561643835616,0.0174796508480862,0.0645654098577451
"HOU",4586,0.0152638464893153,0.0593109463584823,0.0193544518933936,0.0666890106672053,4587,0.012862437322869,0.0636581643775888,0.0166666039202473,0.0712647924709956
"HPN",2150,0.0302325581395349,0.118139534883721,0.038585928283602,0.132794007369056,2149,0.0321079571893904,0.129362494183341,0.0406744537612205,0.144549217016102
"IAD",3261,0.0113462128181539,0.0650107329040172,0.0157473740303926,0.0742059444621864,3208,0.00841645885286783,0.0773067331670823,0.0123666247331582,0.0872874223636237
"IAH",4295,0.00908032596041909,0.0640279394644936,0.0125017527165662,0.0719228636521452,4500,0.00777777777777778,0.078,0.0109048518217643,0.0863841071354941
"ICT",1202,0.00499168053244592,0.0515806988352745,0.011308508011472,0.0659781666913941,1202,0.00831946755407654,0.0557404326123128,0.0156663751121621,0.0705895469500143
"IND",4047,0.00345935260686929,0.0360761057573511,0.0059205593189805,0.0424296364258841,4044,0.00321463897131553,0.0432739861523244,0.00561551430406431,0.0501531719771892
"JAN",2441,0.00819336337566571,0.0471118394100778,0.0128173955019877,0.0564864441450484,2441,0.008603031544449,0.0475215075788611,0.013311428337988,0.0569303972593163
"JAX",5471,0.00383842076402851,0.033997441052824,0.00594913150157023,0.0392598517267694,5462,0.00457707799340901,0.0399121201025265,0.00683618844068613,0.045565619574507
"JFK",2068,0.0120889748549323,0.0817214700193424,0.0180136932114273,0.0946191852987462,2075,0.0139759036144578,0.0833734939759036,0.0202271264537003,0.0963537792811371
"LAS",4084,0.00489715964740451,0.0435847208619001,0.00767014567121023,0.0504489783967,4101,0.00780297488417459,0.0407217751767861,0.0111116950139818,0.0473712969959234
"LAX",5462,0.00402782863419993,0.0410106188209447,0.00617936790511146,0.0467322460924842,5457,0.00751328568810702,0.0382994319223016,0.0102660944207575,0.0438536725408602
"LGA",8530,0.0297772567409144,0.0975381008206331,0.0336906940518199,0.104155532855632,8518,0.0281756280817093,0.0970885184315567,0.0319957476944003,0.103697749726874
"LIT",2092,0.00525812619502868,0.0348948374760994,0.0096320157887083,0.0438968512339002,2091,0.00717360114777618,0.0416068866571019,0.0120346949499766,0.0512949105498446
"MCI",3855,0.00518806744487678,0.0378728923476005,0.00812491667087691,0.0445348322611756,3868,0.00672182006204757,0.0354188210961737,0.00995471870280785,0.0418782396447929
"MCO",8566,0.00653747373336446,0.0469297221573663,0.00853908013076201,0.0517200161236626,8564,0.00665576833255488,0.0497431106959365,0.00867288831472366,0.0546603222196848
"MDW",4947,0.0218314129775622,0.0727713765918739,0.0264071594671281,0.0805160684494253,4935,0.0210739614994934,0.0767983789260385,0.0255859685582407,0.0847342563929029
"MEM",3290,0.00668693009118541,0.0398176291793313,0.0102496053058564,0.0472357874103685,3290,0.00759878419452888,0.0428571428571429,0.0113386842122309,0.0505135477769764
"MIA",5711,0.00893013482752583,0.0420241638942392,0.0118097196743208,0.047672238710824,5709,0.00980907339288842,0.0565773340339814,0.0128048365969683,0.0630167928713572
"MKE",3461,0.00635654435134354,0.0404507367812771,0.00974429081790605,0.0477169680315491,3457,0.0104136534567544,0.0488863176164304,0.0145220916223571,0.0567752442751365
"MSN",827,0.0060459492140266,0.0386940749697703,0.0147643426908347,0.0546580523026926,849,0.00588928150765607,0.0541813898704358,0.0143842274146539,0.0720526356062901
"MSP",5232,0.00420489296636086,0.0378440366972477,0.00645062604371733,0.0434948096596212,5228,0.00631216526396327,0.0336648814078041,0.00894352387897511,0.0390339255063127
"MSY",5466,0.00750091474570069,0.0409806073911453,0.0102492188157762,0.0466981574715973,5488,0.00692419825072886,0.0462827988338192,0.00957810682660597,0.0523024923642174
"OAK",5,0,0,0.499382028649922,0.499382028649922,5,0,0,0.499382028649922,0.499382028649922
"OKC",2227,0.00987876066457117,0.0431073192635833,0.0151255561008679,0.0526038801396483,2229,0.00986989681471512,0.0426200089726335,0.0151120300576243,0.0520667882000277
"OMA",1744,0.00344036697247706,0.0412844036697248,0.00780543172655244,0.0519659844638481,1723,0.00522344747533372,0.0394660475914103,0.0101980838656374,0.0500234925698167
"ONT",8,0,0,0.381832408122634,0.381832408122634,8,0,0,0.381832408122634,0.381832408122634
"ORD",6048,0.0209986772486772,0.104332010582011,0.0250284590987448,0.112461136851103,6029,0.0210648532094875,0.110797810582186,0.0251071546086334,0.119146283904824
"ORF",2754,0.00944081336238199,0.0446623093681917,0.0139699591593934,0.0532444094194434,2755,0.0108892921960073,0.0540834845735027,0.0156752108211484,0.0633905094482607
"PBI",4306,0.00371574547143521,0.0443567115652578,0.00614096151988758,0.0510802007850022,4304,0.00650557620817844,0.0467007434944238,0.00949773497559912,0.0535784894624434
"PDX",1234,0.00162074554294976,0.0307941653160454,0.00645681158018682,0.0423611351303063,1234,0.00243111831442464,0.020259319286872,0.00764385771310003,0.0301117571228642
"PHL",6899,0.0130453688940426,0.0700101463980287,0.0160879420606241,0.076411698307745,6913,0.0147548097786779,0.072761463908578,0.0179618570953635,0.0792645158517651
"PHX",3984,0.00552208835341365,0.0313755020080321,0.00846751057089216,0.0374064871509351,3974,0.00528434826371414,0.0334675390035229,0.00818599655905053,0.0396782776379395
"PIT",3573,0.00363839910439407,0.0358242373355723,0.00635440548955466,0.0426014246867638,3572,0.00587905935050392,0.0358342665173572,0.00910536007155572,0.0426133048271847
"PNS",2475,0.00646464646464646,0.0408080808080808,0.0106714076113945,0.0495649992855221,2475,0.00525252525252525,0.0456565656565657,0.00916599289344723,0.054838333813139
"PVD",1036,0.0125482625482625,0.0444015444015444,0.0218172148754187,0.0591662172851157,1036,0.0125482625482625,0.0482625482625483,0.0218172148754187,0.0635163718390812
"RDU",5182,0.00714010034735623,0.0374372829023543,0.00991958030116086,0.0430902018921565,5177,0.0071469963299208,0.0515742708132123,0.00992914455648008,0.0580852209645395
"RIC",3814,0.00734137388568432,0.0440482433141059,0.0107153821061689,0.0512021090020142,3812,0.00708289611752361,0.0527282266526758,0.0104112491010506,0.060463132796041
"ROC",1071,0.00840336134453781,0.0373482726423903,0.0163713718703921,0.0508890769426297,1070,0.00747663551401869,0.0570093457943925,0.0151722928634211,0.0729998873480703
"RSW",4278,0.00257129499766246,0.0303880317905563,0.00471745630650252,0.0361095997638853,4269,0.00491918482080112,0.0313890840946357,0.00762129979039677,0.0371986037921588
"SAN",2242,0.00312221231043711,0.0356824264049955,0.0066731819063684,0.0444243500099066,2240,0.00669642857142857,0.0254464285714286,0.011236593680472,0.0330476787101374
"SAT",3309,0.00332426715019643,0.037775763070414,0.00609626945132252,0.0450053225410663,3312,0.00543478260869565,0.0323067632850242,0.00872052413753217,0.0390634990764182
"SAV",3269,0.00611807892321811,0.0416029366778831,0.00957813961868521,0.049188524714728,3270,0.00581039755351682,0.0385321100917431,0.00920455426835052,0.0458707047786123
"SDF",2801,0.00678329168154231,0.0396287040342735,0.0107418106531717,0.0477103928656895,2802,0.0092790863668808,0.0496074232690935,0.0137313153888645,0.0584976174871635
"SEA",2648,0.00377643504531722,0.0313444108761329,0.00713141432525585,0.0388918492450648,2647,0.00604457876841708,0.0245561012466944,0.00997979073638699,0.031370241154637
"SFO",3762,0.00425305688463583,0.0534290271132376,0.00702734437880683,0.0612631362276928,3758,0.00612027674294838,0.0393826503459287,0.00929471494077759,0.0462524175553806
