"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",3368,0.00593824228028504,0.0415676959619952,0.00929720631040529,0.0490289254868992,0.00621514869888476,0.0421144859813084
"BNA",687,0.0174672489082969,0.0596797671033479,0.0309799117773914,0.0806081948688769,0.0175806874836001,0.0608344549125168
"BOS",367,0.0190735694822888,0.0517711171662125,0.0402339000486042,0.0805983341546772,0.0189959294436906,0.0548463356973995
"BWI",680,0.0117647058823529,0.0691176470588235,0.0237984692501527,0.0913585092119111,0.0124470338983051,0.0695652173913043
"CLT",359,0.00278551532033426,0.0250696378830084,0.017767926852497,0.048297445309702,0.00552740672501152,0.0318072289156626
"DAL",3812,0.0144281217208814,0.0792235047219308,0.0188643794253389,0.088431176304518,0.0145091582630171,0.0791623578076525
"DCA",365,0.0164383561643836,0.063013698630137,0.036843353173782,0.093916818189003,0.0168105406633348,0.0646080760095012
"DEN",3084,0.00486381322957198,0.0700389105058366,0.00816822586820034,0.0798148430000924,0.00519118764244112,0.0701273885350318
"DFW",5109,0.0242708944999021,0.0927774515560775,0.0289793860900765,0.101223180765474,0.0241888816017901,0.0925847047434656
"DTW",354,0.00847457627118644,0.0847457627118644,0.0263709389492477,0.119542551861144,0.0102516309412861,0.0834146341463415
"ELP",947,0.00633579725448786,0.071805702217529,0.0143354476459896,0.0905421584468006,0.00723928781060458,0.0719840478564307
"EWR",824,0.0182038834951456,0.0837378640776699,0.0303878249829753,0.105209633280738,0.0182384341637011,0.0831818181818182
"FLL",753,0.00265604249667995,0.0650730411686587,0.0105540528016887,0.0855922611393004,0.00410528857763825,0.0657601977750309
"HOU",1381,0.00941346850108617,0.0709630702389573,0.0163927125154515,0.0861115181151796,0.00988875154511743,0.0711203897007655
"IAD",104,0.00961538461538462,0.144230769230769,0.0594041690307395,0.227494737984572,0.0133928571428571,0.12
"IAH",2330,0.0137339055793991,0.0935622317596567,0.0195272712707882,0.106354804702149,0.0138865790786629,0.0931265716680637
"JFK",1734,0.0149942329873126,0.0974625144175317,0.0221504088019105,0.112677494003288,0.0151448153880168,0.0967597765363128
"LAS",1133,0.00441306266548985,0.0609002647837599,0.010796120288204,0.0767965235128722,0.00529713623572256,0.0615643397813289
"LAX",2748,0.00691411935953421,0.0553129548762737,0.0109484431836994,0.0647219890426326,0.00722584301501842,0.0557061340941512
"LGB",511,0.00782778864970646,0.0450097847358121,0.0211074915215516,0.0674840042720051,0.00921187308085978,0.0479717813051146
"MCI",1,1,1,1,1,0.031496062992126,0.0912280701754386
"MCO",1060,0.0113207547169811,0.0490566037735849,0.0201446611059683,0.064209712257514,0.0118040873854827,0.0503584229390681
"MDW",976,0.0225409836065574,0.0860655737704918,0.0343645309061302,0.105831374018148,0.0222602739726027,0.0854651162790698
"MIA",103,0.0194174757281553,0.0194174757281553,0.0740609487825884,0.0740609487825884,0.0190796857463524,0.0389937106918239
"MSP",255,0.0117647058823529,0.0588235294117647,0.0364044719976773,0.0964130883081908,0.0133252574197456,0.0617363344051447
"MSY",373,0.00536193029490617,0.0536193029490617,0.0211637221574412,0.0825013426484831,0.00758589915216421,0.0564102564102564
"OAK",364,0.00549450549450549,0.0164835164835165,0.0216798953059526,0.0369430131778312,0.00774134790528233,0.0242857142857143
"ORD",2276,0.0246045694200351,0.129173989455185,0.0320335805367755,0.1439026733595,0.0244130656685948,0.127873070325901
"PDX",43,0,0.0232558139534884,0.10143816221461,0.13514302822097,0.011844331641286,0.0525252525252525
"PHL",329,0.0060790273556231,0.100303951367781,0.0239516618473889,0.138717990877102,0.00841167738743196,0.0966233766233766
"PHX",1682,0.00297265160523187,0.05410225921522,0.00728381166315595,0.0662798406050721,0.00364215797860232,0.0547756041426928
"SAN",688,0.00145348837209302,0.0537790697674419,0.0093303245208326,0.0738915234213634,0.00314465408805031,0.0553763440860215
"SEA",382,0,0.0261780104712042,0.0124898706659179,0.0487555976603404,0.00306211723534558,0.0324200913242009
"SFO",2312,0.0129757785467128,0.073961937716263,0.018668081303371,0.0856236315761644,0.0131534852546917,0.0739864864864865
"SJC",669,0.00298953662182362,0.0463378176382661,0.0118693836726502,0.0656818797499392,0.00456866433754367,0.048551724137931
"SLC",724,0.0069060773480663,0.037292817679558,0.0168489028245118,0.0543319102974561,0.00800800800800801,0.04
"SNA",3,0,0.333333333333333,0.627208174095541,0.802659240404558,0.0179028132992327,0.088135593220339
"STL",7,0,0,0.414400781478848,0.414400781478848,0.0170316301703163,0.0666666666666667
"TPA",365,0,0.0219178082191781,0.0130643674688631,0.0440061466716371,0.00318037255792821,0.028978622327791
"TUL",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
