"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",3379,0.00562296537437112,0.0402485942586564,0.00890826506982166,0.0475939968229225
"BNA",693,0.012987012987013,0.0432900432900433,0.0252233840777355,0.0617660617284594
"BOS",367,0.0136239782016349,0.0953678474114441,0.0329955392646247,0.130843554054367
"BWI",698,0.0114613180515759,0.0515759312320917,0.0231899530690136,0.0712115378391369
"CLT",359,0.011142061281337,0.0362116991643454,0.0299127365047707,0.0622155307935028
"DAL",3819,0.0193768002094789,0.0631055250065462,0.0243948257360253,0.0714543040953727
"DCA",365,0.0136986301369863,0.0465753424657534,0.0331736365924439,0.0744997016600395
"DEN",2883,0.0104058272632674,0.0700659035726674,0.0149812373550971,0.0802001996616244
"DFW",5111,0.0260223048327138,0.0774799452162004,0.0308756971680654,0.085301296407153
"DTW",471,0.0148619957537155,0.0530785562632696,0.0314587074973405,0.078089734051214
"ELP",944,0.00635593220338983,0.0434322033898305,0.0143807332245799,0.0588755157463983
"EWR",873,0.0240549828178694,0.0893470790378007,0.0370183045010459,0.110664925691378
"FLL",753,0.00132802124833997,0.0424966799468791,0.00853002729593243,0.0599696208888445
"HOU",1384,0.00794797687861272,0.0484104046242775,0.0145369261776548,0.0613797166713388
"IAD",107,0.0280373831775701,0.11214953271028,0.0844166811344688,0.189148595002129
"IAH",2381,0.0121797564048719,0.0600587988240235,0.0176364456010015,0.0705826506474307
"JFK",1735,0.0201729106628242,0.0708933717579251,0.0281974748430627,0.0842679973321316
"LAS",1121,0.00624442462087422,0.0526315789473684,0.0133119571618085,0.0677254297871109
"LAX",2750,0.008,0.0614545454545455,0.0122567802903695,0.07128846437843
"LGB",512,0.001953125,0.052734375,0.0125077846373643,0.0764792610900022
"MCO",1062,0.00564971751412429,0.0555555555555556,0.012791358165902,0.071451208207535
"MDW",965,0.0238341968911917,0.0673575129533679,0.0359857152588837,0.0854433491117244
"MIA",103,0,0.00970873786407767,0.0448772760318676,0.0599550859514193
"MSP",141,0,0.0283687943262411,0.0331645034443533,0.0744589688596034
"MSY",373,0.0107238605898123,0.0455764075067024,0.0288059395458582,0.0729317739090556
"OAK",361,0,0.0692520775623269,0.0132073078491138,0.101371364192313
"ORD",2341,0.0277659120034173,0.114053823152499,0.0354520867985838,0.127873658111497
"PDX",43,0,0.0930232558139535,0.10143816221461,0.225012893490378
"PHL",329,0.0212765957446809,0.0820668693009119,0.0447998905194981,0.117990001291149
"PHX",1686,0.0029655990510083,0.0450771055753262,0.00726658728847634,0.0563615898948392
"SAN",681,0.00440528634361234,0.052863436123348,0.0138040648141202,0.0729663965054236
"SEA",382,0,0.031413612565445,0.0124898706659179,0.0553014343204704
"SFO",2335,0.00685224839400428,0.102355460385439,0.0113093495794371,0.115607240751649
"SJC",656,0.00152439024390244,0.0533536585365854,0.009782151045435,0.0739690964304166
"SLC",721,0.00554785020804438,0.0221914008321775,0.0150050561800551,0.0363852204165579
"SNA",3,0,0,0.627208174095541,0.627208174095541
"STL",7,0,0.142857142857143,0.414400781478848,0.54129052577309
"TPA",366,0,0.0519125683060109,0.0130291145103523,0.0808142166481065
