"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ATL",3091,0.0129407958589453,0.0459398252992559,0.0177296399234321,0.0540985558391677,0.0130756111426947,0.0464569431204322,3084,0.00940337224383917,0.0376134889753567,0.01362677905814,0.0451121841422655,0.00962268928842745,0.0382802547770701
"BWI",2430,0.0242798353909465,0.0563786008230453,0.0313983236647872,0.0665145710396536,0.0241098515088616,0.0567980691874497,2413,0.0244508910070452,0.0953170327393286,0.0316185872700858,0.107970289500588,0.0242745759987139,0.09485621709194
"CLE",138,0,0.036231884057971,0.0338622393661805,0.0856297889951152,0.00656660412757974,0.0474226804123711,141,0.00709219858156028,0.141843971631206,0.0443315778092427,0.211309816353846,0.0111008325624422,0.122842639593909
"CLT",1756,0.0159453302961276,0.0427107061503417,0.0232163000424069,0.0535009833420206,0.0160550458715596,0.0437086092715232,1756,0.0130979498861048,0.0489749430523918,0.019845865485228,0.0603901176824204,0.0133245958934032,0.0497792494481236
"CVG",25,0.04,0.04,0.216552884191145,0.216552884191145,0.0239520958083832,0.0641975308641975,26,0.0384615384615385,0.0384615384615385,0.209544511501033,0.209544511501033,0.0237154150197628,0.0634146341463415
"DCA",730,0.0219178082191781,0.073972602739726,0.0359408618608181,0.0958915113829667,0.0216095380029806,0.0740458015267176,730,0.0205479452054795,0.0794520547945206,0.0342645198254015,0.101969006542939,0.020367610531545,0.0791348600508906
"DEN",375,0.016,0.0613333333333333,0.0358755484894248,0.0914632154397392,0.0164371390493114,0.0631090487238979,375,0.0213333333333333,0.104,0.0428510821991179,0.14008902680224,0.0208796090626388,0.100232018561485
"DFW",853,0.0316529894490035,0.0773739742086753,0.0461919870627434,0.097811660173298,0.0305968541262659,0.0772277227722772,853,0.022274325908558,0.0808909730363423,0.0350667014101475,0.101679261072507,0.021978021978022,0.0805280528052805
"DTW",1402,0.0114122681883024,0.0477888730385164,0.0187985710919166,0.0605977730321174,0.0117790414297319,0.0488340192043896,1397,0.0121689334287759,0.0622763063707946,0.0197419570536291,0.0765587622793667,0.0124983018611602,0.0627666896077082
"EWR",361,0.0443213296398892,0.105263157894737,0.0719819455433159,0.14229014210665,0.0398899587345254,0.101199040767386,332,0.0602409638554217,0.11144578313253,0.0924658399377623,0.151020175405154,0.0525540275049116,0.106185567010309
