"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",3189,0.00501724678582628,0.0417058639071809,0.0082872942057482,0.0494022379440524
"BWI",781,0.0192061459667093,0.0691421254801537,0.0320464106256121,0.0897107155528661
"CLT",1,0,0,0.838178046004133,0.838178046004133
"DAL",932,0.0107296137339056,0.0708154506437768,0.0201748380411562,0.08961756819516
"DEN",361,0.0166204986149584,0.119113573407202,0.0372452544234778,0.157704586690863
"DFW",952,0.0294117647058824,0.118697478991597,0.0426581607511295,0.141335035244335
"DTW",751,0.0106524633821571,0.0585885486018642,0.0215662665318644,0.0783376666760563
"HOU",660,0.00909090909090909,0.0575757575757576,0.0205160746210104,0.0787081262014783
"IAH",1715,0.0215743440233236,0.0956268221574344,0.0298705637334949,0.110815839086249
"LAS",365,0,0.0328767123287671,0.0130643674688631,0.0578319300918365
"LGA",271,0.11070110701107,0.239852398523985,0.155036744802234,0.29540896937273
"MCO",720,0.00416666666666667,0.0958333333333333,0.0130616943956149,0.120172183595758
"MDW",693,0.0202020202020202,0.0894660894660895,0.0343007816539031,0.113698334249675
"MIA",653,0.0214395099540582,0.0719754977029096,0.0363804978860377,0.095080388054371
"MSP",61,0.0163934426229508,0.0327868852459016,0.0982033306789244,0.121153368961633
"ORD",1080,0.0425925925925926,0.133333333333333,0.056776890298062,0.155424205965079
"TPA",685,0.00437956204379562,0.0496350364963504,0.0137240631350585,0.069205074791711
