"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ATL",3372,0.00771055753262159,0.0480427046263345,0.0114155885655169,0.0559782725138041,3372,0.00652431791221827,0.0432977461447212,0.0100009093559439,0.0508861820295462
"AUS",687,0.0174672489082969,0.0596797671033479,0.0309799117773914,0.0806081948688769,693,0.012987012987013,0.0432900432900433,0.0252233840777355,0.0617660617284594
"BOS",636,0.0110062893081761,0.0770440251572327,0.0233713486444854,0.101096814903762,635,0.0110236220472441,0.0503937007874016,0.0234078194707476,0.0709662114232708
"BWI",2068,0.0319148936170213,0.0710831721470019,0.0406464943724199,0.0832620406597066,2072,0.0299227799227799,0.0859073359073359,0.0384159157985483,0.0990574044750687
"CHS",375,0.016,0.0506666666666667,0.0358755484894248,0.0789119190676721,375,0.0133333333333333,0.0533333333333333,0.0323018700784754,0.0820699064019989
"CLE",877,0.0102622576966933,0.0581527936145952,0.0199678873478666,0.0761810028855459,871,0.0114810562571757,0.0447761194029851,0.0215777503324899,0.0611458478502137
"CLT",1373,0.0189366351056082,0.0407865986890022,0.0279410711019381,0.0529464885352482,1372,0.0102040816326531,0.043731778425656,0.0174079595726877,0.0562421064119009
"CMH",698,0.0100286532951289,0.0630372492836676,0.0213125561122058,0.0842061318010744,681,0.0117474302496329,0.0411160058737151,0.0237638262156736,0.059433411845553
"CVG",382,0.0261780104712042,0.0706806282722513,0.0487555976603404,0.101963331647931,390,0.0205128205128205,0.0666666666666667,0.0412278645417569,0.0969543905066393
"DAL",576,0.0208333333333333,0.0694444444444444,0.0368835296851752,0.0939368418029911,583,0.0222984562607204,0.0806174957118353,0.0385798250736959,0.10630824791596
"DCA",961,0.0343392299687825,0.0665972944849116,0.0483063264372141,0.0846451846077775,955,0.0335078534031414,0.0638743455497382,0.0473965693787664,0.0816936657732278
"DEN",2343,0.0157917200170721,0.0610328638497653,0.0218942430386608,0.0717202334057915,2416,0.00993377483443709,0.0608443708609272,0.0149351686913579,0.0713428147404522
"DFW",3031,0.0320026393929396,0.100296931705708,0.0390683685697954,0.111754585786967,3031,0.0280435499835038,0.093038601121742,0.03472337377513,0.104147914640933
"DTW",2227,0.00808262236192187,0.0498428378985182,0.0129556659752474,0.0599349526868012,2186,0.00869167429094236,0.0544373284537969,0.0137539283258047,0.0650153435177329
"EWR",2147,0.0498369818351188,0.12342803912436,0.0601323487265584,0.138347194736796,2213,0.0533212833258021,0.129688206055129,0.0637382590451985,0.144657913189443
"FLL",832,0.0108173076923077,0.0492788461538462,0.0210400302351731,0.0667142825114896,830,0.0156626506024096,0.0481927710843374,0.0271894396397394,0.0655046731042744
"HOU",1337,0.0209424083769634,0.0673148840688108,0.0304483408331748,0.0824113304809857,1336,0.0134730538922156,0.0681137724550898,0.0215502034889301,0.0832880367100183
"IAD",551,0.0127041742286751,0.0961887477313975,0.0269390135343983,0.124465384115728,550,0.0181818181818182,0.0963636363636364,0.0340302486499602,0.124687527889628
"IAH",1791,0.0189838079285315,0.0781686208821887,0.0266735689491301,0.0918499401954809,1589,0.0151038388923851,0.0748898678414097,0.0226707303698297,0.0892328754534945
"JAX",989,0.00808897876643074,0.0657229524772497,0.0164074814120121,0.0833925244089176,999,0.01001001001001,0.0630630630630631,0.0188301432060203,0.0803522286751464
"JFK",364,0.0769230769230769,0.173076923076923,0.110050127962321,0.216389508711538,364,0.0989010989010989,0.186813186813187,0.134986264410099,0.231135487565383
"LAS",982,0.0112016293279022,0.0305498981670061,0.0204497029654142,0.0437409783618471,976,0.0102459016393443,0.0686475409836066,0.0192710765394249,0.0867527752853375
"LAX",1743,0.00860585197934595,0.0436029833620195,0.0144281576194121,0.0545304516718261,1747,0.00801373783629078,0.046937607326846,0.0136855314548232,0.0581868779274478
"LGA",3233,0.0683575626353232,0.157438911227962,0.0777940227973193,0.170679304812212,3108,0.0588803088803089,0.141891891891892,0.0679248015550558,0.15487917602616
"MCI",1197,0.0100250626566416,0.0559732664995823,0.0178514326364117,0.0708817283617731,1198,0.0125208681135225,0.0400667779632721,0.0209548170740675,0.0531155356646475
"MCO",1507,0.0152621101526211,0.0716655607166556,0.0231084899294616,0.0861669248907744,1508,0.0125994694960212,0.0762599469496021,0.0199082552652011,0.0911239776046958
"MDW",2274,0.0391380826737027,0.0949868073878628,0.0481535676831044,0.108025090731493,2295,0.0339869281045752,0.085838779956427,0.0424421694705324,0.098288285545416
"MIA",444,0.0112612612612613,0.0315315315315315,0.02734375,0.0532496518939637,443,0.00451467268623025,0.0383747178329571,0.0178569635120596,0.0615895044317226
"MSN",1,0,0,0.838178046004133,0.838178046004133,0,0,0,0,0
"MSP",1087,0.0119595216191352,0.0533578656853726,0.0207997555556579,0.0687991906465629,1238,0.00646203554119548,0.0484652665589661,0.0131232227776456,0.0622785165197217
"MSY",1116,0.0134408602150538,0.0564516129032258,0.0224851688382415,0.072008592370605,1125,0.0151111111111111,0.0364444444444444,0.0244855008820156,0.0494798057805703
"OAK",24,0,0.0833333333333333,0.168769306267035,0.275117157110364,24,0.0416666666666667,0.166666666666667,0.22404529834071,0.36937432809766
"OKC",1,0,0,0.838178046004133,0.838178046004133,0,0,0,0,0
"OMA",1,0,0,0.838178046004133,0.838178046004133,0,0,0,0,0
"ORD",3897,0.0497818835001283,0.153964588144727,0.0572385352445334,0.165887330530077,3959,0.0429401363980803,0.14675423086638,0.0498749016863471,0.158364246147003
"PHL",685,0.0277372262773723,0.0934306569343066,0.0435767757211708,0.118215211555512,682,0.0278592375366569,0.093841642228739,0.0437664403976291,0.118726969921282
"PHX",783,0.0127713920817369,0.0625798212005109,0.023983710911573,0.0823536464888487,782,0.010230179028133,0.0728900255754476,0.0207178040629408,0.0938606498666295
"PIT",365,0.010958904109589,0.0657534246575342,0.0294281494506592,0.0971062233989397,365,0.00821917808219178,0.0164383561643836,0.0255873539040982,0.036843353173782
"PNS",656,0.00762195121951219,0.0396341463414634,0.0185808588212265,0.0581152794486987,656,0.0106707317073171,0.0335365853658537,0.0226650764957817,0.050936613080429
"RDU",1083,0.0193905817174515,0.0535549399815328,0.0298892776175327,0.0690508779669294,1086,0.0165745856353591,0.0451197053406998,0.0264787472159422,0.0595823063341801
"RSW",105,0.0476190476190476,0.0571428571428571,0.111181401731237,0.123351446956722,105,0.0380952380952381,0.0761904761904762,0.0987361171839249,0.147040918327517
"SAN",419,0.00715990453460621,0.035799522673031,0.0223300858638248,0.0592879622889246,419,0.0119331742243437,0.0548926014319809,0.0289539878326945,0.0820330767608995
"SAT",630,0.0111111111111111,0.0428571428571429,0.0235918943705387,0.0623361544369789,625,0.0144,0.0336,0.0279411643374094,0.0515336497450565
"SEA",148,0.00675675675675676,0.0135135135135135,0.0423009607854849,0.0522830100543666,148,0,0.0405405405405405,0.0316431410180597,0.0888551158742992
"SLC",373,0.0107238605898123,0.0536193029490617,0.0288059395458582,0.0825013426484831,373,0.0134048257372654,0.0482573726541555,0.0324725386971281,0.0761373751947105
"STL",704,0.0113636363636364,0.0511363636363636,0.0229939711055317,0.0706121565701506,706,0.0155807365439093,0.075070821529745,0.0283729301763008,0.0975300337516991
"TPA",1316,0.0167173252279635,0.081306990881459,0.0255367257723263,0.0977272153350612,1298,0.0130970724191063,0.0500770416024653,0.0212395967687772,0.0637050154940652
