"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",11296,0.0264695467422096,0.082064447592068,0.0296666766688644,0.0873804845744841,11297,0.0238116314065681,0.100557670177923,0.0268584192786774,0.10636062182238
"AS",1555,0.0115755627009646,0.0437299035369775,0.0185290024791039,0.0553901353683324,1555,0.0128617363344051,0.0302250803858521,0.0200862136176665,0.0402682685596556
"B6",40105,0.0230145867098865,0.0847275900760504,0.0245611240846705,0.0875505935879265,40165,0.0218349309099963,0.093738329391261,0.0233424657686703,0.096687852802879
"DL",14923,0.025061984855592,0.0871138511023253,0.0277543971253052,0.0918434604297325,14923,0.0224485693225223,0.086912819138243,0.0250082604232586,0.0916376657719935
"EV",2425,0.0358762886597938,0.108865979381443,0.0442647467569809,0.122182455194786,2424,0.0338283828382838,0.111798679867987,0.0420141807270584,0.125260402633663
"FL",518,0.0135135135135135,0.0347490347490347,0.0286361129698494,0.0551173414605993,518,0.00193050193050193,0.0173745173745174,0.0123642393807061,0.0336455687572053
"NK",812,0.0357142857142857,0.17487684729064,0.0513749512858499,0.203161329793324,812,0.0283251231527094,0.141625615763547,0.0427029682581731,0.167919624890935
"OO",665,0.0496240601503759,0.183458646616541,0.0695343662415594,0.215398187235764,665,0.0451127819548872,0.13984962406015,0.0643345457314359,0.168993342737627
"UA",11886,0.0256604408547871,0.0915362611475686,0.0287289713295779,0.0969664370523995,11882,0.023396734556472,0.103517926275038,0.0263393795828383,0.109242980422922
"US",18159,0.0428437689300072,0.0866787818712484,0.0459530048055347,0.0909472508789811,18160,0.0405286343612335,0.0928964757709251,0.0435596294780065,0.0972957594453626
"VX",1668,0.0311750599520384,0.0713429256594724,0.0409435763640972,0.0850412674233692,1667,0.0137972405518896,0.0383923215356929,0.0209006059774658,0.0490269099690918
"WN",9446,0.0246665255134448,0.07865763286047,0.0280715137045812,0.0843802543918995,9447,0.0227585476870964,0.10701810098444,0.0260418628559693,0.113548537222607
