"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ATL",5276,0.0181956027293404,0.0587566338134951,0.0222754523973348,0.0655809465349879,0.0182015248916131,0.058927231807952,5276,0.0151630022744503,0.0595147839272176,0.018933633920779,0.066377362641392,0.0152115413365227,0.0596774193548387
"AUS",367,0.0190735694822888,0.0517711171662125,0.0402339000486042,0.0805983341546772,0.0189959294436906,0.0548463356973995,367,0.0136239782016349,0.0953678474114441,0.0329955392646247,0.130843554054367,0.0144730890999548,0.0926713947990544
"BNA",635,0.0110236220472441,0.0503937007874016,0.0234078194707476,0.0709662114232708,0.0118276541819206,0.0523878437047757,636,0.0110062893081761,0.0770440251572327,0.0233713486444854,0.101096814903762,0.0118110236220472,0.076878612716763
"BUF",1429,0.0174947515745276,0.0650804758572428,0.026025077113889,0.0794391837826662,0.0175508575987236,0.0654545454545455,1429,0.0181945416375087,0.0741777466759972,0.0268521299761943,0.0893133554729336,0.0182156628107964,0.0742087542087542
"BWI",4821,0.025305953121759,0.0800663762704833,0.0302555476617448,0.0882441982925389,0.0252032188227605,0.0800082017633791,4812,0.0241064006650042,0.0953865336658354,0.0289571748785081,0.104201594981633,0.024021934850221,0.095152013147083
"CHS",391,0.0127877237851662,0.0562659846547315,0.0309984969689947,0.0847990765564908,0.0137280137280137,0.0586129753914989,391,0.010230179028133,0.051150895140665,0.0274977966302427,0.0787743055963541,0.0115830115830116,0.0541387024608501
"CLE",1416,0.0240112994350282,0.0875706214689266,0.033695007613703,0.103824501860153,0.0237392703862661,0.0870923913043478,1408,0.0227272727272727,0.107244318181818,0.0322384156403474,0.124900788501937,0.0225188781014024,0.106010928961749
"CLT",3901,0.0212765957446809,0.0576775185849782,0.0264372095525444,0.0656194879620392,0.0212262964639606,0.0579226686884003,3906,0.0192012288786482,0.0714285714285714,0.0241371517434231,0.0801276059728211,0.0191901939113835,0.0714790509843513
"CVG",306,0.00980392156862745,0.0588235294117647,0.0304384636511467,0.092422377176877,0.0115424973767051,0.0613259668508287,313,0.0159744408945687,0.0862619808306709,0.0385891260355748,0.123867086385496,0.0164863472436888,0.0845528455284553
"DCA",8477,0.034328182139908,0.0776218001651528,0.0385140814151475,0.0836388615633434,0.0341900329739716,0.0776045939294504,8474,0.0336322869955157,0.0886240264337975,0.0377805751941335,0.0949973794780235,0.033500210546016,0.0885345838218054
"DEN",2510,0.0147410358565737,0.0721115537848606,0.020442616501286,0.0831552021593379,0.0148537830728764,0.0721745908028059,2523,0.0150614347998415,0.103051922314705,0.0207948554122404,0.115808747374364,0.0151643445462243,0.102442807289647
"DFW",3322,0.0307043949428055,0.0815773630343167,0.0373044693919904,0.091599577865917,0.0304368303308607,0.0814683244523387,3321,0.0283047274917194,0.108702198133092,0.0346799872424962,0.11998947233476,0.0280902184794771,0.10814332247557
"DTW",3489,0.0171969045571797,0.0656348523932359,0.0222180441015938,0.0745419564360198,0.0172268671791706,0.0657827926657264,3486,0.0146299483648881,0.0633964429145152,0.0193264295930103,0.072176629216243,0.0147141413006852,0.063579898362507
"EWR",5001,0.0319936012797441,0.105178964207159,0.037370725815689,0.114178796768355,0.0317954375320121,0.104844769626261,4964,0.0300161160354553,0.103746978243352,0.0352657075819254,0.112730286680621,0.0298460073027465,0.103426294820717
"FLL",2133,0.0210970464135021,0.103141115799344,0.0283386483052827,0.117084258196505,0.0210125894393624,0.102421196893559,2131,0.0192397935241671,0.11262318160488,0.0262211405553336,0.127070906691482,0.0192185658598495,0.111659807956104
"HOU",1127,0.0266193433895297,0.0754214729370009,0.0381542949762059,0.092770037003834,0.0261187822325736,0.0754015215553677,1128,0.0212765957446809,0.0957446808510638,0.0318730065553856,0.114780014398922,0.0211103723404255,0.0947635135135135
"IAD",2159,0.0194534506716072,0.0680870773506253,0.0264127931287226,0.0797768149195634,0.0194252976456897,0.0682618510158013,2114,0.0198675496688742,0.0950804162724693,0.0269726037437298,0.108638168447369,0.0198245934587977,0.0945622119815668
"IAH",1853,0.025364274150027,0.0793308148947652,0.0338255566463824,0.0928450286081363,0.0251011305881133,0.0792037716081718,1840,0.0201086956521739,0.0907608695652174,0.0278509818201992,0.105086736744764,0.0200501253132832,0.090295358649789
"IND",6,0,0.166666666666667,0.45298221281347,0.589827534923789,0.0172413793103448,0.0838709677419355,6,0,0.166666666666667,0.45298221281347,0.589827534923789,0.0172413793103448,0.0838709677419355
"JAX",790,0.0227848101265823,0.0759493670886076,0.0363109637278518,0.0971293114467956,0.0224225612575127,0.075886524822695,789,0.0240811153358682,0.0925221799746515,0.037885224073686,0.115360784775871,0.023605646841009,0.0913609467455621
"JFK",5691,0.0277631347742049,0.111403971182569,0.0324741554096451,0.120024291801599,0.0276438555721272,0.111049243083348,5688,0.0265471167369902,0.117440225035162,0.0311672318645916,0.126252026164895,0.0264436424208773,0.117026462395543
"LAS",959,0.0239833159541189,0.105318039624609,0.0362090796960386,0.126876006031222,0.0235931154515568,0.103645320197044,960,0.0197916666666667,0.1,0.0311875247137532,0.121126186248213,0.0197063369397218,0.0986220472440945
"LAX",4277,0.0245499181669394,0.0668693009118541,0.0297659386227453,0.0749309909251899,0.0244474059096549,0.0669743826448188,4282,0.0119103222793087,0.0492760392340028,0.0157419307153425,0.0563356270201881,0.0120260717892224,0.0496081143384048
"LGA",7041,0.0703025138474648,0.146428064195427,0.0766480488784364,0.155057661288609,0.0697563306258958,0.145864449767507,7043,0.069146670452932,0.14297884424251,0.0754455273417767,0.151526291703816,0.0686128515635975,0.142442597548951
"LGB",289,0.0311418685121107,0.0934256055363322,0.059752708312409,0.133868403565586,0.028555738605162,0.0904347826086957,290,0.0275862068965517,0.0724137931034483,0.055156681402113,0.109553875139635,0.0257393209200438,0.0728323699421965
"MCI",660,0.0181818181818182,0.05,0.0322349459739705,0.0700543624165626,0.0182263329706202,0.0519553072625698,649,0.0169491525423729,0.11402157164869,0.0308406768234541,0.141484824947139,0.0171223418945043,0.110921985815603
"MCO",3039,0.0161237249095097,0.0865416255347154,0.0214139541164489,0.097307825351839,0.0161839316678441,0.0863327948303716,3038,0.0184331797235023,0.0954575378538512,0.0240255233376598,0.106671391569272,0.0184376204548375,0.095087265675501
"MDW",1472,0.0298913043478261,0.0869565217391304,0.0402111202473659,0.102829367323665,0.0293433298862461,0.0865183246073298,1464,0.0300546448087432,0.109972677595628,0.040429457189804,0.127435275912183,0.029495841995842,0.108684210526316
"MIA",2546,0.0219952867242734,0.0655930871956009,0.0286499326890767,0.0761269265795289,0.0218983671600794,0.0657955418908532,2546,0.01885310290652,0.0875883739198743,0.0250991375844236,0.0994689848309674,0.0188463299252251,0.0873174481168332
"MKE",670,0.0298507462686567,0.0880597014925373,0.0463300619448227,0.112606640919039,0.0287171229200215,0.0870523415977961,678,0.0339233038348083,0.156342182890855,0.0510483935094274,0.186316747024801,0.0323951141795008,0.150136239782016
"MSP",1938,0.0154798761609907,0.0469556243550052,0.022255462654498,0.0575797185306173,0.0155970594079078,0.0477432296890672,1934,0.0124095139607032,0.0599793174767322,0.018642621330398,0.0717511696281021,0.0126418475014931,0.0604020100502513
"MSY",354,0.0225988700564972,0.0988700564971751,0.0453508322110996,0.135529939494975,0.021901211556384,0.095609756097561,354,0.0225988700564972,0.152542372881356,0.0453508322110996,0.194822080264069,0.021901211556384,0.141951219512195
"OAK",93,0,0.10752688172043,0.0494754248256694,0.190572280527439,0.00832342449464923,0.0953020134228188,93,0.010752688172043,0.0752688172043011,0.066083632080853,0.151699740057142,0.014268727705113,0.0751677852348993
"ORD",7222,0.0293547493769039,0.114095818332872,0.033603790136258,0.121795666495974,0.029244093624952,0.113794998625996,7288,0.0289517014270033,0.124725576289791,0.0331540828756208,0.13267540000547,0.0288461538461538,0.124346405228758
"PBI",1638,0.0207570207570208,0.0995115995115995,0.0291520853030078,0.115326137306063,0.020663086621527,0.0987012987012987,1639,0.0213544844417328,0.109823062843197,0.0298403910952581,0.126258805018692,0.021234395053086,0.108672566371681
"PDX",519,0.00770712909441233,0.0558766859344894,0.0207854631030968,0.079924411814306,0.00908784920902053,0.0577391304347826,519,0.0115606936416185,0.0385356454720617,0.0260294892241031,0.0596202857209122,0.0124537192864355,0.0420869565217391
"PHL",6174,0.028830579850988,0.0890832523485585,0.0334151878548173,0.0966074807758172,0.0287076745823465,0.0889566613162119,6170,0.0275526742301459,0.101134521880065,0.032047588132138,0.109076019816264,0.0274450778197656,0.100899453902987
"PHX",1556,0.0237789203084833,0.0636246786632391,0.032905694150421,0.0772039738726136,0.0235409514467876,0.0640198511166253,1560,0.0179487179487179,0.0628205128205128,0.0261182100859652,0.0763107755973693,0.0179794520547945,0.0632425742574257
"PIT",1261,0.0174464710547185,0.0570975416336241,0.0266439279268285,0.0716947420686363,0.0175123484508307,0.0578587699316629,1261,0.0182394924662966,0.077716098334655,0.0275894803743052,0.0942238842346942,0.0182607394102679,0.0776006074411541
"RDU",1676,0.0184964200477327,0.0698090692124105,0.0264141226407644,0.0833515079513516,0.018501598903609,0.0699769053117783,1677,0.0220632081097197,0.0948121645796064,0.0305438779403359,0.11013165285645,0.0219153064718639,0.0941719561454126
"RIC",2258,0.0305580159433127,0.0943312666076174,0.0387204728808601,0.107381644144011,0.0301731527515858,0.0938634399308556,2259,0.030987162461266,0.0956175298804781,0.0391950558395601,0.108736768100649,0.0305886385056979,0.0951187904967603
"RSW",1630,0.0263803680981595,0.0932515337423313,0.035636704799933,0.10870307945674,0.0260380014074595,0.0926453143534994,1630,0.0233128834355828,0.098159509202454,0.0321256594078709,0.113929636786284,0.0231057940417546,0.0973902728351127
"SAN",1045,0.0258373205741627,0.0698564593301435,0.0377696961930891,0.087406908714738,0.0253526156043564,0.0701180744777475,1045,0.0181818181818182,0.0641148325358852,0.0286682065967057,0.0810844331761114,0.0182110337439743,0.0646684831970935
"SAV",365,0.0164383561643836,0.0383561643835616,0.036843353173782,0.0645654098577451,0.0168105406633348,0.0432304038004751,365,0.0219178082191781,0.0547945205479452,0.0440061466716371,0.0842734116344872,0.0213539300318037,0.0574821852731591
"SEA",1584,0.014520202020202,0.0637626262626263,0.0219905367546708,0.0772219623450023,0.0147058823529412,0.0641463414634146,1585,0.01198738170347,0.0561514195583596,0.0189454923129875,0.068926633929574,0.0122876761835923,0.0567946374162096
"SFO",4212,0.0332383665716999,0.101851851851852,0.0392381297171388,0.111561084521246,0.0329818996081358,0.101499531396439,4228,0.021286660359508,0.0849101229895932,0.0262225108603521,0.0938901540897863,0.0212400074363265,0.084780578898226
"SJC",220,0.0590909090909091,0.122727272727273,0.100366614053004,0.1743258355169,0.0487804878048781,0.11304347826087,220,0.00909090909090909,0.122727272727273,0.0355541287315199,0.1743258355169,0.0115176151761518,0.11304347826087
"SJU",1089,0.0211202938475666,0.0853994490358127,0.0319167194137521,0.103958988756149,0.020958598179007,0.0848908296943231,1150,0.0182608695652174,0.0895652173913044,0.0281590968912267,0.107919689577364,0.0182827293503101,0.0888888888888889
"SLC",622,0.0160771704180064,0.0466237942122186,0.0301301556019688,0.0668631119335975,0.0163511187607573,0.0489675516224189,623,0.0160513643659711,0.0449438202247191,0.0300822716813802,0.0648950093111385,0.0163276997994844,0.0474226804123711
"SMF",8,0,0.25,0.381832408122634,0.605498860309242,0.0168269230769231,0.096875,8,0,0.25,0.381832408122634,0.605498860309242,0.0168269230769231,0.096875
"STL",733,0.0286493860845839,0.08731241473397,0.0440173818139455,0.110588182114658,0.0277159119029943,0.0864385297845374,747,0.0214190093708166,0.0829986613119143,0.0351304618559845,0.105596622612456,0.0211627341279494,0.0824408468244085
"TPA",1208,0.0182119205298013,0.0769867549668874,0.027805663710205,0.0938234483354745,0.0182356608478803,0.0768987341772152,1208,0.0206953642384106,0.109271523178808,0.0307556906041495,0.128576204569784,0.020573566084788,0.107753164556962
