"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1722,0.0040650406504065,0.021486643437863,0.00868153907820665,0.02974975683218
"BOS",1429,0.0174947515745276,0.0650804758572428,0.026025077113889,0.0794391837826662
"BWI",1992,0.0245983935742972,0.0818273092369478,0.0326148320491677,0.0949928398379956
"CLT",1348,0.0140949554896142,0.0459940652818991,0.0222586492336781,0.0588880997182062
"DTW",904,0.00553097345132743,0.0619469026548673,0.013514390305858,0.0801068822898071
"EWR",452,0.0442477876106195,0.0951327433628319,0.0683152242030395,0.126616716447013
"FLL",622,0.0160771704180064,0.0868167202572347,0.0301301556019688,0.112270790211718
"IAD",190,0.0421052631578947,0.0947368421052632,0.0832958494960974,0.146756130443544
"JFK",2633,0.0281048233953665,0.112039498670718,0.0353365591471928,0.124940619903657
"LAS",609,0.00492610837438424,0.0443349753694581,0.0154222836600743,0.0644575529527596
"LGA",289,0.0657439446366782,0.179930795847751,0.101810926492168,0.229603073548047
"MCO",1629,0.0098219766728054,0.0828729281767956,0.0161900714108758,0.0976153891332275
"MDW",1123,0.0240427426536064,0.0854853072128228,0.0351649115302516,0.103743203097942
"MSP",156,0,0.0384615384615385,0.030066836653194,0.0844601218802256
"ORD",1991,0.0502260170768458,0.13360120542441,0.0609904108921303,0.149605494129148
"PHX",365,0.010958904109589,0.073972602739726,0.0294281494506592,0.106608255154063
"RSW",77,0,0.0649350649350649,0.0591764199999356,0.148860393288017
"TPA",590,0.0186440677966102,0.103389830508475,0.0338918462058815,0.131328431238953
