"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"DEN",1394,0.0200860832137733,0.0624103299856528,0.0292104983542942,0.0767221008164214,0.0200108902804247,0.0628965517241379,1401,0.0149892933618844,0.0906495360456817,0.0231408048528952,0.10722257168501,0.0151740956509958,0.0900480439258751
"JFK",365,0.073972602739726,0.150684931506849,0.106608255154063,0.192099027980956,0.0645161290322581,0.14061757719715,365,0.0219178082191781,0.10958904109589,0.0440061466716371,0.146887694516543,0.0213539300318037,0.104988123515439
"LAS",3358,0.0119118522930316,0.0515187611673615,0.016323695979934,0.0597143734404461,0.0120587207270185,0.0519039250146456,3385,0.00945347119645495,0.0496307237813885,0.0134562577597257,0.0576613629364914,0.00965262123576672,0.0500435919790758
"OAK",4133,0.0270989595935156,0.0633922090491169,0.032646333451128,0.0714146003240081,0.0269473884321087,0.0635473860109811,4106,0.0272771553823673,0.0664880662445202,0.0328603215016666,0.0747049787990337,0.0271214005548646,0.0666025949062951
"PDX",1015,0.012807881773399,0.0502463054187192,0.0222656955798189,0.0659239571993647,0.0132085855806274,0.0515406162464986,1015,0.0147783251231527,0.0443349753694581,0.0247076899702188,0.0592653274053968,0.0150431113557145,0.0459383753501401
"PHX",2100,0.0128571428571429,0.0457142857142857,0.0188668473809585,0.0557663467995492,0.0130562706877528,0.0464749536178108,2098,0.0133460438512869,0.0667302192564347,0.0194462410050234,0.0785031723204952,0.0135284373274434,0.0669452181987001
"SEA",1101,0.000908265213442325,0.0190735694822888,0.005845607256779,0.0294039053322643,0.00204046930794083,0.0217804667242869,1101,0,0.0263396911898274,0.00436729982164901,0.0379893374128294,0.00119027376296548,0.028694900605013
"SFO",1803,0.0488075429839157,0.158069883527454,0.0600415756306226,0.17602389630833,0.0475987647747844,0.155567509413663,1800,0.0472222222222222,0.127222222222222,0.0583145101013487,0.143783012400669,0.0460750853242321,0.125646551724138
"SJC",2335,0.0274089935760171,0.0526766595289079,0.035065070100363,0.0627426167419067,0.0271346776201145,0.0531994981179423,2339,0.0290722530996152,0.076100897819581,0.0369105175743048,0.0878282163079014,0.0287465827189131,0.0760751565762004
"SLC",926,0.00431965442764579,0.0183585313174946,0.0117023126391536,0.0297078339431514,0.00539352776667998,0.0215885947046843,926,0.00431965442764579,0.0118790496760259,0.0117023126391536,0.0216779838712639,0.00539352776667998,0.0154786150712831
"SMF",2308,0.0147313691507799,0.0519930675909879,0.0207206781376246,0.062067465347104,0.0148539778449144,0.0525380710659899,2302,0.0182450043440487,0.0564726324934839,0.0247785441514329,0.0669171290055142,0.0182567726737338,0.0569126378286684
