"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",2721,0.0205806688717383,0.081587651598677,0.0268141567647519,0.0927253563163015,0.0205278592375367,0.0814548073460569,2722,0.0183688464364438,0.0867009551800147,0.0243154757516594,0.0981206262891278,0.0183755183755184,0.0864650827933765
"AS",302,0.0033112582781457,0.0728476821192053,0.0210688852933361,0.109169544161948,0.0063626723223754,0.0731843575418994,302,0.0033112582781457,0.0165562913907285,0.0210688852933361,0.0399693750012047,0.0063626723223754,0.0256983240223464
"B6",1766,0.0237825594563986,0.0815402038505096,0.0322602074100884,0.0955638216061215,0.0235715837497284,0.0813391877058178,1766,0.0237825594563986,0.0753114382785957,0.0322602074100884,0.088889341467975,0.0235715837497284,0.0753018660812294
"DL",6964,0.00631820792647904,0.049684089603676,0.00854187880974733,0.0551615839333229,0.00644959654506194,0.0498860398860399,6964,0.00502584721424469,0.0380528431935669,0.0070512604290785,0.0429173409738271,0.00517104216388226,0.0383475783475783
"EV",363,0.0633608815426997,0.140495867768595,0.0944234162134717,0.181111430563664,0.0556823368324966,0.131742243436754,362,0.0662983425414365,0.107734806629834,0.0978938291280781,0.144993606265868,0.0580969807868253,0.103349282296651
"F9",31,0,0.290322580645161,0.135612178551497,0.471224357102993,0.0131826741996234,0.151724137931034,31,0,0,0.135612178551497,0.135612178551497,0.0131826741996234,0.0482758620689655
"FL",994,0.00201207243460765,0.0462776659959759,0.00800799190350981,0.0616423649894538,0.00317994762439207,0.0478095238095238,989,0.00101112234580384,0.0353892821031345,0.00650439564451976,0.0492816966275333,0.00225521518511558,0.037511961722488
"MQ",924,0.066017316017316,0.20995670995671,0.0844032269559053,0.238004231677267,0.0624499599679744,0.202244897959184,924,0.0551948051948052,0.146103896103896,0.0723473332627612,0.170918616854981,0.0524419535628503,0.142040816326531
"NK",1166,0.0214408233276158,0.132933104631218,0.031856148496531,0.154117963206034,0.0212697389622946,0.130278232405892,1165,0.0223175965665236,0.165665236051502,0.0328960603091799,0.188616695074817,0.0220932107724561,0.161506961506962
"OO",1,0,1,0.838178046004133,1,0.0183727034120735,0.0912280701754386,1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"UA",3149,0.0200063512226104,0.0768497935852652,0.0256763222959928,0.0869038513655912,0.0199739470256188,0.076817472698908,3150,0.0161904761904762,0.0888888888888889,0.0213815364903417,0.0995716887335691,0.0162470544462359,0.088646288209607
"US",4127,0.0142960988611582,0.0562151684031984,0.0185196662202149,0.063838050347651,0.0143734234448622,0.0564666507291418,4126,0.0106640814348037,0.056228793019874,0.0144040936442175,0.063853455198993,0.0108064362563077,0.0564801530368245
"WN",62097,0.0189703206274055,0.0830796978920077,0.0200970420682978,0.0853219808717591,0.0189698932963608,0.0830724180650974,62103,0.0202244658068048,0.0692881181263385,0.0213859064646997,0.0713542007054456,0.0202225217198311,0.0692932640486494
