"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ABQ",561,0.0071301247771836,0.0588235294117647,0.019244066861633,0.0822297667605117,562,0.0195729537366548,0.0836298932384342,0.0355614990791264,0.110212502841884
"ALB",1868,0.0187366167023555,0.0765524625267666,0.0261990916194455,0.0898139335487899,1862,0.0214822771213749,0.0553168635875403,0.0293755533016089,0.0669394194884105
"ATL",6139,0.0143345821795081,0.0651571917250366,0.0177167773426944,0.0717508713134783,6135,0.0127139364303178,0.0493887530562347,0.0159263080097878,0.0552288288098824
"AUS",680,0.0117647058823529,0.0691176470588235,0.0237984692501527,0.0913585092119111,698,0.0114613180515759,0.0515759312320917,0.0231899530690136,0.0712115378391369
"BDL",2413,0.0244508910070452,0.0953170327393286,0.0316185872700858,0.107970289500588,2430,0.0242798353909465,0.0563786008230453,0.0313983236647872,0.0665145710396536
"BHM",769,0.0169050715214564,0.0832249674902471,0.0293278701184953,0.105483776316225,781,0.0192061459667093,0.0691421254801537,0.0320464106256121,0.0897107155528661
"BNA",2072,0.0299227799227799,0.0859073359073359,0.0384159157985483,0.0990574044750687,2068,0.0319148936170213,0.0710831721470019,0.0406464943724199,0.0832620406597066
"BOS",4812,0.0241064006650042,0.0953865336658354,0.0289571748785081,0.104201594981633,4821,0.025305953121759,0.0800663762704833,0.0302555476617448,0.0882441982925389
"BUF",1992,0.0245983935742972,0.0818273092369478,0.0326148320491677,0.0949928398379956,1997,0.0255383074611918,0.071607411116675,0.0336662165156172,0.0840550735502719
"CHS",1137,0.0175901495162709,0.079155672823219,0.0274232724475146,0.0967516990915156,1138,0.0193321616871705,0.0667838312829526,0.0295047780225855,0.0832308528377733
"CLE",1263,0.0150435471100554,0.0712589073634204,0.0237481292291343,0.0871931551580045,1253,0.0207501995211492,0.0694333599361532,0.0306002162667169,0.0852726665529371
"CLT",3761,0.0162190906673757,0.0638128157404945,0.0209139795384212,0.0722699041987902,3763,0.0132872707945788,0.0579325006643635,0.0176061365784425,0.0660434092688755
"CMH",1603,0.0237055520898316,0.0792264504054897,0.0326637793941458,0.0938300110170202,1610,0.0204968944099379,0.0720496894409938,0.0289362854515706,0.0860695837190465
"CVG",7,0,0,0.414400781478848,0.414400781478848,1,0,0,0.838178046004133,0.838178046004133
"DAL",775,0.0206451612903226,0.0864516129032258,0.0338724976380286,0.108935084801774,773,0.0219922380336352,0.0750323415265201,0.0355348132980525,0.0963729388225496
"DAY",902,0.0210643015521064,0.0975609756097561,0.0331769426095081,0.119212606289994,902,0.0177383592017738,0.0643015521064302,0.0291396993654501,0.0827485309189511
"DEN",1931,0.0150181253236665,0.0688762299326774,0.0217291830754164,0.0813501917463198,1922,0.0130072840790843,0.068678459937565,0.019376534003165,0.0811691462339629
"DFW",1832,0.0262008733624454,0.10207423580786,0.0348301956451597,0.11712517514606,1834,0.0207197382769902,0.101417666303162,0.0285694850819878,0.116421290892182
"DTW",2624,0.0102896341463415,0.0647865853658537,0.0151106314418033,0.0750977452154763,2625,0.00914285714285714,0.0579047619047619,0.0137495192073704,0.0677373342494405
"EWR",146,0.0753424657534247,0.123287671232877,0.132610271388269,0.18884442665243,143,0.0979020979020979,0.125874125874126,0.160218276907286,0.192609401601024
"FLL",3898,0.0151359671626475,0.0890200102616727,0.0196047977178817,0.0985784339707956,3894,0.0159219311761685,0.0790960451977401,0.0204895092283759,0.0881950730395916
"GRR",710,0.0197183098591549,0.0788732394366197,0.033487193665951,0.101680387436365,713,0.0182328190743338,0.0546984572230014,0.0316102003835621,0.0745253988062135
"GSP",369,0.013550135501355,0.0623306233062331,0.0328193439366041,0.0929197523107394,370,0.0162162162162162,0.0891891891891892,0.0363530109409485,0.12370299146181
"HOU",1105,0.0217194570135747,0.0886877828054299,0.0325318177061174,0.107373298434957,1109,0.018034265103697,0.0640216411181244,0.0281111016763163,0.0804295741767974
"IAH",883,0.0237825594563986,0.105322763306908,0.0366025816019155,0.127869363316442,876,0.0136986301369863,0.0821917808219178,0.024344942899133,0.102801580341097
"IND",1123,0.0204808548530721,0.103294746215494,0.0309569335012144,0.122942997385877,1097,0.0264357338195077,0.0711030082041933,0.0381268321628607,0.0883073451793261
"JAX",1195,0.0133891213389121,0.0736401673640167,0.0220361533182211,0.0902816268307635,1193,0.0176026823134954,0.0502933780385583,0.0271504307440433,0.0646071427342053
"JFK",364,0.0714285714285714,0.178571428571429,0.103729419833172,0.22229789311309,364,0.0824175824175824,0.186813186813187,0.116333214117051,0.231135487565383
"LAS",1645,0.00911854103343465,0.0723404255319149,0.0152841691250038,0.0862204171025703,1635,0.00856269113149847,0.0795107033639144,0.0146191922112566,0.0939801900508357
"LAX",909,0.0077007700770077,0.0792079207920792,0.0163968827189175,0.0991157591974119,914,0.00984682713347921,0.0470459518599562,0.0191649108047433,0.063271723978494
"LGA",1,0,0,0.838178046004133,0.838178046004133,0,0,0,0,0
"LIT",351,0.0284900284900285,0.102564102564103,0.0529861977577902,0.139860010563081,352,0.0170454545454545,0.0767045454545455,0.0381823959001489,0.110455992013181
"MCI",865,0.0196531791907514,0.0786127167630058,0.0317859232308064,0.0990162293284024,885,0.015819209039548,0.0836158192090395,0.0269152779884655,0.104244847379119
"MCO",3292,0.0167071688942892,0.0859659781287971,0.0218351137619962,0.0962594454368255,3295,0.0224582701062215,0.0804248861911988,0.0282611673841221,0.0904304044288085
"MDW",2185,0.0503432494279176,0.105263157894737,0.060583564494054,0.119142797328239,2183,0.038021071919377,0.101694915254237,0.0471317836390865,0.115390454933158
"MEM",420,0.00952380952380952,0.0523809523809524,0.0256230976235419,0.0790486297844758,421,0.0190023752969121,0.106888361045131,0.0382346020598405,0.141013994892528
"MIA",1070,0.0102803738317757,0.0514018691588785,0.0187777719429328,0.0667537402079858,1069,0.0112254443405051,0.0645463049579046,0.0199760811695598,0.0813468804727152
"MKE",954,0.0188679245283019,0.0911949685534591,0.0301152562241017,0.11165988289106,963,0.0176531671858775,0.0623052959501558,0.0285746924784019,0.0798705323280181
"MSP",1031,0.00872938894277401,0.0455868089233754,0.0170028079904885,0.0605454888549954,1031,0.00872938894277401,0.0562560620756547,0.0170028079904885,0.0724987325904563
"MSY",893,0.0111982082866741,0.0604703247480403,0.021049838011863,0.0785863046252883,879,0.0159271899886234,0.0568828213879408,0.0270976086907177,0.074735106380365
"OAK",295,0.00677966101694915,0.0508474576271186,0.0266660670872551,0.0836399894288153,295,0.0169491525423729,0.0949152542372881,0.040900318127832,0.135084861968683
"OKC",365,0.0164383561643836,0.104109589041096,0.036843353173782,0.140769272247348,365,0.0219178082191781,0.0465753424657534,0.0440061466716371,0.0744997016600395
"ORD",2049,0.038555392874573,0.13909224011713,0.0480474118703073,0.155102167123688,2047,0.033219345383488,0.142159257449927,0.0421478167325656,0.158310567925771
"ORF",1113,0.0179694519317161,0.0943396226415094,0.0280107354487277,0.113404062960681,1112,0.0179856115107914,0.0683453237410072,0.0280357597581507,0.0851568711419154
"PBI",1015,0.00492610837438424,0.0748768472906404,0.0120444517821048,0.0932031717420629,1015,0.0137931034482759,0.0660098522167488,0.0234906229927714,0.0834552691033175
"PDX",87,0.0114942528735632,0.0919540229885057,0.0704013462528633,0.175460899969079,87,0.0229885057471264,0.172413793103448,0.0869351649569699,0.268529399052108
"PHL",283,0.0106007067137809,0.0812720848056537,0.0328676268437195,0.120399087511498,282,0.0141843971631206,0.0957446808510638,0.0379276895356692,0.137096816870446
"PHX",1694,0.0100354191263282,0.0590318772136954,0.0162949859767757,0.0716036104106442,1701,0.00823045267489712,0.0593768371546149,0.014054178806413,0.0719502245122873
"PIT",1058,0.0132325141776938,0.0652173913043478,0.0225419092642699,0.082183828148478,1049,0.0181124880838894,0.0495710200190658,0.0285596398293896,0.0648766709789795
"PVD",2799,0.0203644158628081,0.0857449088960343,0.0264715491056857,0.0969458837407894,2804,0.0231811697574893,0.06169757489301,0.0296204489436012,0.0714458011391452
"RDU",2137,0.0173139915769771,0.0734674777725784,0.023996130604758,0.0855976362726094,2137,0.0210575573233505,0.0627047262517548,0.0282858366531538,0.07406392819933
"ROC",715,0.0181818181818182,0.0811188811188811,0.031522588941064,0.104077133871353,722,0.0166204986149584,0.0678670360110803,0.0294914743251575,0.0892177027392225
"RSW",1281,0.0109289617486339,0.0889929742388759,0.0186381622905309,0.106261014656334,1274,0.0156985871271586,0.0627943485086342,0.0244911880522268,0.0778717686510284
"SAN",764,0.00916230366492147,0.0484293193717278,0.0194853387307553,0.0666259577535039,754,0.0119363395225464,0.0424403183023873,0.023199133571876,0.0598909716914252
"SAT",851,0.00587544065804935,0.0716803760282021,0.014350639745298,0.0915537635329519,848,0.0106132075471698,0.0566037735849057,0.0206458805130849,0.0747897807765076
"SDF",1239,0.0161420500403551,0.0742534301856336,0.0251789579211986,0.0906219713982271,1238,0.0169628432956381,0.0759289176090469,0.0261694334418412,0.0924503694911503
"SEA",568,0.00352112676056338,0.0757042253521127,0.0139615200158598,0.101185061965211,568,0.00528169014084507,0.0299295774647887,0.0165254318256353,0.0482024240197756
"SFO",323,0.0185758513931889,0.043343653250774,0.0415511583328065,0.0727884611840013,324,0.00925925925925926,0.0617283950617284,0.0287741422280835,0.0946974708552117
"SJU",656,0,0.0777439024390244,0.00730930057210094,0.101459654543576,656,0.00609756097560976,0.0426829268292683,0.0164797887217359,0.0616705924548335
"SLC",1067,0.00374882849109653,0.0459231490159325,0.010163620523396,0.0606336517728696,1067,0.0056232427366448,0.0365510777881912,0.0127317341497877,0.0500081533480224
"STL",1351,0.0229459659511473,0.0814211695040711,0.0327294158414019,0.0976179990058883,1340,0.0186567164179104,0.0701492537313433,0.0277435924528572,0.0854784962940972
"TPA",2345,0.0149253731343284,0.0818763326226013,0.0208894562968132,0.0939470705970176,2359,0.0156846121237813,0.0614667231877914,0.0217462957913182,0.0721465749778751
