"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ATL",2751,0.00981461286804798,0.0472555434387495,0.0144150612359575,0.0560511857877111,0.0100488288160781,0.047809048806555,2752,0.00726744186046512,0.0530523255813953,0.0113727557563272,0.0622890909364201,0.00756932654216185,0.0534900284900285
"BDL",141,0.00709219858156028,0.141843971631206,0.0443315778092427,0.211309816353846,0.0111008325624422,0.122842639593909,138,0,0.036231884057971,0.0338622393661805,0.0856297889951152,0.00656660412757974,0.0474226804123711
"BNA",871,0.0114810562571757,0.0447761194029851,0.0215777503324899,0.0611458478502137,0.0120481927710843,0.0466019417475728,877,0.0102622576966933,0.0581527936145952,0.0199678873478666,0.0761810028855459,0.0109220751942869,0.0591639871382637
"BOS",1408,0.0227272727272727,0.107244318181818,0.0322384156403474,0.124900788501937,0.0225188781014024,0.106010928961749,1416,0.0240112994350282,0.0875706214689266,0.033695007613703,0.103824501860153,0.0237392703862661,0.0870923913043478
"BWI",1253,0.0207501995211492,0.0694333599361532,0.0306002162667169,0.0852726665529371,0.0206294232796266,0.0696715049656226,1263,0.0150435471100554,0.0712589073634204,0.0237481292291343,0.0871931551580045,0.0152443580929607,0.0714177407126611
"CHS",18,0,0.0555555555555556,0.213490884084226,0.282693646360544,0.0150214592274678,0.0702702702702703,18,0,0.0555555555555556,0.213490884084226,0.282693646360544,0.0150214592274678,0.0702702702702703
"CLT",1270,0.0078740157480315,0.0220472440944882,0.0148316304015035,0.0320445099985324,0.00847457627118644,0.0242835595776772,1270,0.0031496062992126,0.0291338582677165,0.00854586327516356,0.040264785475065,0.004014272970562,0.0310708898944193
"CVG",15,0,0,0.246074958749461,0.246074958749461,0.0155210643015521,0.0591549295774648,16,0,0.1875,0.234164078649987,0.443649167310371,0.0153508771929825,0.1
"DCA",1513,0.0224719101123595,0.0740251156642432,0.0315469734955804,0.0886856449926674,0.022289384208538,0.0740599107711919,1511,0.0238252812706817,0.0688285903375248,0.0331176416696229,0.0830744849051234,0.0235783633841886,0.0690491384811742
"DEN",1509,0.0125911199469848,0.074884029158383,0.0198951251307154,0.0896341108826881,0.0128771619744982,0.074888178913738,1528,0.00654450261780105,0.0674083769633508,0.0123374777621188,0.0814485201852375,0.00711077844311377,0.0676767676767677
"DFW",1885,0.0344827586206897,0.10026525198939,0.0439797577177682,0.114984609840264,0.0338740944801551,0.0995363214837712,1893,0.0243000528262018,0.10459587955626,0.0325144850681078,0.119531762363066,0.0240829184026014,0.103745510518214
"DTW",783,0.0102171136653895,0.0715197956577267,0.0206915444002476,0.0923247034385299,0.0109531577720811,0.0717520858164482,712,0.0098314606741573,0.0926966292134832,0.0208968872229184,0.11688509644313,0.0106707317073171,0.09140625
"EWR",1639,0.0335570469798658,0.100061012812691,0.0437221139562139,0.115904931411742,0.0329016450822541,0.0992330383480826,1588,0.0239294710327456,0.102015113350126,0.0329705975545135,0.118252144169203,0.0236892736892737,0.101094890510949
"FLL",754,0.0106100795755968,0.0663129973474801,0.0214811320684173,0.0869640154958023,0.0113362276893391,0.0669135802469136,753,0.0119521912350598,0.0849933598937583,0.0232296951126173,0.107693027185812,0.0125573532963052,0.0843016069221261
"IAD",471,0.029723991507431,0.0912951167728238,0.0502402294954265,0.121610703066692,0.0281948004393995,0.0895635673624288,504,0.0376984126984127,0.111111111111111,0.0590033757817679,0.142393077042654,0.0352209944751381,0.1075
"IAH",1295,0.0154440154440154,0.050965250965251,0.0240962701529665,0.0647074272422782,0.0156181579331484,0.0519615099925981,1378,0.00870827285921625,0.0703918722786647,0.0155175936182283,0.0855092206221349,0.00922102945224332,0.0705718270571827
"IND",1,1,1,1,1,0.031496062992126,0.0912280701754386,0,0,0,0,0,0,0
"JFK",365,0.0684931506849315,0.158904109589041,0.100284219131687,0.201020560095072,0.0599727396637892,0.147743467933492,365,0.0821917808219178,0.167123287671233,0.116021728466535,0.209907828498549,0.0713312130849614,0.154869358669834
