"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",26,0,0.0384615384615385,0.157750673475196,0.209544511501033
"ALB",719,0.00973574408901252,0.0389429763560501,0.0206950742124937,0.0563274862790849
"ATL",6888,0.00551684088269454,0.0410859465737515,0.00763382916113176,0.0461489275553508
"AUS",359,0.011142061281337,0.0362116991643454,0.0299127365047707,0.0622155307935028
"BDL",1756,0.0159453302961276,0.0427107061503417,0.0232163000424069,0.0535009833420206
"BHM",1,0,0,0.838178046004133,0.838178046004133
"BNA",1373,0.0189366351056082,0.0407865986890022,0.0279410711019381,0.0529464885352482
"BOS",3901,0.0212765957446809,0.0576775185849782,0.0264372095525444,0.0656194879620392
"BUF",1348,0.0200296735905045,0.0437685459940653,0.0293300246109391,0.0564083186280964
"BWI",3761,0.0162190906673757,0.0638128157404945,0.0209139795384212,0.0722699041987902
"CHS",268,0.0111940298507463,0.0298507462686567,0.0346722099628662,0.059585317786989
"CLE",1270,0.0078740157480315,0.0220472440944882,0.0148316304015035,0.0320445099985324
"CMH",107,0.0186915887850467,0.0373831775700935,0.0714168167621199,0.0969795975087198
"CVG",63,0.0158730158730159,0.0634920634920635,0.0953083426286757,0.159320569872076
"DCA",2718,0.0194996320824135,0.0507726269315673,0.0255994792655372,0.0598999726149915
"DEN",1908,0.00786163522012579,0.0356394129979036,0.0131848692407663,0.0452008555760196
"DFW",4746,0.0191740412979351,0.0619469026548673,0.0235994853987549,0.0693305127480224
"DSM",29,0,0.0344827586206897,0.143678111132405,0.190996705920578
"DTW",3323,0.00872705386698766,0.0445380680108336,0.0126490918344829,0.0522802358879362
"EWR",4792,0.0325542570951586,0.0774207011686144,0.0380988409297167,0.0855074996019257
"FLL",2716,0.00736377025036819,0.0320324005891016,0.0115230945993844,0.039542907935327
"GSO",193,0.0103626943005181,0.0155440414507772,0.0404019421598084,0.0477919706046361
"HOU",410,0.0048780487804878,0.075609756097561,0.0192768826717653,0.106332651428573
"IAD",205,0.0292682926829268,0.151219512195122,0.0648207308633581,0.208340404031423
"IAH",4338,0.0138312586445367,0.0645458736745044,0.0178800500869802,0.0724267059172801
"IND",927,0.00970873786407767,0.0302049622437972,0.0188979015922417,0.0437986155063623
"JAX",2216,0.00541516245487365,0.0370036101083032,0.00966652316092288,0.0459370131785297
"JFK",2810,0.0281138790035587,0.0914590747330961,0.0350885026978794,0.102938864681251
"LAS",1698,0.00824499411071849,0.0235571260306243,0.0140789120967631,0.0321977427465882
"LAX",2123,0.00706547338671691,0.0282618935468676,0.0118538746175156,0.0364441930453143
"LGA",3779,0.0267266472611802,0.0762106377348505,0.0325190461639321,0.0853098851237547
"MCI",1435,0.00836236933797909,0.0390243902439024,0.0149039772733184,0.0506750727019596
"MCO",3353,0.0077542499254399,0.0477184610796302,0.0114801243866971,0.0556550591460151
"MDW",694,0.0230547550432277,0.0648414985590778,0.0377867588804496,0.0863060714865804
"MEM",695,0.0215827338129496,0.0460431654676259,0.0359732735591362,0.0649137990167739
"MIA",3244,0.0132552404438964,0.0416152897657213,0.0179566329077621,0.0492334910852478
"MSP",2305,0.00737527114967462,0.0368763557483731,0.0119886772857333,0.0456041319690593
"MSY",1710,0.00760233918128655,0.0368421052631579,0.013250873953782,0.047150417507418
"ORD",5238,0.0248186330660557,0.084192439862543,0.029509175066897,0.0921932753439797
"ORF",682,0.0102639296187683,0.0190615835777126,0.0218083257346618,0.0330332542292354
"PBI",1768,0.00735294117647059,0.0361990950226244,0.0128177833907624,0.0462430119586376
"PDX",279,0,0.014336917562724,0.0170262012788392,0.0383278043189452
"PHL",3220,0.0152173913043478,0.0608695652173913,0.0202138453104117,0.0698711617432601
"PHX",3032,0.00494722955145119,0.0257255936675462,0.0083080011932739,0.0321644547842033
"PIT",2776,0.00864553314121038,0.0338616714697406,0.0130036828520519,0.0414584887152942
"PVD",1186,0.0286677908937605,0.0623946037099494,0.0401824314660712,0.0780417172800041
"RDU",2555,0.0125244618395303,0.0454011741682975,0.0178132755527601,0.0544035746631634
"RIC",1294,0.0154559505409583,0.0417310664605873,0.0241147867517362,0.0544223537825225
"ROC",276,0.0072463768115942,0.0434782608695652,0.0284690206970564,0.0760494036125864
"RSW",1889,0.00847008999470619,0.0391741662255161,0.0139698061006306,0.049171689954433
"SAN",697,0.00717360114777618,0.0258249641319943,0.0174964572966732,0.0411066413341483
"SAT",358,0.0111731843575419,0.0363128491620112,0.0299950568238559,0.0623861495466172
"SDF",8,0,0,0.381832408122634,0.381832408122634
"SEA",876,0.0102739726027397,0.0319634703196347,0.0199905243171259,0.0463251232255444
"SFO",1980,0.00353535353535354,0.0151515151515152,0.00755361676435483,0.0217853316610715
"SJU",723,0.004149377593361,0.0525587828492393,0.0130078826508828,0.0719342595348281
"SLC",687,0.00436681222707424,0.0276564774381368,0.0136844090269236,0.0434512431673094
"SMF",147,0,0.0204081632653061,0.0318518766947394,0.0622349051376354
"STL",962,0.00727650727650728,0.0498960498960499,0.015498948532857,0.0660158133059612
"TPA",3122,0.00864830237027546,0.0419602818705958,0.0127064155037321,0.0497661942494954
