"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",27,0,0.148148148148148,0.152763434119102,0.335464950020664,0.0136986301369863,0.0987951807228916
"ALB",719,0.00973574408901252,0.0417246175243394,0.0206950742124937,0.059558094800813,0.0105766809367917,0.0441290322580645
"ATL",6889,0.00479024531862389,0.0480476121352881,0.00678979860169018,0.0534751327752689,0.00493954797392378,0.0482649388048956
"AUS",359,0.00278551532033426,0.0250696378830084,0.017767926852497,0.048297445309702,0.00552740672501152,0.0318072289156626
"BDL",1756,0.0130979498861048,0.0489749430523918,0.019845865485228,0.0603901176824204,0.0133245958934032,0.0497792494481236
"BHM",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"BNA",1372,0.0102040816326531,0.043731778425656,0.0174079595726877,0.0562421064119009,0.0106412382531786,0.0449579831932773
"BOS",3906,0.0192012288786482,0.0714285714285714,0.0241371517434231,0.0801276059728211,0.0191901939113835,0.0714790509843513
"BUF",1348,0.0140949554896142,0.0459940652818991,0.0222586492336781,0.0588880997182062,0.0143338954468803,0.0471509971509972
"BWI",3763,0.0132872707945788,0.0579325006643635,0.0176061365784425,0.0660434092688755,0.0133916940232401,0.0581827703587326
"CHS",268,0.00746268656716418,0.0447761194029851,0.0293032327255071,0.078265387659921,0.00990675990675991,0.05
"CLE",1270,0.0031496062992126,0.0291338582677165,0.00854586327516356,0.040264785475065,0.004014272970562,0.0310708898944193
"CMH",107,0.00934579439252336,0.0186915887850467,0.0578105295919729,0.0714168167621199,0.013172338090011,0.0380368098159509
"CVG",63,0.0158730158730159,0.0793650793650794,0.0953083426286757,0.179215777995445,0.0173661360347323,0.0773109243697479
"DCA",2665,0.0135084427767355,0.0570356472795497,0.0188238093909665,0.0667263684194564,0.0136486387854901,0.0574053656743844
"DEN",1909,0.00838135149292824,0.0550026191723415,0.0138239763330192,0.0664408048122581,0.0087692772905957,0.0555725190839695
"DFW",4745,0.0198103266596417,0.0674394099051633,0.0242991878579072,0.0751001616560494,0.0197917098875565,0.0675275984169965
"DSM",29,0,0,0.143678111132405,0.143678111132405,0.0134357005758157,0.0494117647058824
"DTW",3322,0.00632149307645996,0.0382299819385912,0.00978906834467774,0.04548128696548,0.0065936653714824,0.0388395500296033
"EWR",4806,0.0328755722014149,0.107573866000832,0.0384353227363688,0.11684716422469,0.0326559042858314,0.107198683669272
"FLL",2716,0.00478645066273932,0.0430780559646539,0.00835462455905316,0.051593687748757,0.00515907136715391,0.0437229437229437
"GSO",193,0.0103626943005181,0.0259067357512953,0.0404019421598084,0.0619118824962198,0.0126771066368382,0.0369477911646586
"HOU",415,0.0072289156626506,0.0746987951807229,0.0225426550914705,0.10507735595466,0.00897592819257446,0.0747346072186837
"IAD",363,0.0220385674931129,0.09366391184573,0.04424467199403,0.129145112742701,0.0214513920584208,0.0911694510739857
"IAH",4366,0.0180943655519927,0.0732936326156665,0.0226161099569074,0.081588376079052,0.0181032153472035,0.0733152419719584
"IND",614,0.00651465798045603,0.0179153094462541,0.0175973139609417,0.0325806707268452,0.00783517121300058,0.0226865671641791
"JAX",2216,0.00451263537906137,0.0406137184115523,0.00851777161449376,0.0499016342248706,0.00497555865921788,0.0414612676056338
"JFK",2808,0.0277777777777778,0.111823361823362,0.0347198604944151,0.124287208905663,0.02753884572697,0.111103351955307
"LAS",1698,0.00353356890459364,0.0447585394581861,0.0080161833053791,0.0559659396682367,0.00417324610872998,0.0457240592930445
"LAX",2123,0.00471031559114461,0.0438059349976448,0.0088898128799298,0.0536216675217617,0.00518606132290055,0.0446076181734741
"LGA",3671,0.0318714246799237,0.108962135657859,0.0382207572704203,0.119685212638365,0.0316053600982329,0.108451837939361
"MCI",1436,0.00696378830083565,0.0515320334261838,0.0131244967529612,0.0645619814173277,0.0075436739015352,0.0524128686327078
"MCO",3353,0.00447360572621533,0.0512973456606024,0.00751424043989088,0.0594843622656568,0.00478385158392159,0.0516867116456439
"MDW",688,0.0276162790697674,0.059593023255814,0.0433887477024197,0.0804925889791477,0.0267295597484277,0.060752688172043
"MEM",697,0.0114777618364419,0.0559540889526542,0.023222941984101,0.0762141242533838,0.0121730121730122,0.0573705179282869
"MIA",3245,0.0073959938366718,0.0446841294298921,0.0111287018630219,0.0525373343270444,0.00765014155773748,0.0451984247197819
"MKE",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"MSP",2358,0.00551314673452078,0.0407124681933842,0.00961953088196601,0.0496968273227706,0.00591813250041098,0.0415078707539354
"MSY",1761,0.00511073253833049,0.0420215786484952,0.00997878022179256,0.0527229923326647,0.00566387103801329,0.0430379746835443
"ORD",5037,0.0246178280722652,0.0933095096287473,0.0293925015313989,0.101838310593402,0.0245295567466062,0.0931081877086197
"ORF",681,0.00587371512481645,0.0308370044052863,0.0158795283379086,0.0473419857697427,0.00714096799788416,0.0341926729986431
"PBI",1777,0.0056274620146314,0.0365785030951041,0.0106147239753902,0.0466366234626907,0.00615484288953677,0.0377523186033824
"PDX",279,0,0.0573476702508961,0.0170262012788392,0.0926183688991808,0.00395256916996047,0.0602985074626866
