"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",342,0,0.0292397660818713,0.0139313313079211,0.0543554936892586,0.00335570469798658,0.035678391959799
"DEN",2441,0.025809094633347,0.0970913560016387,0.0330915082534409,0.10976245818371,0.0255941499085923,0.0965959150981178
"DFW",1314,0.0251141552511416,0.0951293759512938,0.0354127456052232,0.112614153205265,0.0247624532104809,0.0943065693430657
"IAD",80,0.05,0.1,0.127628270890675,0.189716290441031,0.0347938144329897,0.0897058823529412
"IAH",1040,0.0192307692307692,0.0855769230769231,0.0299630891487532,0.104624837586772,0.0191893830703013,0.085036496350365
"LAX",831,0.00842358604091456,0.075812274368231,0.0179252419961383,0.0963882646100798,0.00926947693665857,0.07576099210823
"ORD",1134,0.0291005291005291,0.122574955908289,0.0409919027763542,0.143434797070141,0.0284485610320873,0.120336134453782
"SEA",365,0.0246575342465753,0.063013698630137,0.0475166178389031,0.093916818189003,0.0236256247160382,0.0646080760095012
"SFO",186,0.032258064516129,0.333333333333333,0.0712446414600802,0.405418532298607,0.0283307810107198,0.273553719008264
"SLC",688,0.00726744186046512,0.0479651162790698,0.017723513316986,0.0672385166522549,0.00838574423480084,0.05
