"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",2463,0.00406008932196508,0.0361347949654892,0.0076657205433673,0.0444765298612021,0.00449137183831061,0.0369988090512108
"BDL",25,0.04,0.04,0.216552884191145,0.216552884191145,0.0239520958083832,0.0641975308641975
"BNA",382,0.0261780104712042,0.0706806282722513,0.0487555976603404,0.101963331647931,0.0249343832020997,0.0712328767123288
"BOS",306,0.00980392156862745,0.0588235294117647,0.0304384636511467,0.092422377176877,0.0115424973767051,0.0613259668508287
"BWI",7,0,0,0.414400781478848,0.414400781478848,0.0170316301703163,0.0666666666666667
"CLE",15,0,0,0.246074958749461,0.246074958749461,0.0155210643015521,0.0591549295774648
"CLT",63,0.0158730158730159,0.0793650793650794,0.0953083426286757,0.179215777995445,0.0173661360347323,0.0773109243697479
"DCA",3,0,0,0.627208174095541,0.627208174095541,0.0179028132992327,0.0711864406779661
"DEN",1058,0.00661625708884688,0.0812854442344045,0.0141003033690222,0.0997811084399974,0.00741263678079774,0.0809694793536804
"DFW",2301,0.0352020860495437,0.119513255106475,0.0437699804331822,0.133719111281025,0.0346772157225823,0.118455663979635
"DTW",272,0.0147058823529412,0.0808823529411765,0.0392950620236358,0.120877804243717,0.0155529953917051,0.0798780487804878
"EWR",1678,0.0554231227651967,0.122169249106079,0.0677378628432985,0.139088133516296,0.053844398813598,0.120645905420992
"FLL",449,0,0.0534521158129176,0.0106449811245627,0.0792517787101303,0.00267073636016788,0.0558415841584158
"GRR",251,0.0278884462151394,0.0557768924302789,0.0584045746322401,0.0931174669865142,0.0257510729613734,0.0592833876221498
"IAD",239,0.00418410041841004,0.0878661087866109,0.0265129706308456,0.132207633790609,0.00763844684914067,0.0854237288135593
"IAH",1368,0.0160818713450292,0.070906432748538,0.0245713443565017,0.0861285352564252,0.0162139689578714,0.0710674157303371
"JFK",367,0.0626702997275204,0.171662125340599,0.0934156255642338,0.214673919178008,0.0551786521935776,0.15886524822695
"LAS",437,0.0091533180778032,0.146453089244851,0.0246384103439756,0.183634883322648,0.0105427567356501,0.138336713995943
"LAX",613,0.00163132137030995,0.0261011419249592,0.0104629979129534,0.0427238134654484,0.003487358326068,0.0301943198804185
"LGA",152,0.0855263157894737,0.171052631578947,0.143359963756001,0.240937916873362,0.0633802816901408,0.145192307692308
"MCI",56,0.0178571428571429,0.0535714285714286,0.106273143387114,0.15469573654814,0.0182926829268293,0.0642857142857143
"MCO",936,0.00747863247863248,0.0811965811965812,0.0159268165019113,0.100973197126432,0.00830696202531646,0.0808467741935484
"MEM",27,0,0.0740740740740741,0.152763434119102,0.24945245487192,0.0136986301369863,0.0746987951807229
"MIA",690,0.0130434782608696,0.0478260869565217,0.0253320902392252,0.0670460208592687,0.0135912179822269,0.0498659517426273
"MKE",422,0.0165876777251185,0.0853080568720379,0.0350616933797248,0.116821851469677,0.0168946098149638,0.0841004184100418
"MSN",104,0,0.0192307692307692,0.0444640333599146,0.0733817319601969,0.0078125,0.03875
"MSP",553,0.00361663652802893,0.0470162748643761,0.0143368248907774,0.0687855932550812,0.00541228907991086,0.0495894909688013
"MSY",6,0,0,0.45298221281347,0.45298221281347,0.0172413793103448,0.067741935483871
"ORD",4166,0.0487277964474316,0.126740278444551,0.0558568101435772,0.137414397505432,0.0481939073847024,0.126054002842255
"PHL",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"PHX",123,0,0.032520325203252,0.0378430524907998,0.0848964997607452,0.0070635721493441,0.0458100558659218
"PIT",7,0.142857142857143,0.285714285714286,0.54129052577309,0.653717830988169,0.0291970802919708,0.0984126984126984
"RDU",35,0,0.0571428571428571,0.12192176735602,0.199726249582702,0.0127041742286751,0.0681318681318681
"RIC",43,0.0232558139534884,0.0697674418604651,0.13514302822097,0.196331257271307,0.0203045685279188,0.0727272727272727
"RSW",352,0.00284090909090909,0.0511363636363636,0.0181165022507168,0.0805881934571836,0.00561797752808989,0.0544117647058824
"SAN",50,0,0,0.0884361975176823,0.0884361975176823,0.0111821086261981,0.039622641509434
"SEA",156,0,0.00641025641025641,0.030066836653194,0.0401966999209669,0.00605536332179931,0.0245283018867925
"SFO",271,0,0.03690036900369,0.0175204478783458,0.0682740233259774,0.00404390525707683,0.0434250764525994
"SLC",580,0,0.0224137931034483,0.00825955440740815,0.038777127184945,0.00213675213675214,0.0270440251572327
"STL",166,0.00602409638554217,0.0301204819277108,0.0378435291840001,0.0716553808891713,0.00995024875621891,0.0414414414414414
"TPA",353,0,0.0311614730878187,0.013502782162997,0.0562425502441413,0.00326950023353573,0.0371638141809291
"XNA",162,0.0123456790123457,0.0679012345679012,0.0479006828893304,0.120017977373799,0.0143338954468803,0.0697247706422018
