"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",2459,0.00569337128914193,0.0402602684017893,0.00973364721511953,0.0489985071794996
"BDL",26,0.0384615384615385,0.0384615384615385,0.209544511501033,0.209544511501033
"BNA",390,0.0205128205128205,0.0666666666666667,0.0412278645417569,0.0969543905066393
"BOS",313,0.0159744408945687,0.0862619808306709,0.0385891260355748,0.123867086385496
"BWI",1,0,0,0.838178046004133,0.838178046004133
"CLE",16,0,0.1875,0.234164078649987,0.443649167310371
"CLT",63,0.0158730158730159,0.0634920634920635,0.0953083426286757,0.159320569872076
"DCA",3,0,0,0.627208174095541,0.627208174095541
"DEN",1037,0.0154291224686596,0.0973963355834137,0.0253713753160954,0.117451939206019
"DFW",2307,0.046814044213264,0.126137841352406,0.0564564578431689,0.140627758295182
"DTW",310,0.0161290322580645,0.0516129032258065,0.0389560142334602,0.083562049572807
"EWR",1724,0.0696055684454756,0.146171693735499,0.0829262884296639,0.16402722547838
"FLL",449,0,0.0512249443207127,0.0106449811245627,0.0766449136735669
"GRR",251,0.0199203187250996,0.051792828685259,0.0479151716204967,0.0882929078157717
"IAD",128,0.0078125,0.0546875,0.0486705347132746,0.112059422689246
"IAH",1360,0.0264705882352941,0.107352941176471,0.0367711723365977,0.125346880573583
"JFK",366,0.0655737704918033,0.155737704918033,0.0968464960585649,0.197525140995366
"LAS",439,0.00227790432801822,0.0979498861047836,0.0145651291780944,0.130286103629718
"LAX",613,0.00163132137030995,0.0179445350734095,0.0104629979129534,0.0326332743421569
"LGA",96,0.125,0.270833333333333,0.20939740629159,0.369799777282575
"MCI",34,0,0.0294117647058824,0.12507865280123,0.166435521868996
"MCO",935,0.00748663101604278,0.06524064171123,0.0159437452341471,0.0834214391757869
"MEM",26,0,0.0769230769230769,0.157750673475196,0.257459911500168
"MIA",689,0.0145137880986938,0.0957910014513788,0.0272264889479461,0.120724939581499
"MKE",425,0.0117647058823529,0.08,0.0285504762207815,0.110688747630953
"MSN",107,0.00934579439252336,0.0373831775700935,0.0578105295919729,0.0969795975087198
"MSP",494,0.0222672064777328,0.0748987854251012,0.0403942958669978,0.102391486848784
"MSY",6,0,0,0.45298221281347,0.45298221281347
"ORD",4322,0.0543729754743174,0.142989356779269,0.0617046520536423,0.153974348918539
"PHL",1,0,0,0.838178046004133,0.838178046004133
"PHX",126,0.00793650793650794,0.0793650793650794,0.0494145993357469,0.143082302028124
"PIT",9,0.111111111111111,0.222222222222222,0.464478315480846,0.563707782873183
"RDU",39,0,0.102564102564103,0.110741083133817,0.24521755922617
"RIC",50,0.02,0.08,0.117898178631865,0.196644484324389
"RSW",352,0.00284090909090909,0.0426136363636364,0.0181165022507168,0.0703564972187969
"SAN",50,0,0,0.0884361975176823,0.0884361975176823
"SEA",157,0,0.0191082802547771,0.0298807723868025,0.0583984171272424
"SFO",271,0,0.025830258302583,0.0175204478783458,0.0541854598394158
"SLC",579,0,0.0259067357512953,0.00827370746532038,0.0430962161393138
"STL",167,0,0.029940119760479,0.0281394033115003,0.0712401481767305
"TPA",354,0,0.0282485875706215,0.0134651268854288,0.0525449676055639
"XNA",163,0.00613496932515337,0.098159509202454,0.0385200354728805,0.155778180117428
