"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",2096,0.012881679389313,0.0644083969465649,0.0189027164394074,0.0760156809884075
"ATL",2503,0.0147822612864563,0.0571314422692769,0.020499587256994,0.0671624866601565
"AUS",3819,0.0193768002094789,0.0631055250065462,0.0243948257360253,0.0714543040953727
"BHM",932,0.0107296137339056,0.0708154506437768,0.0201748380411562,0.08961756819516
"BNA",576,0.0208333333333333,0.0694444444444444,0.0368835296851752,0.0939368418029911
"BWI",775,0.0206451612903226,0.0864516129032258,0.0338724976380286,0.108935084801774
"CHS",12,0,0,0.290359456941537,0.290359456941537
"CMH",84,0.0119047619047619,0.0833333333333333,0.0727788911385827,0.166873957393623
"DCA",2094,0.0353390639923591,0.0668576886341929,0.0443836419297221,0.0786520870964256
"DEN",943,0.0137857900318134,0.0731707317073171,0.023953934248558,0.0920889693649783
"ELP",1612,0.0167493796526055,0.0558312655086849,0.0245502799515844,0.0684587034314978
"FLL",550,0.00363636363636364,0.0545454545454545,0.0144143202283322,0.0775850162248717
"HOU",7266,0.0352325901458849,0.0957886044591247,0.0398280028989361,0.102921430880117
"IAH",1553,0.025756600128783,0.0740502253702511,0.0351865566025353,0.0885065020960397
"ICT",662,0.00755287009063444,0.0513595166163142,0.0184138452988572,0.0715783337866536
"IND",84,0.0119047619047619,0.119047619047619,0.0727788911385827,0.20952864136209
"LAS",1012,0.00988142292490119,0.0741106719367589,0.0185897314121304,0.0923934994180681
"LAX",1839,0.00761283306144644,0.0657966286025014,0.0130033631646368,0.0783657741976685
"LGA",1820,0.0516483516483516,0.128021978021978,0.0630884133452503,0.144526479479284
"LIT",1205,0.0224066390041494,0.0647302904564315,0.032787736051278,0.0804686263241004
"MAF",1651,0.0260448213204119,0.0732889158086008,0.0351859532054246,0.0872150513801784
"MCI",2593,0.00887003470883147,0.0593906671808716,0.0134585102587035,0.0693947277230271
"MCO",778,0.0102827763496144,0.0475578406169666,0.0208235126282253,0.0654406157883416
"MDW",1497,0.0200400801603206,0.0554442217768871,0.0287757892270562,0.0685605514590061
"MEM",168,0.0178571428571429,0.0952380952380952,0.0546898522513422,0.151331495016168
"MKE",84,0.0238095238095238,0.119047619047619,0.0898640191326543,0.20952864136209
"MSY",2698,0.0126019273535953,0.0667160859896219,0.0177349338099961,0.0770010853019274
"OAK",248,0,0.0241935483870968,0.0191157970202185,0.0538346775452796
"OKC",1081,0.0120259019426457,0.0545790934320074,0.0209145039586506,0.0702074158670392
"PDX",84,0.0238095238095238,0.0714285714285714,0.0898640191326543,0.152199987496658
"PHX",961,0.0135275754422477,0.077003121748179,0.0235083203085891,0.096098377669703
"SAN",482,0.004149377593361,0.0394190871369295,0.016426965194177,0.0616562805248691
"SAT",3660,0.016120218579235,0.0573770491803279,0.0208760712020867,0.0655746259214309
"SEA",84,0.0119047619047619,0.0595238095238095,0.0727788911385827,0.137235053106362
"SFO",882,0.00453514739229025,0.0816326530612245,0.0122825771331273,0.102111183481272
"SJC",84,0.0357142857142857,0.202380952380952,0.106173054485914,0.30363085025282
"SMF",84,0,0,0.0545011497917969,0.0545011497917969
"SNA",316,0.00632911392405063,0.0316455696202532,0.0249216293214699,0.058740806834958
"STL",2585,0.0150870406189555,0.0796905222437137,0.0207433149714414,0.0910241309691514
"TPA",482,0.00622406639004149,0.0601659751037344,0.0194425342907759,0.0859558266983844
"TUL",1182,0.00676818950930626,0.0532994923857868,0.0137418511728592,0.0680239703651462
