"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ABQ",2090,0.00813397129186603,0.0674641148325359,0.0132178400680945,0.0793149227240188,0.00849806022538334,0.0676607642124883,2096,0.012881679389313,0.0644083969465649,0.0189027164394074,0.0760156809884075,0.0130803242446573,0.0646840148698885
"ATL",2511,0.0159299084030267,0.0637196336121067,0.02181025791658,0.0742037170498257,0.0160080426881138,0.0639657187378262,2503,0.0147822612864563,0.0571314422692769,0.020499587256994,0.0671624866601565,0.0148941121712823,0.0575224697147323
"AUS",3812,0.0144281217208814,0.0792235047219308,0.0188643794253389,0.088431176304518,0.0145091582630171,0.0791623578076525,3819,0.0193768002094789,0.0631055250065462,0.0243948257360253,0.0714543040953727,0.0193621282933594,0.0632774193548387
"BHM",929,0.00861141011840689,0.0753498385360603,0.017460418392403,0.0946437349282198,0.00936068512248556,0.0753299492385787,932,0.0107296137339056,0.0708154506437768,0.0201748380411562,0.08961756819516,0.01131850675139,0.0710526315789474
"BNA",583,0.0222984562607204,0.0806174957118353,0.0385798250736959,0.10630824791596,0.0218778486782133,0.0801251956181534,576,0.0208333333333333,0.0694444444444444,0.0368835296851752,0.0939368418029911,0.0205773955773956,0.0699367088607595
"BWI",773,0.0219922380336352,0.0750323415265201,0.0355348132980525,0.0963729388225496,0.0216929969346852,0.0750301568154403,775,0.0206451612903226,0.0864516129032258,0.0338724976380286,0.108935084801774,0.0204657727593507,0.0856799037304452
"CHS",12,0,0,0.290359456941537,0.290359456941537,0.0160550458715596,0.0617647058823529,12,0,0,0.290359456941537,0.290359456941537,0.0160550458715596,0.0617647058823529
"CMH",84,0,0.0595238095238095,0.0545011497917969,0.137235053106362,0.00879396984924623,0.0657142857142857,84,0.0119047619047619,0.0833333333333333,0.0727788911385827,0.166873957393623,0.0150753768844221,0.08
"DCA",2099,0.036684135302525,0.0881372081943783,0.0458579669191954,0.101333957972094,0.0360592401802962,0.0877958236658933,2094,0.0353390639923591,0.0668576886341929,0.0443836419297221,0.0786520870964256,0.0347593582887701,0.0670697674418605
"DEN",957,0.00940438871473354,0.0553814002089864,0.0183092371186804,0.0722182096963191,0.0100755667506297,0.0564659427443238,943,0.0137857900318134,0.0731707317073171,0.023953934248558,0.0920889693649783,0.0141426045963465,0.0732732732732733
"ELP",1623,0.00924214417744917,0.0690080098582871,0.0154904837856457,0.0827243111288422,0.00965728418325286,0.0692078618225134,1612,0.0167493796526055,0.0558312655086849,0.0245502799515844,0.0684587034314978,0.01683262209578,0.0564748201438849
"FLL",550,0.00727272727272727,0.0418181818181818,0.0196252319411052,0.062764916316296,0.00863723608445298,0.0448844884488449,550,0.00363636363636364,0.0545454545454545,0.0144143202283322,0.0775850162248717,0.0054382597568778,0.0564356435643564
"HOU",7278,0.0340752954108271,0.0865622423742786,0.0385986283357537,0.0933875112279459,0.0339172061143448,0.0864739569130079,7266,0.0352325901458849,0.0957886044591247,0.0398280028989361,0.102921430880117,0.0350623876205525,0.0956296093963398
"IAH",1553,0.0276883451384417,0.0933676754668384,0.0373931327321333,0.109232914836954,0.027269377226385,0.0927284027346178,1553,0.025756600128783,0.0740502253702511,0.0351865566025353,0.0885065020960397,0.0254268517381157,0.07408328154133
"ICT",662,0.00906344410876133,0.0604229607250755,0.0204546193755998,0.0819010977373966,0.0100379815518177,0.0615598885793872,662,0.00755287009063444,0.0513595166163142,0.0184138452988572,0.0715783337866536,0.00868149755832881,0.0532033426183844
"IND",84,0,0.154761904761905,0.0545011497917969,0.250624760221862,0.00879396984924623,0.122857142857143,84,0.0119047619047619,0.119047619047619,0.0727788911385827,0.20952864136209,0.0150753768844221,0.101428571428571
"LAS",1005,0.00796019900497512,0.0587064676616915,0.0161478063132072,0.0754618067584031,0.00870209220514719,0.0595664467483506,1012,0.00988142292490119,0.0741106719367589,0.0185897314121304,0.0923934994180681,0.010485651214128,0.0741573033707865
"LAX",1839,0.00380641653072322,0.0663404023926047,0.00813094522180795,0.0789521413015786,0.0043882561905757,0.0665963060686016,1839,0.00761283306144644,0.0657966286025014,0.0130033631646368,0.0783657741976685,0.00804513634938878,0.0660686015831135
"LGA",1824,0.0509868421052632,0.159539473684211,0.0623524595890723,0.177445903198507,0.0497051390058972,0.157021276595745,1820,0.0516483516483516,0.128021978021978,0.0630884133452503,0.144526479479284,0.0503376952300549,0.126439232409382
"LIT",1206,0.0199004975124378,0.0854063018242123,0.0298246928369766,0.102962419455458,0.0198251639088355,0.0849445324881141,1205,0.0224066390041494,0.0647302904564315,0.032787736051278,0.0804686263241004,0.0221840337447274,0.0651863600317209
"MAF",1648,0.0242718446601942,0.0800970873786408,0.0331692833187367,0.0945477356334559,0.024025069637883,0.0799295774647887,1651,0.0260448213204119,0.0732889158086008,0.0351859532054246,0.0872150513801784,0.0257212374000695,0.0733450497949619
"MCI",2575,0.00776699029126214,0.0664077669902913,0.012152281707526,0.0769322510179115,0.00807486227454532,0.0665906499429875,2593,0.00887003470883147,0.0593906671808716,0.0134585102587035,0.0693947277230271,0.00914474177348025,0.0597206493016232
"MCO",776,0.0077319587628866,0.047680412371134,0.0174714999657029,0.0656073618395212,0.00869360902255639,0.0495192307692308,778,0.0102827763496144,0.0475578406169666,0.0208235126282253,0.0654406157883416,0.0110173464603844,0.049400479616307
"MDW",1495,0.0187290969899666,0.071571906354515,0.027247684822418,0.0861288312738828,0.0187237294612151,0.0716956802063185,1497,0.0200400801603206,0.0554442217768871,0.0287757892270562,0.0685605514590061,0.0199720137387101,0.0561493882807469
"MEM",168,0.0119047619047619,0.148809523809524,0.0462396207256634,0.21245249752589,0.0139802631578947,0.130357142857143,168,0.0178571428571429,0.0952380952380952,0.0546898522513422,0.151331495016168,0.0180921052631579,0.0901785714285714
"MKE",84,0,0.0238095238095238,0.0545011497917969,0.0898640191326543,0.00879396984924623,0.0442857142857143,84,0.0238095238095238,0.119047619047619,0.0898640191326543,0.20952864136209,0.021356783919598,0.101428571428571
"MSY",2710,0.014760147601476,0.0612546125461255,0.0202140010547486,0.0711524740909149,0.0148642826367945,0.0615328994938539,2698,0.0126019273535953,0.0667160859896219,0.0177349338099961,0.0770010853019274,0.0127650367806145,0.066884531590414
"OAK",248,0,0.0524193548387097,0.0191157970202185,0.0893329179708275,0.00433168316831683,0.056578947368421,248,0,0.0241935483870968,0.0191157970202185,0.0538346775452796,0.00433168316831683,0.0335526315789474
