"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",2090,0.00813397129186603,0.0674641148325359,0.0132178400680945,0.0793149227240188
"ATL",2511,0.0159299084030267,0.0637196336121067,0.02181025791658,0.0742037170498257
"AUS",3812,0.0144281217208814,0.0792235047219308,0.0188643794253389,0.088431176304518
"BHM",929,0.00861141011840689,0.0753498385360603,0.017460418392403,0.0946437349282198
"BNA",583,0.0222984562607204,0.0806174957118353,0.0385798250736959,0.10630824791596
"BWI",773,0.0219922380336352,0.0750323415265201,0.0355348132980525,0.0963729388225496
"CHS",12,0,0,0.290359456941537,0.290359456941537
"CMH",84,0,0.0595238095238095,0.0545011497917969,0.137235053106362
"DCA",2099,0.036684135302525,0.0881372081943783,0.0458579669191954,0.101333957972094
"DEN",957,0.00940438871473354,0.0553814002089864,0.0183092371186804,0.0722182096963191
"ELP",1623,0.00924214417744917,0.0690080098582871,0.0154904837856457,0.0827243111288422
"FLL",550,0.00727272727272727,0.0418181818181818,0.0196252319411052,0.062764916316296
"HOU",7278,0.0340752954108271,0.0865622423742786,0.0385986283357537,0.0933875112279459
"IAH",1553,0.0276883451384417,0.0933676754668384,0.0373931327321333,0.109232914836954
"ICT",662,0.00906344410876133,0.0604229607250755,0.0204546193755998,0.0819010977373966
"IND",84,0,0.154761904761905,0.0545011497917969,0.250624760221862
"LAS",1005,0.00796019900497512,0.0587064676616915,0.0161478063132072,0.0754618067584031
"LAX",1839,0.00380641653072322,0.0663404023926047,0.00813094522180795,0.0789521413015786
"LGA",1824,0.0509868421052632,0.159539473684211,0.0623524595890723,0.177445903198507
"LIT",1206,0.0199004975124378,0.0854063018242123,0.0298246928369766,0.102962419455458
"MAF",1648,0.0242718446601942,0.0800970873786408,0.0331692833187367,0.0945477356334559
"MCI",2575,0.00776699029126214,0.0664077669902913,0.012152281707526,0.0769322510179115
"MCO",776,0.0077319587628866,0.047680412371134,0.0174714999657029,0.0656073618395212
"MDW",1495,0.0187290969899666,0.071571906354515,0.027247684822418,0.0861288312738828
"MEM",168,0.0119047619047619,0.148809523809524,0.0462396207256634,0.21245249752589
"MKE",84,0,0.0238095238095238,0.0545011497917969,0.0898640191326543
"MSY",2710,0.014760147601476,0.0612546125461255,0.0202140010547486,0.0711524740909149
"OAK",248,0,0.0524193548387097,0.0191157970202185,0.0893329179708275
"OKC",1086,0.00920810313075507,0.0515653775322284,0.0173302392532383,0.0668080403771202
"PDX",84,0.0119047619047619,0.0357142857142857,0.0727788911385827,0.106173054485914
"PHX",954,0.00943396226415094,0.0828092243186583,0.0183664481213259,0.102528430521305
"SAN",482,0.004149377593361,0.045643153526971,0.016426965194177,0.0690390354460034
"SAT",3632,0.0126651982378855,0.068557268722467,0.0169869750192099,0.0774402454471148
"SEA",84,0,0.0595238095238095,0.0545011497917969,0.137235053106362
"SFO",881,0.00454029511918275,0.127128263337117,0.0122964345001806,0.151334924069476
"SJC",84,0,0.119047619047619,0.0545011497917969,0.20952864136209
"SMF",84,0.0119047619047619,0.226190476190476,0.0727788911385827,0.32951316575349
"SNA",315,0.00317460317460317,0.0317460317460317,0.0202124584896173,0.0589236460672052
"STL",2592,0.00887345679012346,0.0621141975308642,0.0134636874079099,0.0723111174364513
"TPA",482,0.004149377593361,0.0850622406639004,0.016426965194177,0.114241270873799
"TUL",1186,0.00674536256323777,0.0657672849915683,0.0136957357104608,0.0817451997899022
