"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1422,0.00281293952180028,0.0330520393811533,0.00763580800350667,0.0440093719980478
"BWI",902,0.0210643015521064,0.0975609756097561,0.0331769426095081,0.119212606289994
"DEN",469,0.00426439232409382,0.070362473347548,0.0168774857742422,0.0980676157662055
"DFW",1058,0.0245746691871456,0.0822306238185255,0.0361982683949707,0.100809848241883
"DTW",272,0.00735294117647059,0.0808823529411765,0.0288801040029773,0.120877804243717
"EWR",808,0.0544554455445545,0.15470297029703,0.0728754161792065,0.181898241240912
"IAD",253,0.0316205533596838,0.126482213438735,0.0630361427398012,0.174564741967062
"LGA",673,0.0950965824665676,0.191679049034175,0.120289169432507,0.223866135434604
"MCO",380,0.00789473684210526,0.0736842105263158,0.0245909507487555,0.105515213499951
"MSP",451,0.0110864745011086,0.0421286031042129,0.0269244856846399,0.0658267021427693
"ORD",2785,0.0473967684021544,0.113824057450628,0.0561450901600313,0.126431076582325
"TPA",119,0,0.0420168067226891,0.0390677848575503,0.0986888286053564
