"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1422,0.00351617440225035,0.0457102672292546,0.00861044816648642,0.0581917906765426,0.00427464600587764,0.0468200270635995
"BWI",902,0.0177383592017738,0.0643015521064302,0.0291396993654501,0.0827485309189511,0.0178059762586983,0.0649269311064718
"DEN",484,0.012396694214876,0.0495867768595041,0.0278899487429226,0.073611991150725,0.0132331902718169,0.0522222222222222
"DFW",1058,0.0283553875236295,0.0803402646502836,0.0406233083119967,0.0987517192780288,0.0277091422520296,0.0800718132854578
"DTW",240,0.00833333333333333,0.0625,0.0326519574977202,0.102269507409478,0.0107868020304569,0.0648648648648649
"EWR",831,0.0601684717208183,0.155234657039711,0.0790010925840916,0.182058490500062,0.0567203707790775,0.150169109357384
"IAD",281,0.0320284697508897,0.120996441281139,0.0614174732918907,0.165672032127628,0.0291970802919708,0.113353115727003
"LGA",675,0.0977777777777778,0.192592592592593,0.12318822615986,0.22477781257562,0.0898427086110371,0.183584131326949
"MCO",379,0.0105540897097625,0.0554089709762533,0.028356278857859,0.084332125437113,0.011889035667107,0.0579310344827586
"MSP",480,0.0145833333333333,0.0520833333333333,0.0308759361670004,0.0766493334878741,0.0151296829971182,0.0544776119402985
"ORD",2720,0.0544117647058824,0.135294117647059,0.0638072427548317,0.148958413881631,0.0534487693188323,0.134077809798271
"TPA",119,0.00840336134453781,0.0420168067226891,0.0522080950493757,0.0986888286053564,0.0123583934088568,0.0525714285714286
