"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",10649,0.0247910601934454,0.0890224434219175,0.027992978351722,0.0946992729663919,0.0247477667331829,0.0889490892106492,10648,0.0241359879789632,0.0814237415477085,0.0272994027504375,0.0868852371456974,0.0240972843927186,0.081390134529148
"AS",1443,0.000693000693000693,0.036036036036036,0.00446476072490321,0.0472841026608779,0.00158081939138453,0.0374916611074049,1443,0.000693000693000693,0.0311850311850312,0.00446476072490321,0.0418015152287584,0.00158081939138453,0.0328218812541694
"B6",9383,0.0186507513588405,0.0742832782692103,0.021663600148935,0.0798839236802584,0.0186504831786175,0.074287530458735,9384,0.0191815856777494,0.0703324808184143,0.0222324944181675,0.075800089137312,0.0191770974289581,0.0703601694915254
"DL",9172,0.00839511556912342,0.0571303968600087,0.0105383283845866,0.0621769053258904,0.00847824206246215,0.0572388383181621,9174,0.00991933725746675,0.0481796381076957,0.0122237235031048,0.0528558097642109,0.00999005319378973,0.0483423618634886
"EV",3225,0.0517829457364341,0.111007751937984,0.0601766677075153,0.122567193985248,0.0510272104720926,0.110393172813167,3227,0.0502014254725751,0.111868608614813,0.0584815874571269,0.123460483702463,0.049482163406214,0.111239719768504
"F9",1084,0.00738007380073801,0.0774907749077491,0.0149774110056198,0.095403606833548,0.00810904071773637,0.0773684210526316,1080,0.00277777777777778,0.0861111111111111,0.0087286070732409,0.104815325170605,0.00380886426592798,0.0855633802816901
"FL",721,0.0180305131761442,0.0665742024965326,0.0312626443993619,0.0877872617716142,0.0180859080633007,0.0671814671814672,719,0.0152990264255911,0.0486787204450626,0.0278644237532184,0.0675659028978184,0.0156131956685973,0.0505806451612903
"MQ",1933,0.0900155199172271,0.186756337299534,0.103923012028273,0.205136569419873,0.087341898217309,0.183609854198089,1931,0.0813050233039876,0.158467115484205,0.0946566936871173,0.175806398111577,0.0789552387598445,0.156114745848012
"OO",1390,0.0503597122302158,0.139568345323741,0.0635053719190842,0.159223122850424,0.0487305487305487,0.137067773167358,1390,0.0460431654676259,0.140287769784173,0.0587222196157146,0.159980130971596,0.0446355446355446,0.137759336099585
"UA",5425,0.0270967741935484,0.102857142857143,0.0318798616950141,0.111405645823595,0.0269808370604705,0.102572523262178,5424,0.0265486725663717,0.10084808259587,0.0312894016287938,0.109327284576551,0.026440209485016,0.100583941605839
"US",19650,0.036030534351145,0.0801017811704835,0.0387870264075423,0.0840616607357663,0.0359641473850709,0.0800872830609966,19652,0.0360268674944026,0.0763789945043761,0.0387830848990029,0.0802560896483791,0.0359605012368709,0.0763750761112239
"VX",1065,0.0197183098591549,0.0685446009389671,0.0303909425432715,0.0857828483832229,0.0196456761971584,0.0688670829616414,1066,0.0159474671669794,0.0525328330206379,0.025831822607693,0.0680495115765613,0.0161233788994041,0.0536541889483066
"WN",12571,0.0387399570439901,0.0805027444117413,0.0423346519141658,0.0854922500481563,0.0386202970062153,0.0804783400649402,12575,0.0382504970178926,0.0841351888667992,0.0418238646878136,0.0892210322053999,0.0381337844460957,0.084094687673185
