"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",5256,0.0205479452054795,0.0962709284627093,0.0248584953353931,0.104723516230989,0.0205207082833133,0.0960466867469879,5256,0.0175038051750381,0.0804794520547945,0.0215240827506161,0.088313740359577,0.0175195078031213,0.0804216867469879
"AS",1668,0,0.0245803357314149,0.00288680321504313,0.0334600097764866,0.000803120697567691,0.0262180974477958,1667,0.000599880023995201,0.0185962807438512,0.00386654135949287,0.0265560216682855,0.00137756859143612,0.020429483459083
"B6",1037,0.0163934426229508,0.10221793635487,0.0265493509023323,0.122648347302475,0.0165437870886531,0.100823421774931,1037,0.0154291224686596,0.0964320154291225,0.0253713753160954,0.116411072997053,0.0156446682251394,0.0953339432753888
"DL",7260,0.00661157024793388,0.0472451790633609,0.00882342780577137,0.0524856069979963,0.00673464936198059,0.0474576271186441,7262,0.00592123381988433,0.0448912145414486,0.00803396612972246,0.050013012362817,0.00605135474022788,0.0451216179283957
"EV",6929,0.0170298744407562,0.0946745562130177,0.0204411465872169,0.101948333650424,0.0170469147083179,0.0945168217609163,6620,0.0235649546827795,0.0960725075528701,0.0276023516589567,0.103566261507929,0.0235093798542239,0.0958957459556621
"F9",27493,0.00349179791219583,0.0719819590441203,0.00428278271562213,0.0751627575543159,0.00353305620243614,0.0719880939417039,27506,0.00556242274412855,0.0823093143314186,0.00653687944224136,0.0856851969881013,0.00559801603991124,0.0822944633916261
"FL",166,0.0120481927710843,0.0421686746987952,0.0467803591441204,0.0872883343475289,0.0140961857379768,0.0504504504504504,164,0.0121951219512195,0.0670731707317073,0.0473338933347465,0.118610028052183,0.0142140468227425,0.0690909090909091
"MQ",323,0.0619195046439628,0.164086687306502,0.0949840193228345,0.209564636780493,0.053741838272225,0.150923482849604,322,0.0559006211180124,0.130434782608696,0.0879311823569443,0.172818331983796,0.0488418932527694,0.122222222222222
"NK",1972,0.0278904665314402,0.154158215010142,0.0363766657694428,0.171135081116176,0.0275498241500586,0.151972386587771,1973,0.0253421186011151,0.158134820070958,0.0335008959829158,0.175267607435367,0.0250952055463334,0.155840315426318
"OO",23318,0.0159962260914315,0.0972210309632044,0.0177264899460541,0.101171218769665,0.0160046509242002,0.0971677932745786,23509,0.021863966991365,0.0954953422093666,0.0238561646685463,0.0993986880381694,0.0218536138601267,0.0954466369615956
"UA",44384,0.0121214852198991,0.0888608507570296,0.0132060970437612,0.0915995341421633,0.0121324720192896,0.0888433843384338,44285,0.0132324714914757,0.0728914982499718,0.0143641628958464,0.075401180374398,0.0132415994517608,0.0728941611601001
"US",4788,0.00960735171261487,0.0451127819548872,0.0128937466831569,0.0515129673477269,0.00974666886000987,0.045458298926507,4788,0.0087719298245614,0.0605680868838764,0.0119376987494946,0.0678460756232414,0.00892416515874321,0.0607349298100743
"WN",58265,0.00813524414313911,0.0678795160044624,0.00891479613928328,0.0699936926625039,0.00814875506083284,0.0678863531146585,58260,0.010006865774116,0.0570545829042225,0.0108665743239029,0.059007318692766,0.0100179651394013,0.0570718156252143
