"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",1598,0.0131414267834793,0.0838548185231539,0.0203012235397392,0.0988213666200218
"ALB",3,0,0,0.627208174095541,0.627208174095541
"ANC",473,0.00634249471458774,0.0824524312896406,0.0198084598336595,0.11162161655204
"ATL",5183,0.00829635346324522,0.0530580744742427,0.011250835518306,0.0596463546108688
"AUS",3084,0.00486381322957198,0.0700389105058366,0.00816822586820034,0.0798148430000924
"BDL",375,0.0213333333333333,0.104,0.0428510821991179,0.14008902680224
"BHM",362,0.00276243093922652,0.0607734806629834,0.0176226100137418,0.0914515519854033
"BNA",2416,0.00993377483443709,0.0608443708609272,0.0149351686913579,0.0713428147404522
"BOI",2234,0.00805729632945389,0.0774395702775291,0.0129151996209418,0.0895451473834074
"BOS",2523,0.0150614347998415,0.103051922314705,0.0207948554122404,0.115808747374364
"BUR",1401,0.0149892933618844,0.0906495360456817,0.0231408048528952,0.10722257168501
"BWI",1922,0.0130072840790843,0.068678459937565,0.019376534003165,0.0811691462339629
"CID",816,0.0159313725490196,0.102941176470588,0.0276521859046087,0.126277689040113
"CLE",1528,0.00654450261780105,0.0674083769633508,0.0123374777621188,0.0814485201852375
"CLT",1908,0.00786163522012579,0.0356394129979036,0.0131848692407663,0.0452008555760196
"CMH",653,0.00918836140888208,0.0826952526799387,0.0207341069278666,0.107023711360198
"COS",2425,0.0230927835051546,0.13360824742268,0.0300735269664909,0.148044634652439
"CVG",1058,0.00661625708884688,0.0812854442344045,0.0141003033690222,0.0997811084399974
"DAL",943,0.0137857900318134,0.0731707317073171,0.023953934248558,0.0920889693649783
"DAY",469,0.00426439232409382,0.070362473347548,0.0168774857742422,0.0980676157662055
"DCA",1442,0.00624133148404993,0.0811373092926491,0.0121770202020505,0.0967499372811883
"DFW",6485,0.0186584425597533,0.0979182729375482,0.0223408605977991,0.105553418330508
"DSM",1295,0.0123552123552124,0.108880308880309,0.0203435618274241,0.127453216190495
"DTW",2553,0.00783392087739914,0.0708969839404622,0.0122567026941746,0.0817635392526318
"ELP",1064,0.0169172932330827,0.0855263157894737,0.0270225919971681,0.104333728570177
"EWR",2833,0.0264737027885634,0.118249205788916,0.033242906623484,0.13093604352888
"FAT",1151,0.00955690703735882,0.103388357949609,0.0174635547616081,0.122784194767557
"FLL",1214,0.0107084019769358,0.0658978583196046,0.0186355682200597,0.0816835047645072
"GEG",1666,0.00840336134453781,0.0690276110444178,0.0143482541388433,0.0825519369655503
"GRR",742,0.00673854447439353,0.0700808625336927,0.0164431877003463,0.09136061757181
"GSO",116,0.00862068965517241,0.0517241379310345,0.0535043856274785,0.112208670070932
"HNL",364,0.0302197802197802,0.123626373626374,0.0545722482160239,0.162515826311443
"HOU",1781,0.00898371701291409,0.0612015721504773,0.0148136638877011,0.0736166019143699
"IAD",3444,0.0113240418118467,0.078397212543554,0.0155829122792211,0.0880676030951834
"IAH",5286,0.0166477487703367,0.098940597805524,0.0205692952499028,0.107465479963875
"ICT",1022,0.0264187866927593,0.111545988258317,0.0386130860673566,0.132832795046748
"IND",2064,0.00678294573643411,0.0789728682170543,0.0115904217269713,0.091704196201244
"JAX",370,0.00810810810810811,0.1,0.0252463674107566,0.135884639873198
"JFK",763,0.0131061598951507,0.0969855832241153,0.024607291284202,0.120663941358071
"KOA",92,0,0.108695652173913,0.0499875965690046,0.192507715608415
"LAS",6539,0.00718764337054595,0.0747820767701483,0.00962058368450587,0.0815561356449506
"LAX",6377,0.00799749098322095,0.0766818253097068,0.0105782206190198,0.083619789743025
"LGA",3586,0.0267707752370329,0.113496932515337,0.0327372933479274,0.124533092793498
"LIH",60,0,0.1,0.0747481590846096,0.207679728470768
"LIT",769,0.0286085825747724,0.105331599479844,0.0435247824146684,0.129644079792645
"MAF",1128,0.0319148936170213,0.0930851063829787,0.0442757323148495,0.111913552616882
"MCI",2701,0.00333209922251018,0.0647908182154757,0.00651377029294369,0.074943805818971
"MCO",2951,0.00576075906472382,0.0725177905794646,0.00937046562733899,0.0826731638261157
"MDW",3422,0.0248392752776154,0.0876680303915839,0.0307695198800249,0.0978368612402046
"MEM",931,0.0171858216970999,0.083780880773362,0.0282387250733647,0.103856843451543
"MIA",1181,0.00508044030482642,0.0584250635055038,0.0115086304185299,0.0737043409333828
"MKE",2375,0.00757894736842105,0.0917894736842105,0.0121507338321591,0.104354723831077
"MSN",1119,0.0151921358355675,0.102770330652368,0.0246159708077817,0.122417972588939
"MSP",5656,0.00512729844413013,0.0661244695898161,0.00743904452882678,0.0730514412264072
"MSY",1595,0.00438871473354232,0.0689655172413793,0.00937028806708319,0.0828088060626704
"OAK",1370,0.0072992700729927,0.062043795620438,0.0137539175549717,0.0764588811047357
"OGG",218,0.036697247706422,0.123853211009174,0.0728849959102856,0.175866004847837
"OKC",2253,0.0142032845095428,0.0932090545938748,0.0201921717245271,0.106211377677255
"OMA",2661,0.00450958286358512,0.0729049229612928,0.00805389602425163,0.0836587973837555
"ONT",1293,0.0139211136890951,0.0819798917246713,0.0222629473850234,0.0986125259327051
"ORD",5419,0.0160546226241004,0.112197822476472,0.0198621602842344,0.121064974390831
"PBI",98,0,0.0204081632653061,0.0470643153730982,0.0776547474046905
"PDX",3694,0.00433134813210612,0.0698429886302112,0.00715646434473993,0.0787167886265581
"PHL",2360,0.0148305084745763,0.0728813559322034,0.0207571681957035,0.0843453268442838
"PHX",7954,0.00578325370882575,0.0663816947447825,0.00776759922674971,0.0721894701163966
"PIT",1153,0.000867302688638335,0.0633130962705984,0.00558306624337323,0.0792996724579171
"PSP",1210,0.00661157024793388,0.100826446280992,0.0134254143664731,0.119524733507271
"PVD",6,0,0.333333333333333,0.45298221281347,0.709838667696593
"RDU",606,0.00825082508250825,0.0561056105610561,0.0201000884207766,0.0780992084302874
"RNO",1481,0.00607697501688049,0.062120189061445,0.0118576675588189,0.0759373564708499
"RSW",371,0.00808625336927224,0.0431266846361186,0.0251792577770366,0.0700776810376452
"SAN",4276,0.00561272217025257,0.0579981290926099,0.00845023749756167,0.0655806819443012
"SAT",1861,0.00591080064481462,0.0650188070929608,0.0108235528536124,0.0774461973129116
"SDF",759,0.0144927536231884,0.0856389986824769,0.026408135281205,0.108303312002882
"SEA",5496,0.00363901018922853,0.0574963609898108,0.00570219110133221,0.0641124932279562
"SFO",6025,0.00896265560165975,0.111203319502075,0.0117593231170685,0.119567287887273
"SJC",2362,0.00846740050804403,0.0660457239627434,0.0132447659884595,0.0770438310823778
"SLC",7121,0.0046341805926134,0.0592613396994804,0.00656885085533037,0.0651141567089913
"SMF",2720,0.00367647058823529,0.0588235294117647,0.00694307122872724,0.0685342494193143
"SNA",3793,0.00738201950962299,0.0453466912733984,0.0107745825419807,0.052612652485525
"STL",2284,0.00525394045534151,0.0617338003502627,0.00937953884907165,0.072621098056739
"TPA",1733,0.00577034045008656,0.0652048470859781,0.0108832643274814,0.0781378653299527
"TUL",1879,0.0138371474188398,0.0867482703565726,0.0204482349917328,0.100658038382532
"TUS",2084,0.0105566218809981,0.0897312859884837,0.0161597155722049,0.103075448415751
"TYS",502,0.0239043824701195,0.111553784860558,0.0422511156113379,0.142948678006232
"XNA",306,0.0196078431372549,0.0849673202614379,0.0438173725537153,0.122883077603951
