"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",2114,0.0288552507095553,0.0851466414380322,0.0371277769820064,0.0981096219926977
"ANC",120,0,0.0666666666666667,0.0387542298700925,0.129549781842122
"ATL",7708,0.01712506486767,0.071613907628438,0.0203513558415415,0.0777168154141588
"AUS",5111,0.0260223048327138,0.0774799452162004,0.0308756971680654,0.085301296407153
"BDL",853,0.0316529894490035,0.0773739742086753,0.0461919870627434,0.097811660173298
"BHM",952,0.0294117647058824,0.118697478991597,0.0426581607511295,0.141335035244335
"BNA",3031,0.0320026393929396,0.100296931705708,0.0390683685697954,0.111754585786967
"BOS",3322,0.0307043949428055,0.0815773630343167,0.0373044693919904,0.091599577865917
"BTR",2743,0.0532263944586219,0.157856361647831,0.0624923677512908,0.172285512730863
"BWI",1832,0.0262008733624454,0.10207423580786,0.0348301956451597,0.11712517514606
"CHS",646,0.0448916408668731,0.136222910216718,0.0644103774151306,0.165555669626043
"CID",1502,0.0619174434087883,0.179760319573901,0.0756100507855698,0.200436865482887
"CLE",1885,0.0344827586206897,0.10026525198939,0.0439797577177682,0.114984609840264
"CLT",4745,0.0198103266596417,0.0674394099051633,0.0242991878579072,0.0751001616560494
"CMH",1655,0.03202416918429,0.100906344410876,0.0419436161442256,0.116721004641568
"COS",1314,0.0251141552511416,0.0951293759512938,0.0354127456052232,0.112614153205265
"CVG",2307,0.046814044213264,0.126137841352406,0.0564564578431689,0.140627758295182
"DAY",1058,0.0283553875236295,0.0803402646502836,0.0406233083119967,0.0987517192780288
"DCA",3551,0.0295691354548015,0.0957476767107857,0.0358296600267759,0.106093504361458
"DEN",6485,0.0186584425597533,0.0979182729375482,0.0223408605977991,0.105553418330508
"DSM",1439,0.0465601111883252,0.118137595552467,0.0590514097369814,0.136255666315756
"DTW",2783,0.0247933884297521,0.0937836866690622,0.0314446555418752,0.105441788161027
"ELP",1940,0.0231958762886598,0.0824742268041237,0.0311443139030616,0.0958704296367839
"EWR",2937,0.0381341504937011,0.115423901940756,0.0458810601248808,0.127754276513178
"FAT",666,0.0195195195195195,0.106606606606607,0.0338190556582303,0.13303022894961
"FLL",2560,0.0203125,0.064453125,0.026732195763851,0.0748790274270911
"GRR",1343,0.0565897244973939,0.149664929262844,0.0706343576240417,0.170201006883345
"GSO",1032,0.0503875968992248,0.125968992248062,0.0659351201357617,0.148131781680625
"GSP",764,0.0510471204188482,0.113874345549738,0.0696090192570404,0.138985739859601
"HNL",752,0.0172872340425532,0.126329787234043,0.0299851015615882,0.152633168142665
"HOU",1886,0.0493107104984093,0.142629904559915,0.0603160604831497,0.159509225018265
"IAD",1513,0.0297422339722406,0.0951751487111699,0.039879521922684,0.111386799506432
"IAH",4997,0.0240144086451871,0.101660996597959,0.0287581694513898,0.110538176490076
"ICT",1111,0.0378037803780378,0.108010801080108,0.0511229632319196,0.128114053538392
"IND",1742,0.0298507462686567,0.0855338691159587,0.0392141358773599,0.0999368029674631
"JAN",2533,0.0556652191077773,0.148835373075405,0.0655233382178118,0.163543545018882
"JAX",1428,0.0287114845938375,0.0973389355742297,0.0390478141990395,0.114210336121608
"JFK",646,0.021671826625387,0.0665634674922601,0.0367706538002965,0.0891440998755695
"LAS",4490,0.0202672605790646,0.088195991091314,0.0249414085475909,0.0970387416333067
"LAX",7362,0.0157565878837272,0.0726704699809834,0.0189452676593068,0.0789607881180544
"LGA",4861,0.0380580127545773,0.0956593293560996,0.0439504232025496,0.10443856964877
"LIT",1847,0.0460205739036275,0.15755278830536,0.0568401296776529,0.175261097912443
"MAF",2191,0.0643541761752624,0.16887266088544,0.075683072654927,0.185491674613648
"MCI",2731,0.0256316367630904,0.0977663859392164,0.03244815152389,0.109743165716105
"MCO",4007,0.0224606937858747,0.0895932118792114,0.027664434461204,0.0990400498620885
"MEM",1528,0.0255235602094241,0.087696335078534,0.0350089578098997,0.10330580370529
"MIA",3943,0.014455997971088,0.0765914278468171,0.0188110060652386,0.085508332583683
"MKE",1333,0.0397599399849963,0.117779444861215,0.0520000852738502,0.136628294562262
"MSN",1406,0.0675675675675676,0.137980085348506,0.0822752470294101,0.157433416300437
"MSP",2710,0.0247232472324723,0.102214022140221,0.0314667290916296,0.114459442764282
"MSY",2706,0.0288248337028825,0.090539541759054,0.0360230731928085,0.102201406190622
"OAK",182,0.0274725274725275,0.17032967032967,0.0655428841681039,0.233441955379387
"OGG",545,0.0220183486238532,0.0954128440366973,0.0389567994971391,0.123780387204352
"OKC",2940,0.0343537414965986,0.102040816326531,0.041759357536113,0.113765418908383
"OMA",1723,0.0319210679048172,0.0835751596053395,0.0416030076724387,0.0979282236327144
"ONT",1562,0.0275288092189501,0.087708066581306,0.0371789516734392,0.103134648903291
