"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ABQ",2113,0.0269758637008992,0.0861334595362045,0.035024425205227,0.0991608624889042,2114,0.0288552507095553,0.0851466414380322,0.0371277769820064,0.0981096219926977
"ANC",120,0,0.0666666666666667,0.0387542298700925,0.129549781842122,120,0,0.0666666666666667,0.0387542298700925,0.129549781842122
"ATL",7723,0.0155380033665674,0.0805386507833743,0.0186250336830414,0.0869548655065122,7708,0.01712506486767,0.071613907628438,0.0203513558415415,0.0777168154141588
"AUS",5109,0.0242708944999021,0.0927774515560775,0.0289793860900765,0.101223180765474,5111,0.0260223048327138,0.0774799452162004,0.0308756971680654,0.085301296407153
"BDL",853,0.022274325908558,0.0808909730363423,0.0350667014101475,0.101679261072507,853,0.0316529894490035,0.0773739742086753,0.0461919870627434,0.097811660173298
"BHM",951,0.0189274447949527,0.0851735015772871,0.0302095487511857,0.105142487424677,952,0.0294117647058824,0.118697478991597,0.0426581607511295,0.141335035244335
"BNA",3031,0.0280435499835038,0.093038601121742,0.03472337377513,0.104147914640933,3031,0.0320026393929396,0.100296931705708,0.0390683685697954,0.111754585786967
"BOS",3321,0.0283047274917194,0.108702198133092,0.0346799872424962,0.11998947233476,3322,0.0307043949428055,0.0815773630343167,0.0373044693919904,0.091599577865917
"BTR",2744,0.0481049562682216,0.139577259475219,0.0569796761216015,0.153344305293344,2743,0.0532263944586219,0.157856361647831,0.0624923677512908,0.172285512730863
"BWI",1834,0.0207197382769902,0.101417666303162,0.0285694850819878,0.116421290892182,1832,0.0262008733624454,0.10207423580786,0.0348301956451597,0.11712517514606
"CHS",646,0.0356037151702786,0.109907120743034,0.0535473950106295,0.137076739313516,646,0.0448916408668731,0.136222910216718,0.0644103774151306,0.165555669626043
"CID",1501,0.0499666888740839,0.159893404397069,0.06252164978896,0.179735363639229,1502,0.0619174434087883,0.179760319573901,0.0756100507855698,0.200436865482887
"CLE",1893,0.0243000528262018,0.10459587955626,0.0325144850681078,0.119531762363066,1885,0.0344827586206897,0.10026525198939,0.0439797577177682,0.114984609840264
"CLT",4746,0.0191740412979351,0.0619469026548673,0.0235994853987549,0.0693305127480224,4745,0.0198103266596417,0.0674394099051633,0.0242991878579072,0.0751001616560494
"CMH",1655,0.0241691842900302,0.101510574018127,0.0330297530090416,0.117362655030795,1655,0.03202416918429,0.100906344410876,0.0419436161442256,0.116721004641568
"COS",1314,0.0235920852359209,0.0996955859969559,0.0336452060205223,0.117504118514471,1314,0.0251141552511416,0.0951293759512938,0.0354127456052232,0.112614153205265
"CVG",2301,0.0352020860495437,0.119513255106475,0.0437699804331822,0.133719111281025,2307,0.046814044213264,0.126137841352406,0.0564564578431689,0.140627758295182
"DAY",1058,0.0245746691871456,0.0822306238185255,0.0361982683949707,0.100809848241883,1058,0.0283553875236295,0.0803402646502836,0.0406233083119967,0.0987517192780288
"DCA",3548,0.0264937993235626,0.0882187147688839,0.0324688328801137,0.0982224063337922,3551,0.0295691354548015,0.0957476767107857,0.0358296600267759,0.106093504361458
"DEN",6543,0.0166590249121198,0.0915482194711906,0.0201453977316597,0.0989347777926939,6485,0.0186584425597533,0.0979182729375482,0.0223408605977991,0.105553418330508
"DSM",1439,0.0396108408617095,0.10632383599722,0.0513132048379831,0.123717610070586,1439,0.0465601111883252,0.118137595552467,0.0590514097369814,0.136255666315756
"DTW",2758,0.0206671501087745,0.0895576504713561,0.0268636228325718,0.101051157820882,2783,0.0247933884297521,0.0937836866690622,0.0314446555418752,0.105441788161027
"ELP",1938,0.0201238390092879,0.0913312693498452,0.0276366338495875,0.10530132768135,1940,0.0231958762886598,0.0824742268041237,0.0311443139030616,0.0958704296367839
"EWR",2601,0.0380622837370242,0.13840830449827,0.0463363722374297,0.152518151030251,2937,0.0381341504937011,0.115423901940756,0.0458810601248808,0.127754276513178
"FAT",666,0.015015015015015,0.0870870870870871,0.028158028800024,0.111614922277728,666,0.0195195195195195,0.106606606606607,0.0338190556582303,0.13303022894961
"FLL",2549,0.0160847391133778,0.0819929384072185,0.0219365301811691,0.0935469102759493,2560,0.0203125,0.064453125,0.026732195763851,0.0748790274270911
"GRR",1341,0.0425055928411633,0.125279642058166,0.0550346249901322,0.144515377619793,1343,0.0565897244973939,0.149664929262844,0.0706343576240417,0.170201006883345
"GSO",1031,0.0339476236663434,0.103782735208535,0.0472909127601984,0.124396638941251,1032,0.0503875968992248,0.125968992248062,0.0659351201357617,0.148131781680625
"GSP",764,0.0405759162303665,0.12434554973822,0.0576036178467864,0.150275795833412,764,0.0510471204188482,0.113874345549738,0.0696090192570404,0.138985739859601
"HNL",752,0.011968085106383,0.167553191489362,0.023260337279045,0.196591399413,752,0.0172872340425532,0.126329787234043,0.0299851015615882,0.152633168142665
"HOU",1886,0.0455991516436903,0.123541887592789,0.0562537975945933,0.139518570092562,1886,0.0493107104984093,0.142629904559915,0.0603160604831497,0.159509225018265
"IAD",1455,0.0233676975945017,0.0920962199312715,0.0327971409921076,0.108437396836996,1513,0.0297422339722406,0.0951751487111699,0.039879521922684,0.111386799506432
"IAH",5132,0.0249415432579891,0.0943102104442712,0.0296949110227943,0.102794569869975,4997,0.0240144086451871,0.101660996597959,0.0287581694513898,0.110538176490076
"ICT",1111,0.0315031503150315,0.09000900090009,0.0439120830776127,0.108747043840392,1111,0.0378037803780378,0.108010801080108,0.0511229632319196,0.128114053538392
"IND",1742,0.026406429391504,0.0993111366245695,0.0353176477882182,0.114602867133171,1742,0.0298507462686567,0.0855338691159587,0.0392141358773599,0.0999368029674631
"JAN",2534,0.0509076558800316,0.134964483030781,0.0603989180576893,0.149128876571003,2533,0.0556652191077773,0.148835373075405,0.0655233382178118,0.163543545018882
"JAX",1428,0.0210084033613445,0.0973389355742297,0.0301582291506406,0.114210336121608,1428,0.0287114845938375,0.0973389355742297,0.0390478141990395,0.114210336121608
"JFK",645,0.0217054263565891,0.116279069767442,0.0368270745047418,0.144030772271355,646,0.021671826625387,0.0665634674922601,0.0367706538002965,0.0891440998755695
"LAS",4490,0.0140311804008909,0.0933184855233853,0.0180256965842961,0.102373642325501,4490,0.0202672605790646,0.088195991091314,0.0249414085475909,0.0970387416333067
"LAX",7339,0.0129445428532498,0.0896579915519826,0.0158745990813875,0.0965569214639202,7362,0.0157565878837272,0.0726704699809834,0.0189452676593068,0.0789607881180544
"LGA",4864,0.0396792763157895,0.0986842105263158,0.0456785929386847,0.107575707571643,4861,0.0380580127545773,0.0956593293560996,0.0439504232025496,0.10443856964877
"LIT",1848,0.0422077922077922,0.124458874458874,0.0526446637070876,0.140654004991345,1847,0.0460205739036275,0.15755278830536,0.0568401296776529,0.175261097912443
"MAF",2190,0.0579908675799087,0.15662100456621,0.0688412558103253,0.172790689354976,2191,0.0643541761752624,0.16887266088544,0.075683072654927,0.185491674613648
"MCI",2731,0.022336140607836,0.0875137312339802,0.0287717038930519,0.0989575375662435,2731,0.0256316367630904,0.0977663859392164,0.03244815152389,0.109743165716105
"MCO",4009,0.0192067847343477,0.0982788725367922,0.024071902802008,0.108094894536917,4007,0.0224606937858747,0.0895932118792114,0.027664434461204,0.0990400498620885
"MEM",1528,0.0196335078534031,0.0948952879581152,0.0281951214860619,0.111002618022107,1528,0.0255235602094241,0.087696335078534,0.0350089578098997,0.10330580370529
"MIA",3943,0.0126806999746386,0.0958660918082678,0.016804379780289,0.105665805188301,3943,0.014455997971088,0.0765914278468171,0.0188110060652386,0.085508332583683
