"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ALB",636,0.00943396226415094,0.050314465408805,0.021283418326597,0.0708561051500957,0.0104049493813273,0.0523121387283237,636,0.0125786163522013,0.0487421383647799,0.0254296096859462,0.0690453145248681,0.0132170978627672,0.0508670520231214
"ATL",5092,0.00432050274941084,0.0498821681068342,0.00662771970665557,0.0563551562255272,0.00452856479331166,0.0501554001554002,5099,0.00333398705628555,0.0433418317317121,0.00542848388468675,0.0494231829450164,0.00355610529163929,0.0436857419980601
"AUS",354,0.00847457627118644,0.0847457627118644,0.0263709389492477,0.119542551861144,0.0102516309412861,0.0834146341463415,471,0.0148619957537155,0.0530785562632696,0.0314587074973405,0.078089734051214,0.0153789820578543,0.0554079696394687
"BDL",1397,0.0121689334287759,0.0622763063707946,0.0197419570536291,0.0765587622793667,0.0124983018611602,0.0627666896077082,1402,0.0114122681883024,0.0477888730385164,0.0187985710919166,0.0605977730321174,0.0117790414297319,0.0488340192043896
"BHM",749,0.00934579439252336,0.0654205607476635,0.0198725572908754,0.086043419575232,0.0101917010434361,0.0660869565217391,751,0.0106524633821571,0.0585885486018642,0.0215662665318644,0.0783376666760563,0.0113773904623578,0.059727385377943
"BNA",2186,0.00869167429094236,0.0544373284537969,0.0137539283258047,0.0650153435177329,0.00902175835839377,0.0549509366636931,2227,0.00808262236192187,0.0498428378985182,0.0129556659752474,0.0599349526868012,0.00842672226565893,0.0504599211563732
"BOS",3486,0.0146299483648881,0.0633964429145152,0.0193264295930103,0.072176629216243,0.0147141413006852,0.063579898362507,3489,0.0171969045571797,0.0656348523932359,0.0222180441015938,0.0745419564360198,0.0172268671791706,0.0657827926657264
"BUF",904,0.00553097345132743,0.0619469026548673,0.013514390305858,0.0801068822898071,0.0065359477124183,0.0627083333333333,934,0.00428265524625268,0.0460385438972163,0.0116026502891055,0.0619303096467723,0.00535077288941736,0.0476767676767677
"BWI",2625,0.00914285714285714,0.0579047619047619,0.0137495192073704,0.0677373342494405,0.00940671061402859,0.0582618425960462,2624,0.0102896341463415,0.0647865853658537,0.0151106314418033,0.0750977452154763,0.0105216360403082,0.065
"CHS",142,0.00704225352112676,0.0492957746478873,0.0440296356263637,0.101452925631925,0.0110497237569061,0.0565656565656566,142,0.00704225352112676,0.0704225352112676,0.0440296356263637,0.127653278000055,0.0110497237569061,0.0717171717171717
"CID",647,0.0154559505409583,0.0788253477588872,0.0289770381243518,0.102849372895552,0.0157851010800332,0.0785206258890469,636,0.0157232704402516,0.0943396226415094,0.0294733499604834,0.120259053644391,0.016029246344207,0.0927745664739884
"CLE",712,0.0098314606741573,0.0926966292134832,0.0208968872229184,0.11688509644313,0.0106707317073171,0.09140625,783,0.0102171136653895,0.0715197956577267,0.0206915444002476,0.0923247034385299,0.0109531577720811,0.0717520858164482
"CLT",3323,0.00872705386698766,0.0445380680108336,0.0126490918344829,0.0522802358879362,0.00894591254193397,0.0450429121041728,3322,0.00632149307645996,0.0382299819385912,0.00978906834467774,0.04548128696548,0.0065936653714824,0.0388395500296033
"CMH",130,0.00769230769230769,0.0461538461538462,0.0479485437112834,0.100637271992284,0.0116959064327485,0.0548387096774193,137,0,0.0656934306569343,0.0341013880494025,0.123186187095756,0.00659754948162111,0.0683937823834197
"CVG",272,0.0147058823529412,0.0808823529411765,0.0392950620236358,0.120877804243717,0.0155529953917051,0.0798780487804878,310,0.0161290322580645,0.0516129032258065,0.0389560142334602,0.083562049572807,0.0166147455867082,0.0551912568306011
"DAY",272,0.00735294117647059,0.0808823529411765,0.0288801040029773,0.120877804243717,0.0097926267281106,0.0798780487804878,240,0.00833333333333333,0.0625,0.0326519574977202,0.102269507409478,0.0107868020304569,0.0648648648648649
"DCA",1913,0.0115002613695766,0.0648196549921589,0.0175985564515757,0.0770472685490178,0.0117694396941958,0.0651091924834942,1913,0.010977522216414,0.0606377417668583,0.0169712829641158,0.0725332753007596,0.0112664721858968,0.0610462163534789
"DEN",2453,0.00774561761108846,0.0611496127191194,0.0122612535717799,0.0715843585271344,0.00806898188434459,0.0614587485053806,2553,0.00783392087739914,0.0708969839404622,0.0122567026941746,0.0817635392526318,0.00814245491210714,0.0709850517439632
"DFW",2783,0.0247933884297521,0.0937836866690622,0.0314446555418752,0.105441788161027,0.0246308865719684,0.0934131736526946,2758,0.0206671501087745,0.0895576504713561,0.0268636228325718,0.101051157820882,0.0206127347169279,0.0892679459843639
"DSM",175,0.0285714285714286,0.0742857142857143,0.068083830619161,0.125219636916673,0.0255795363709033,0.0744588744588745,143,0.027972027972028,0.0839160839160839,0.0734555016982442,0.143660218830074,0.0247479376718607,0.0814070351758794
"EWR",2730,0.0402930402930403,0.131135531135531,0.0485471608423091,0.14460893258452,0.0397119634963639,0.130007178750897,2756,0.0424528301886792,0.100507982583454,0.0508485154772784,0.112562727074183,0.0418197230856174,0.1
"FLL",2125,0.00235294117647059,0.0475294117647059,0.00576927967049121,0.0576799896202677,0.00290882647032088,0.048234754699679,2126,0.000940733772342427,0.0338664158043274,0.00375410439740807,0.0426775345447027,0.00154461202980193,0.0349220898258478
"GRR",1445,0.00968858131487889,0.0650519031141868,0.0165325804018118,0.079320672439257,0.0101302460202605,0.0654230512991339,1477,0.010832769126608,0.0595802301963439,0.0178484529998347,0.0731857651403542,0.0112098956320062,0.060143509458578
"GSO",749,0.0120160213618158,0.0640854472630174,0.023352750735594,0.0845478684024478,0.0126182965299685,0.0648447204968944,697,0.0157819225251076,0.0616929698708752,0.0287359842015458,0.0827084726314312,0.0160580160580161,0.0626826029216467
"GSP",246,0.016260162601626,0.0528455284552846,0.0433593388316853,0.0900399733688297,0.0168119551681196,0.056953642384106,245,0.0163265306122449,0.0612244897959184,0.0435325129375132,0.100239911820714,0.0168644597126796,0.0637873754152824
"HPN",169,0.0887573964497041,0.21301775147929,0.1435293405176,0.282606627458783,0.0671580671580672,0.178666666666667,168,0.0892857142857143,0.202380952380952,0.144349388954987,0.271340360068054,0.0674342105263158,0.170535714285714
"IAD",1083,0.0101569713758079,0.0803324099722992,0.0185536818584203,0.098508781501959,0.0107062683474357,0.0800702370500439,1080,0.0138888888888889,0.0611111111111111,0.0232299764557218,0.0774601062082361,0.014196675900277,0.0617957746478873
