"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",3685,0.0312075983717775,0.0887381275440977,0.0374864417144274,0.0985690677126078,3687,0.0284784377542718,0.119880661784649,0.0345126216443674,0.131001545404127
"AS",712,0.0154494382022472,0.0603932584269663,0.0281359479816562,0.0809887734163576,712,0.0140449438202247,0.0632022471910112,0.0263546094179541,0.0841531413808488
"B6",6810,0.0255506607929515,0.0923641703377386,0.029672452872297,0.0996267615978765,6809,0.0243794977236011,0.119988250844471,0.0284164617632842,0.128091297400303
"DL",5358,0.013437849944009,0.0703620754012691,0.0169872284464652,0.0776826905651246,5361,0.012684200708823,0.0871106136914755,0.0161460724398496,0.0951307283820648
"EV",32468,0.0560551928052236,0.122982629050142,0.0586640849465381,0.126674695812593,32299,0.0598470540883619,0.138332456113192,0.062542228091879,0.142219613141465
"MQ",50,0.16,0.28,0.290907264021935,0.420573406341905,50,0.16,0.26,0.290907264021935,0.399681590482293
"OO",2,0,0.5,0.718233512793084,0.908248290463863,2,0,0,0.718233512793084,0.718233512793084
"UA",45256,0.0198426727947675,0.093910199752519,0.0211975353792097,0.0966888573864078,45216,0.0232882165605096,0.0879113588110403,0.0247500943424509,0.090611521544164
"US",4161,0.0221100696947849,0.0624849795722182,0.027171826133822,0.0704293114302942,4162,0.0204228736184527,0.0922633349351273,0.0253141967249938,0.101639257257883
"VX",1983,0.0181543116490166,0.0761472516389309,0.0252694357106555,0.088961808588673,1983,0.0141200201714574,0.0776601109430156,0.020569421603272,0.0905784383494859
"WN",5974,0.0395045195848678,0.109474389019083,0.0448702006712209,0.117820799206916,5974,0.0385001673920321,0.134248409775695,0.043804971997882,0.143318601828958
