"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ALB",77,0,0.025974025974026,0.0591764199999356,0.097530668792275,57,0.0350877192982456,0.087719298245614,0.128961130826361,0.196371195279831
"ANC",9,0,0,0.353982657103997,0.353982657103997,9,0,0.111111111111111,0.353982657103997,0.464478315480846
"ATL",5311,0.0254189418188665,0.0873658444737338,0.0301233732084097,0.0954351801798911,5391,0.0255982192543127,0.101279910962716,0.0302790096243239,0.10980117124934
"AUS",824,0.0182038834951456,0.0837378640776699,0.0303878249829753,0.105209633280738,873,0.0240549828178694,0.0893470790378007,0.0370183045010459,0.110664925691378
"BDL",332,0.0602409638554217,0.11144578313253,0.0924658399377623,0.151020175405154,361,0.0443213296398892,0.105263157894737,0.0719819455433159,0.14229014210665
"BNA",2213,0.0533212833258021,0.129688206055129,0.0637382590451985,0.144657913189443,2147,0.0498369818351188,0.12342803912436,0.0601323487265584,0.138347194736796
"BOS",4964,0.0300161160354553,0.103746978243352,0.0352657075819254,0.112730286680621,5001,0.0319936012797441,0.105178964207159,0.037370725815689,0.114178796768355
"BUF",452,0.0442477876106195,0.0951327433628319,0.0683152242030395,0.126616716447013,498,0.0321285140562249,0.106425702811245,0.0524537173722928,0.137442828731702
"BWI",143,0.0979020979020979,0.125874125874126,0.160218276907286,0.192609401601024,146,0.0753424657534247,0.123287671232877,0.132610271388269,0.18884442665243
"CHS",1320,0.0522727272727273,0.103030303030303,0.0660077177280798,0.121024603288645,1323,0.0506424792139078,0.131519274376417,0.0641865582529773,0.151251618770177
"CLE",1588,0.0239294710327456,0.102015113350126,0.0329705975545135,0.118252144169203,1639,0.0335570469798658,0.100061012812691,0.0437221139562139,0.115904931411742
"CLT",4792,0.0325542570951586,0.0774207011686144,0.0380988409297167,0.0855074996019257,4806,0.0328755722014149,0.107573866000832,0.0384353227363688,0.11684716422469
"CMH",1041,0.0489913544668588,0.103746397694524,0.0642930000686606,0.124250217248628,912,0.0635964912280702,0.160087719298246,0.0818514882903324,0.185893994647474
"CVG",1678,0.0554231227651967,0.122169249106079,0.0677378628432985,0.139088133516296,1724,0.0696055684454756,0.146171693735499,0.0829262884296639,0.16402722547838
"DAY",808,0.0544554455445545,0.15470297029703,0.0728754161792065,0.181898241240912,831,0.0601684717208183,0.155234657039711,0.0790010925840916,0.182058490500062
"DCA",1635,0.0740061162079511,0.145565749235474,0.0880613454768837,0.16389605019749,1637,0.0763591936469151,0.149053145998778,0.0905844806432478,0.167533294273232
"DEN",2851,0.0210452472816556,0.089793055068397,0.027172008046459,0.101099429646058,2833,0.0264737027885634,0.118249205788916,0.033242906623484,0.13093604352888
"DFW",2937,0.0381341504937011,0.115423901940756,0.0458810601248808,0.127754276513178,2601,0.0380622837370242,0.13840830449827,0.0463363722374297,0.152518151030251
"DSM",210,0.0857142857142857,0.252380952380952,0.133252640571499,0.316752650579994,202,0.0396039603960396,0.0841584158415842,0.0784909567444138,0.132553589538905
"DTW",2756,0.0424528301886792,0.100507982583454,0.0508485154772784,0.112562727074183,2730,0.0402930402930403,0.131135531135531,0.0485471608423091,0.14460893258452
"FLL",3719,0.0217800484001076,0.0890024200053778,0.0271331226761148,0.0987983207545151,3727,0.0225382345049638,0.0877381271800376,0.0279636110358641,0.0974645848887763
"GRR",508,0.062992125984252,0.116141732283465,0.0884141427533925,0.147774375910558,527,0.0683111954459203,0.142314990512334,0.0939350195529923,0.175569989914157
"GSO",800,0.06,0.12125,0.079223052950962,0.146311374124176,796,0.0753768844221105,0.160804020100503,0.0964068439989333,0.188585795943387
"GSP",740,0.0689189189189189,0.122972972972973,0.0900968137278722,0.149249487301974,744,0.0698924731182796,0.145161290322581,0.0911183119601289,0.172957900170558
"HNL",364,0.00824175824175824,0.0906593406593407,0.0256566594890757,0.125694112691557,364,0.0274725274725275,0.0521978021978022,0.0511258347811579,0.0812494689944042
"HOU",949,0.0379346680716544,0.105374077976818,0.052550395895206,0.127059257003714,948,0.0274261603375527,0.130801687763713,0.0403636673460724,0.154318885036391
"IAD",793,0.0580075662042875,0.131147540983607,0.0770798877332494,0.157055357638757,816,0.0625,0.159313725490196,0.0818070935107438,0.186643513489117
"IAH",3768,0.0238853503184713,0.0942144373673036,0.0294135575144444,0.104177143632093,3676,0.0198585418933623,0.0927638737758433,0.0250388858058054,0.102791330033942
