"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ALB",77,0,0.025974025974026,0.0591764199999356,0.097530668792275
"ANC",9,0,0,0.353982657103997,0.353982657103997
"ATL",5311,0.0254189418188665,0.0873658444737338,0.0301233732084097,0.0954351801798911
"AUS",824,0.0182038834951456,0.0837378640776699,0.0303878249829753,0.105209633280738
"BDL",332,0.0602409638554217,0.11144578313253,0.0924658399377623,0.151020175405154
"BNA",2213,0.0533212833258021,0.129688206055129,0.0637382590451985,0.144657913189443
"BOS",4964,0.0300161160354553,0.103746978243352,0.0352657075819254,0.112730286680621
"BUF",452,0.0442477876106195,0.0951327433628319,0.0683152242030395,0.126616716447013
"BWI",143,0.0979020979020979,0.125874125874126,0.160218276907286,0.192609401601024
"CHS",1320,0.0522727272727273,0.103030303030303,0.0660077177280798,0.121024603288645
"CLE",1588,0.0239294710327456,0.102015113350126,0.0329705975545135,0.118252144169203
"CLT",4792,0.0325542570951586,0.0774207011686144,0.0380988409297167,0.0855074996019257
"CMH",1041,0.0489913544668588,0.103746397694524,0.0642930000686606,0.124250217248628
"CVG",1678,0.0554231227651967,0.122169249106079,0.0677378628432985,0.139088133516296
"DAY",808,0.0544554455445545,0.15470297029703,0.0728754161792065,0.181898241240912
"DCA",1635,0.0740061162079511,0.145565749235474,0.0880613454768837,0.16389605019749
"DEN",2851,0.0210452472816556,0.089793055068397,0.027172008046459,0.101099429646058
"DFW",2937,0.0381341504937011,0.115423901940756,0.0458810601248808,0.127754276513178
"DSM",210,0.0857142857142857,0.252380952380952,0.133252640571499,0.316752650579994
"DTW",2756,0.0424528301886792,0.100507982583454,0.0508485154772784,0.112562727074183
"FLL",3719,0.0217800484001076,0.0890024200053778,0.0271331226761148,0.0987983207545151
"GRR",508,0.062992125984252,0.116141732283465,0.0884141427533925,0.147774375910558
"GSO",800,0.06,0.12125,0.079223052950962,0.146311374124176
"GSP",740,0.0689189189189189,0.122972972972973,0.0900968137278722,0.149249487301974
"HNL",364,0.00824175824175824,0.0906593406593407,0.0256566594890757,0.125694112691557
"HOU",949,0.0379346680716544,0.105374077976818,0.052550395895206,0.127059257003714
"IAD",793,0.0580075662042875,0.131147540983607,0.0770798877332494,0.157055357638757
"IAH",3768,0.0238853503184713,0.0942144373673036,0.0294135575144444,0.104177143632093
"IND",1428,0.0455182072829132,0.092436974789916,0.0579491229428212,0.108967779062839
"JAX",1209,0.0397022332506203,0.0885028949545079,0.0526361073671884,0.106282249868453
"JFK",1,1,1,1,1
"LAS",1901,0.0142030510257759,0.0778537611783272,0.0208336148749152,0.0910817645580197
"LAX",5024,0.0135350318471338,0.0806130573248408,0.0172267923943199,0.0886398144894437
"MCI",1199,0.055045871559633,0.138448707256047,0.0698416646606272,0.159638275878243
"MCO",5192,0.0188751926040062,0.0876348228043143,0.023057469065707,0.0958105552707281
"MDW",1944,0.0581275720164609,0.131172839506173,0.0697150420361693,0.147265225482128
"MEM",1009,0.0614469772051536,0.135777998017839,0.078466263466201,0.158837347217517
"MIA",2859,0.0150402238544946,0.0734522560335782,0.0203669410407529,0.0838356784909519
"MKE",1049,0.0600571973307912,0.114394661582459,0.0765611762294444,0.135585592992187
"MSN",378,0.0396825396825397,0.111111111111111,0.065603754171504,0.147851027389108
"MSP",1792,0.0452008928571429,0.106026785714286,0.0561218592684563,0.121486439786709
"MSY",1267,0.0244672454617206,0.0828729281767956,0.0348851248349758,0.0997625453087093
"OKC",169,0.106508875739645,0.27810650887574,0.164227675269826,0.35174947978277
"OMA",704,0.0639204545454545,0.143465909090909,0.0850965926559784,0.1719820892464
"ORD",3748,0.0306830309498399,0.126734258271078,0.0368585651906959,0.138008982384545
"ORF",436,0.0779816513761468,0.123853211009174,0.1079514011763,0.159049559909284
"PBI",2578,0.0228859581070597,0.0993017843289372,0.0296029738833844,0.111726387177354
"PDX",445,0.00898876404494382,0.11685393258427,0.0242007500996437,0.150968500241488
"PHX",2404,0.0162229617304493,0.0748752079866889,0.0222993177381121,0.0863545661608799
"PIT",402,0.0522388059701493,0.104477611940299,0.0795961015927368,0.139229101335613
"PVD",280,0.0857142857142857,0.139285714285714,0.125774733604091,0.186076904136628
"RDU",690,0.0347826086956522,0.0855072463768116,0.0518806714339594,0.109392249101633
"RIC",1271,0.0479937057435091,0.136113296616837,0.0615508595087838,0.15652926724662
"ROC",662,0.0422960725075529,0.0936555891238671,0.0611184481713176,0.118936663295207
"RSW",1501,0.016655562958028,0.0619586942038641,0.0247831647480582,0.0756600095811236
"SAN",1079,0.0166821130676552,0.072289156626506,0.0266493990158591,0.0897646966732901
"SAT",222,0.0315315315315315,0.184684684684685,0.0658376870805903,0.242484313440572
"SAV",716,0.0558659217877095,0.120111731843575,0.075802441870589,0.146635782959521
"SDF",741,0.0593792172739541,0.147098515519568,0.0793814943640302,0.175084948246523
"SEA",1650,0.0127272727272727,0.0781818181818182,0.0196642927851308,0.0924823708283207
"SFO",5464,0.0181185944363104,0.0982796486090776,0.0221128847330885,0.106635857159389
"SJU",1175,0.00936170212765958,0.0612765957446808,0.0171087671637851,0.0768922614208595
"SLC",329,0.00303951367781155,0.0638297872340425,0.0193647515024667,0.0968603401438502
"SNA",820,0.025609756097561,0.0609756097560976,0.0393893827947909,0.0800482040542955
"STL",2145,0.048951048951049,0.126806526806527,0.0591747543640593,0.141890848425552
"TPA",2272,0.0176056338028169,0.0889084507042254,0.0240954888624684,0.101606098175661
"TUL",136,0.0588235294117647,0.227941176470588,0.114960671444289,0.307458486321023
"TYS",321,0.0498442367601246,0.205607476635514,0.0807598691720998,0.254356679159851
"XNA",265,0.060377358490566,0.0905660377358491,0.0973846549297959,0.132686525455064
