"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",9,0,0,0.353982657103997,0.353982657103997,0.0166270783847981,0.0646153846153846
"BOI",659,0.00758725341426404,0.0515933232169954,0.0184969750709674,0.0718999416689229,0.00871697085262871,0.0534265734265734
"DEN",1666,0.00840336134453781,0.0690276110444178,0.0143482541388433,0.0825519369655503,0.00884447507466115,0.0692218350754936
"LAS",709,0.00564174894217207,0.0564174894217207,0.0152571151756766,0.0765412802666424,0.00688599846977812,0.0577777777777778
"LAX",275,0.0109090909090909,0.0872727272727273,0.0338060282690652,0.127997287314587,0.0125642490005711,0.0851963746223565
"MDW",87,0.0114942528735632,0.0689655172413793,0.0704013462528633,0.147280023428809,0.0147965474722565,0.0713286713286713
"MSP",807,0.00371747211895911,0.0396530359355638,0.0116625508900499,0.0559985602052255,0.00498753117206983,0.041946697566628
"OAK",693,0,0.0735930735930736,0.00692161579325674,0.0961200791642355,0.00182244207237699,0.07369826435247
"PHX",951,0.00315457413249211,0.0420609884332282,0.00990619207231137,0.0572494868819526,0.00428766322354317,0.0438927507447865
"SEA",2850,0.00771929824561404,0.0354385964912281,0.0118278469700499,0.0430722309153786,0.00799945302885273,0.036200963523744
"SLC",1361,0.00293901542983101,0.0352681851579721,0.0079767037653886,0.0467990518461718,0.00375992201643225,0.0368383909668313
