"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1317,0.00531511009870919,0.0349278663629461,0.011339535205639,0.0466331060923883,0.00603361585979026,0.0365622723962127
"BWI",710,0.0197183098591549,0.0788732394366197,0.033487193665951,0.101680387436365,0.0196128374936322,0.0785900783289817
"CVG",251,0.0199203187250996,0.051792828685259,0.0479151716204967,0.0882929078157717,0.0196198651134273,0.0560260586319218
"DEN",742,0.00673854447439353,0.0700808625336927,0.0164431877003463,0.09136061757181,0.00783162016642193,0.0704260651629073
"DFW",1341,0.0425055928411633,0.125279642058166,0.0550346249901322,0.144515377619793,0.0412371134020619,0.123264137437366
"DTW",1445,0.00968858131487889,0.0650519031141868,0.0165325804018118,0.079320672439257,0.0101302460202605,0.0654230512991339
"EWR",508,0.062992125984252,0.116141732283465,0.0884141427533925,0.147774375910558,0.0572702331961591,0.112056737588652
"IAD",44,0,0.204545454545455,0.0993515546035977,0.350495869511501,0.011744966442953,0.132
"IAH",371,0.0134770889487871,0.0485175202156334,0.0326450203025699,0.0765399735069592,0.0143433437920215,0.0519906323185012
"LGA",129,0.0775193798449612,0.209302325581395,0.139911770684566,0.289654210698888,0.0558276199804114,0.168648648648649
"MCO",305,0.00983606557377049,0.140983606557377,0.0305365891918862,0.185763963700964,0.011572856391373,0.130747922437673
"MSP",1181,0.00677392040643522,0.0448772226926334,0.0137534286031716,0.0586363677168783,0.00748288489094093,0.0462409054163298
"ORD",3032,0.0534300791556728,0.130277044854881,0.0622236890659724,0.143001651777924,0.0525875386199794,0.129274611398964
"RSW",97,0,0.0824742268041237,0.0475275531796318,0.158448509137133,0.00813008130081301,0.0797385620915033
"STL",357,0.00560224089635854,0.100840336134454,0.0220991069413566,0.137567600525459,0.00786672836649699,0.0973365617433414
"TPA",161,0.0062111801242236,0.0559006211180124,0.0389846383108129,0.105505017666902,0.0101608806096528,0.0608294930875576
