"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ATL",2810,0.00604982206405694,0.0562277580071174,0.00983948718973662,0.0655893696855502,2806,0.00392017106200998,0.0516749821810406,0.00718662018771062,0.0607138535383981
"CLT",193,0.0103626943005181,0.0155440414507772,0.0404019421598084,0.0477919706046361,193,0.0103626943005181,0.0259067357512953,0.0404019421598084,0.0619118824962198
"DEN",116,0,0.0775862068965517,0.0400396488532918,0.144349329497649,116,0.00862068965517241,0.0517241379310345,0.0535043856274785,0.112208670070932
"DFW",1032,0.0503875968992248,0.125968992248062,0.0659351201357617,0.148131781680625,1031,0.0339476236663434,0.103782735208535,0.0472909127601984,0.124396638941251
"DTW",697,0.0157819225251076,0.0616929698708752,0.0287359842015458,0.0827084726314312,749,0.0120160213618158,0.0640854472630174,0.023352750735594,0.0845478684024478
"EWR",796,0.0753768844221105,0.160804020100503,0.0964068439989333,0.188585795943387,800,0.06,0.12125,0.079223052950962,0.146311374124176
"IAD",444,0.00675675675675676,0.103603603603604,0.0210872986961079,0.13636846744232,395,0.0126582278481013,0.10126582278481,0.030688923671322,0.135990811997585
"LGA",1676,0.0865155131264917,0.185560859188544,0.101287826756479,0.205308163181068,1625,0.0923076923076923,0.195692307692308,0.107721978319031,0.216127151796156
"MIA",334,0.0239520958083832,0.0658682634730539,0.0480186224226824,0.0989458520768736,334,0.0179640718562874,0.0718562874251497,0.0402056459941602,0.105911121216369
"ORD",604,0.0364238410596026,0.110927152317881,0.0552674855565104,0.13921410324243,648,0.0277777777777778,0.140432098765432,0.0441810143625479,0.170028916495734
