"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",2611,0.0072769054002298,0.0520873228648028,0.0115213294109425,0.0615167655999763,0.00759437123073487,0.0525684289463817
"BWI",369,0.013550135501355,0.0623306233062331,0.0328193439366041,0.0929197523107394,0.0144079243583971,0.064
"DFW",764,0.0405759162303665,0.12434554973822,0.0576036178467864,0.150275795833412,0.0386081982840801,0.120975609756098
"DTW",246,0.016260162601626,0.0528455284552846,0.0433593388316853,0.0900399733688297,0.0168119551681196,0.056953642384106
"EWR",740,0.0689189189189189,0.122972972972973,0.0900968137278722,0.149249487301974,0.0642787046123651,0.119597989949749
"HOU",353,0.0113314447592068,0.0679886685552408,0.0304135494323955,0.100335188889389,0.0126109294722092,0.0689486552567237
"IAD",346,0.0115606936416185,0.0953757225433526,0.0310194477458781,0.132071349029491,0.0128205128205128,0.0925373134328358
"IAH",605,0.0115702479338843,0.0727272727272727,0.0245574712706496,0.0969496031480382,0.0123493090267568,0.0729198184568835
"LGA",18,0,0,0.213490884084226,0.213490884084226,0.0150214592274678,0.0567567567567568
"MDW",688,0.0188953488372093,0.0799418604651163,0.0327479115618173,0.103272293589422,0.0188679245283019,0.0795698924731183
"ORD",540,0.0425925925925926,0.0981481481481482,0.0639108790419886,0.126953350272952,0.0396618985695709,0.0959731543624161
