"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ANC",260,0,0.0230769230769231,0.018248837186509,0.0514033522370543,260,0,0.0269230769230769,0.018248837186509,0.0564274259405368
"ATL",365,0.00273972602739726,0.0383561643835616,0.0174796508480862,0.0645654098577451,365,0.00547945205479452,0.0301369863013699,0.0216213027333306,0.0544253083313855
"DEN",364,0.0192307692307692,0.0384615384615385,0.0405602616111203,0.0647395498661663,364,0.0302197802197802,0.123626373626374,0.0545722482160239,0.162515826311443
"DFW",752,0.0172872340425532,0.126329787234043,0.0299851015615882,0.152633168142665,752,0.011968085106383,0.167553191489362,0.023260337279045,0.196591399413
"EWR",364,0.0274725274725275,0.0521978021978022,0.0511258347811579,0.0812494689944042,364,0.00824175824175824,0.0906593406593407,0.0256566594890757,0.125694112691557
"IAD",172,0.0116279069767442,0.0523255813953488,0.0451947966641855,0.0989921380075714,172,0.0174418604651163,0.0813953488372093,0.0534554181951105,0.134248299511163
"IAH",366,0.0245901639344262,0.0546448087431694,0.0473889277464519,0.0840477520241319,365,0.0136986301369863,0.0986301369863014,0.0331736365924439,0.134625384347669
"JFK",334,0.0029940119760479,0.0239520958083832,0.0190789766825034,0.0480186224226824,334,0.00598802395209581,0.0449101796407186,0.0235984050826765,0.07407148188752
"KOA",6890,0.00188679245283019,0.00711175616835994,0.00329816293108601,0.00946184049567005,6888,0.00246806039488966,0.0116144018583043,0.00401999026350395,0.0145099692760457
"LAS",886,0.00451467268623025,0.0237020316027088,0.0122274585907437,0.0364796793179156,886,0.00451467268623025,0.0440180586907449,0.0122274585907437,0.0601211183394687
"LAX",5799,0.00896706328677358,0.0462148646318331,0.0118263651935333,0.0520575081842536,5789,0.00500950077733633,0.0613231991708413,0.00726837460020379,0.0679451030798156
"LIH",6286,0.00143175310213172,0.00477251034043907,0.00280245578758605,0.00688154100065078,6345,0.00220646178092987,0.00945626477541371,0.00377853414924581,0.0122335698410438
"OAK",566,0.00530035335689046,0.0459363957597173,0.0165832949462711,0.0672277170520129,566,0.00706713780918728,0.0353356890459364,0.0190756617028453,0.0547333623987342
"OGG",9470,0.00401267159450898,0.00950369588173178,0.00555439936750609,0.011725771191239,9410,0.00467587672688629,0.0144527098831031,0.00632371771998275,0.017136375612641
"ORD",365,0.0191780821917808,0.0547945205479452,0.0404508877503998,0.0842734116344872,365,0.0164383561643836,0.117808219178082,0.036843353173782,0.15602099003754
"PDX",737,0,0.0176390773405699,0.00651094130230676,0.0305899667866809,736,0.00407608695652174,0.0203804347826087,0.0127797321348231,0.0339877579963947
"PHX",1227,0.0146699266503667,0.0505297473512632,0.0234535465329158,0.0646454319614913,1227,0.0154849225753871,0.0619396903015485,0.0244408119987734,0.07725000544535
"SAN",712,0.00421348314606742,0.0308988764044944,0.0132073932943171,0.0469725527037514,712,0.00280898876404494,0.0280898876404494,0.0111575574956623,0.0436251231832608
"SEA",1711,0.00292226767971946,0.0292226767971946,0.0071607536998645,0.0386016772253851,1713,0.00758902510215995,0.0461179217746643,0.0132277562251477,0.0574084409652501
"SFO",2139,0.0149602618045816,0.0500233754090697,0.0212641261356978,0.0603558819332922,2145,0.0116550116550117,0.0843822843822844,0.0173693876766421,0.0971977215123687
"SJC",606,0.00495049504950495,0.0478547854785479,0.0154979833048919,0.0686047336570333,606,0.0033003300330033,0.037953795379538,0.0130932191402034,0.0570376036697715
"SLC",356,0.00561797752808989,0.0196629213483146,0.0221603214001306,0.0414570147151096,356,0.0140449438202247,0.050561797752809,0.0339994580994216,0.0797007496488987
"SMF",365,0.00547945205479452,0.0438356164383562,0.0216213027333306,0.0712079563999186,365,0.00273972602739726,0.0410958904109589,0.0174796508480862,0.0678970682095982
