"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",1020,0.00882352941176471,0.0549019607843137,0.0171850835720906,0.0710877895952493
"ATL",4586,0.0152638464893153,0.0593109463584823,0.0193544518933936,0.0666890106672053
"AUS",1384,0.00794797687861272,0.0484104046242775,0.0145369261776548,0.0613797166713388
"BHM",660,0.00909090909090909,0.0575757575757576,0.0205160746210104,0.0787081262014783
"BNA",1337,0.0209424083769634,0.0673148840688108,0.0304483408331748,0.0824113304809857
"BOS",1127,0.0266193433895297,0.0754214729370009,0.0381542949762059,0.092770037003834
"BWI",1105,0.0217194570135747,0.0886877828054299,0.0325318177061174,0.107373298434957
"CHS",365,0.010958904109589,0.0301369863013699,0.0294281494506592,0.0544253083313855
"CLT",415,0.0072289156626506,0.0746987951807229,0.0225426550914705,0.10507735595466
"DAL",7278,0.0340752954108271,0.0865622423742786,0.0385986283357537,0.0933875112279459
"DCA",1147,0.040976460331299,0.0749782040104621,0.0544732904361911,0.0921200607768478
"DEN",1781,0.00898371701291409,0.0612015721504773,0.0148136638877011,0.0736166019143699
"DFW",1886,0.0455991516436903,0.123541887592789,0.0562537975945933,0.139518570092562
"ELP",1007,0.00794438927507448,0.0685203574975174,0.0161159237177834,0.0863004760147432
"EWR",949,0.0379346680716544,0.105374077976818,0.052550395895206,0.127059257003714
"FLL",736,0.00679347826086957,0.0326086956521739,0.0165762375363454,0.0486720031936395
"GSP",352,0.0170454545454545,0.0369318181818182,0.0381823959001489,0.0634298399591211
"IND",618,0.00809061488673139,0.0566343042071197,0.0197132524727411,0.0784536036040698
"JAX",399,0.012531328320802,0.0776942355889724,0.0303854722856523,0.109202683468324
"JFK",546,0.010989010989011,0.0677655677655678,0.0247555687100805,0.092798231717934
"LAS",1538,0.00975292587776333,0.0617685305591677,0.0163428206897101,0.0752711464609755
"LAX",1648,0.00606796116504854,0.0655339805825243,0.0114424905583343,0.0788533828042838
"LGA",1108,0.0388086642599278,0.11913357400722,0.0522860965597798,0.140028758918709
"LIT",124,0,0.00806451612903226,0.0375487737506286,0.0501817655031819
"MAF",1267,0.0220994475138122,0.0749802683504341,0.0321199037406218,0.0912125539536278
"MCI",655,0.00916030534351145,0.0564885496183206,0.0206713405408565,0.0775641537814424
"MCO",1499,0.0100066711140761,0.0660440293529019,0.0167660967203932,0.0801148813991743
"MDW",2268,0.0286596119929453,0.0908289241622575,0.0365878159412396,0.103649815363787
"MEM",565,0.0141592920353982,0.0513274336283186,0.0285917977336171,0.0735113183925759
"MSY",3337,0.0170812106682649,0.0596344021576266,0.0222167144574913,0.0683893223247114
"OAK",677,0.0103397341211226,0.0384047267355982,0.0219680184374347,0.0563335627668449
"OKC",1333,0.00900225056264066,0.0570142535633908,0.016038916985766,0.0711597145566573
"PDX",64,0.03125,0.109375,0.115890735302667,0.214541977277404
"PHX",1495,0.0127090301003344,0.0735785953177258,0.0200805377559314,0.0882988236101079
"PIT",358,0.00558659217877095,0.0558659217877095,0.0220382297366252,0.085887599144106
"PNS",365,0.010958904109589,0.0493150684931507,0.0294281494506592,0.07777372120969
"RDU",571,0.0122591943957968,0.0577933450087566,0.0260049709271974,0.0808111252710799
"RSW",12,0.0833333333333333,0.166666666666667,0.38265618744995,0.46650635094611
"SAN",733,0.00818553888130969,0.0422919508867667,0.0184885595923511,0.0600121579722667
"SAT",1417,0.00917431192660551,0.0585744530698659,0.0159781669418897,0.0723990850116012
"SEA",167,0.0119760479041916,0.0598802395209581,0.0465084183531469,0.109243783693746
"SJU",23,0.0434782608695652,0.0869565217391304,0.232073567544848,0.284882697331985
"SLC",9,0,0,0.353982657103997,0.353982657103997
"SNA",420,0.00714285714285714,0.05,0.0222775684648415,0.0762450112095282
"STL",1331,0.0150262960180316,0.0826446280991736,0.0234481012603875,0.0990701882935134
"TPA",1087,0.00551977920883165,0.0699172033118675,0.0124986947924694,0.0870947711994831
"TUL",1004,0.0119521912350598,0.0667330677290837,0.0212610769873042,0.0843596834202069
"TUS",5,0,0,0.499382028649922,0.499382028649922
