"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ALB",39,0.0512820512820513,0.230769230769231,0.18161425734751,0.388889618165319,0.0297723292469352,0.138947368421053
"ATL",3208,0.00841645885286783,0.0773067331670823,0.0123666247331582,0.0872874223636237,0.00865009746588694,0.0772671568627451
"AUS",104,0.00961538461538462,0.144230769230769,0.0594041690307395,0.227494737984572,0.0133928571428571,0.12
"BDL",594,0.0336700336700337,0.122895622895623,0.0521850459397346,0.152504984612423,0.0319784817692767,0.118769230769231
"BNA",550,0.0181818181818182,0.0963636363636364,0.0340302486499602,0.124687527889628,0.0182341650671785,0.0943894389438944
"BOS",2114,0.0198675496688742,0.0950804162724693,0.0269726037437298,0.108638168447369,0.0198245934587977,0.0945622119815668
"BUF",190,0.0421052631578947,0.0947368421052632,0.0832958494960974,0.146756130443544,0.0354449472096531,0.0902439024390244
"CHS",356,0.0252808988764045,0.103932584269663,0.0486975613188072,0.141094628624207,0.0241187384044527,0.1
"CLE",504,0.0376984126984127,0.111111111111111,0.0590033757817679,0.142393077042654,0.0352209944751381,0.1075
"CLT",205,0.0292682926829268,0.151219512195122,0.0648207308633581,0.208340404031423,0.0264097073518915,0.134865900383142
"CMH",214,0.0186915887850467,0.107476635514019,0.0496839080806619,0.157840139167248,0.0186721991701245,0.100740740740741
"COS",79,0.0506329113924051,0.177215189873418,0.129139598534161,0.279369560458712,0.0350194552529183,0.134814814814815
"CVG",239,0.00418410041841004,0.0878661087866109,0.0265129706308456,0.132207633790609,0.00763844684914067,0.0854237288135593
"DAY",253,0.0316205533596838,0.126482213438735,0.0630361427398012,0.174564741967062,0.0286410725167581,0.117152103559871
"DEN",3390,0.0115044247787611,0.0749262536873156,0.0158304840321472,0.084493077892596,0.0116587787140713,0.0749274521183981
"DFW",1513,0.0297422339722406,0.0951751487111699,0.039879521922684,0.111386799506432,0.0292154640473492,0.0944550669216061
"DTW",1080,0.0138888888888889,0.0611111111111111,0.0232299764557218,0.0774601062082361,0.014196675900277,0.0617957746478873
"EWR",816,0.0625,0.159313725490196,0.0818070935107438,0.186643513489117,0.0587971274685817,0.153899082568807
"FLL",142,0.0140845070422535,0.147887323943662,0.0544166092027117,0.217834229021847,0.0156537753222836,0.127272727272727
"GRR",44,0,0.204545454545455,0.0993515546035977,0.350495869511501,0.011744966442953,0.132
