"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",5028,0.0210819411296738,0.0847255369928401,0.0255485599351871,0.0929208224809834,0.0210456184354915,0.084618410700236,5030,0.0222664015904573,0.090258449304175,0.0268396858716538,0.0986746242127395,0.0222126459296404,0.0900904443570586
"AS",365,0.00273972602739726,0.0520547945205479,0.0174796508480862,0.0810312584740969,0.00545206724216265,0.0551068883610451,365,0.00547945205479452,0.0246575342465753,0.0216213027333306,0.0475166178389031,0.00772376192639709,0.031353919239905
"DL",3219,0.00372786579683131,0.0605778191985089,0.00666057839038534,0.0695624905115918,0.00406775544897092,0.060824427480916,3218,0.00559353635798633,0.045680546923555,0.00897469543675443,0.0536443025491774,0.00589092675816835,0.0461820403176542
"EV",46421,0.0173197475280584,0.0685465629779626,0.0185737259978746,0.0709297831986386,0.0173218456562042,0.068554338705166,46473,0.0227659070858348,0.0846297850364728,0.0241919327443293,0.0872481158746546,0.0227592044375508,0.0846181951041286
"F9",1176,0.00680272108843537,0.092687074829932,0.0138116096082934,0.111064211611134,0.00751278772378517,0.0918831168831169,1177,0.00679694137638063,0.0985556499575191,0.0137999340611917,0.117368032490411,0.00750678805302667,0.0974858069748581
"MQ",145,0.0413793103448276,0.103448275862069,0.0906234721171569,0.166184878721228,0.033605812897366,0.0955223880597015,144,0.0486111111111111,0.138888888888889,0.100099367737576,0.207132240226804,0.0383211678832117,0.121
"NK",2528,0.0213607594936709,0.183939873417722,0.0279621628766321,0.199854511557212,0.0212814996926859,0.181578947368421,2529,0.0233293792012653,0.167655199683669,0.0301742067838328,0.183043290650156,0.02319330312572,0.165647969052224
"OO",13180,0.0184370257966616,0.098103186646434,0.0209354304947662,0.103409142355836,0.0184380469551572,0.0980054397098821,13157,0.0233335866838945,0.0930303260621722,0.0261181997327619,0.0982210413721156,0.0233067819410227,0.0929539090289866
"UA",60121,0.0123750436619484,0.084030538414198,0.0133103710229444,0.0863214304395404,0.0123828414418186,0.0840221347026272,60143,0.015878822140565,0.0726601599521141,0.0169314620111298,0.0748058138725499,0.0158822415814488,0.0726623365836642
"US",5245,0.0127740705433746,0.0522402287893232,0.0162895204669312,0.0587428370324343,0.012856659524078,0.0524806640256555,5244,0.0104881769641495,0.05720823798627,0.0137228361518755,0.0639751219027202,0.0106030982102572,0.0573962264150943
