"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ABQ",1206,0.0140961857379768,0.0737976782752902,0.0228504806156159,0.0903697004143385,0.0143615360599438,0.073851030110935,1174,0.0161839863713799,0.0689948892674617,0.025537428906488,0.0853711687862204,0.0163304514889529,0.0692682926829268
"ANC",84,0,0.166666666666667,0.0545011497917969,0.264048548521208,0.00879396984924623,0.13,87,0.0344827586206897,0.183908045977011,0.102720213270916,0.28131741016835,0.0271270036991369,0.141258741258741
"ATL",4500,0.00777777777777778,0.078,0.0109048518217643,0.0863841071354941,0.00795593635250918,0.0779631255487269,4295,0.00908032596041909,0.0640279394644936,0.0125017527165662,0.0719228636521452,0.00924442817262368,0.0641691565157435
"AUS",2330,0.0137339055793991,0.0935622317596567,0.0195272712707882,0.106354804702149,0.0138865790786629,0.0931265716680637,2381,0.0121797564048719,0.0600587988240235,0.0176364456010015,0.0705826506474307,0.0123768422766876,0.06040213377103
"BHM",1716,0.0151515151515152,0.0693473193473193,0.0223816924699131,0.0826814257559889,0.0152970075926753,0.0695259593679458,1715,0.0215743440233236,0.0956268221574344,0.0298705637334949,0.110815839086249,0.021450117305329,0.0949745906267645
"BNA",1589,0.0151038388923851,0.0748898678414097,0.0226707303698297,0.0892328754534945,0.0152625886311741,0.0748936170212766,1791,0.0189838079285315,0.0781686208821887,0.0266735689491301,0.0918499401954809,0.0189690279712785,0.0780725500812128
"BOI",313,0.0223642172523962,0.0958466453674121,0.0470479912221363,0.134787008624607,0.0216383307573416,0.0926829268292683,315,0.0253968253968254,0.0666666666666667,0.0508609249213817,0.101063993746774,0.0240902101486417,0.0679245283018868
"BOS",1840,0.0201086956521739,0.0907608695652174,0.0278509818201992,0.105086736744764,0.0200501253132832,0.090295358649789,1853,0.025364274150027,0.0793308148947652,0.0338255566463824,0.0928450286081363,0.0251011305881133,0.0792037716081718
"BTR",2677,0.0242809114680613,0.0784460216660441,0.0310200872142517,0.0894984643302842,0.0241261536225565,0.0783754116355653,2678,0.0235250186706497,0.078790141896938,0.0301744679483689,0.0898605487280912,0.023390963242772,0.0787125091441112
"BWI",876,0.0136986301369863,0.0821917808219178,0.024344942899133,0.102801580341097,0.0140874684608915,0.0817596566523605,883,0.0237825594563986,0.105322763306908,0.0366025816019155,0.127869363316442,0.0233771655186809,0.103514376996805
"CHS",676,0.0103550295857988,0.0606508875739645,0.0220002380311841,0.0819021240409443,0.0111821086261981,0.0617486338797814,686,0.0262390670553936,0.0903790087463557,0.0417589733169211,0.114840459529503,0.0254860746190226,0.0892183288409703
"CLE",1378,0.00870827285921625,0.0703918722786647,0.0155175936182283,0.0855092206221349,0.00922102945224332,0.0705718270571827,1295,0.0154440154440154,0.050965250965251,0.0240962701529665,0.0647074272422782,0.0156181579331484,0.0519615099925981
"CLT",4338,0.0138312586445367,0.0645458736745044,0.0178800500869802,0.0724267059172801,0.0139128070334451,0.0646791078743742,4366,0.0180943655519927,0.0732936326156665,0.0226161099569074,0.081588376079052,0.0181032153472035,0.0733152419719584
"CMH",1081,0.00832562442183164,0.0471785383903793,0.0162207734142098,0.0619356214580727,0.00899498356685694,0.0485488126649077,1039,0.0394610202117421,0.0923965351299326,0.0535394886598203,0.112028663195835,0.0380542092981511,0.0915068493150685
"COS",1056,0.0179924242424242,0.0984848484848485,0.0283716135386074,0.118428853505019,0.018033946251768,0.0973021582733813,1040,0.0192307692307692,0.0855769230769231,0.0299630891487532,0.104624837586772,0.0191893830703013,0.085036496350365
"CVG",1368,0.0160818713450292,0.070906432748538,0.0245713443565017,0.0861285352564252,0.0162139689578714,0.0710674157303371,1360,0.0264705882352941,0.107352941176471,0.0367711723365977,0.125346880573583,0.0260590858416945,0.106073446327684
"DAL",1553,0.025756600128783,0.0740502253702511,0.0351865566025353,0.0885065020960397,0.0254268517381157,0.07408328154133,1553,0.0276883451384417,0.0933676754668384,0.0373931327321333,0.109232914836954,0.027269377226385,0.0927284027346178
"DCA",2410,0.0236514522821577,0.0879668049792531,0.0307263451195151,0.100219783167146,0.0234991147593755,0.0876723438767234,2403,0.0203911776945485,0.0865584685809405,0.0270588835529948,0.0987493130244676,0.020337341618917,0.0862952419682798
"DEN",4894,0.0134859011033919,0.0874540253371475,0.0172269372035844,0.0958780317448705,0.0135635514770989,0.0873131313131313,5286,0.0166477487703367,0.098940597805524,0.0205692952499028,0.107465479963875,0.0166753711855555,0.0986896293523025
"DFW",4997,0.0240144086451871,0.101660996597959,0.0287581694513898,0.110538176490076,0.02393438744529,0.101365525430437,5132,0.0249415432579891,0.0943102104442712,0.0296949110227943,0.102794569869975,0.0248502074051314,0.0941017733230532
"DSM",576,0.0173611111111111,0.0885416666666667,0.0325106164908283,0.115308679399399,0.0175061425061425,0.0873417721518987,658,0.0288753799392097,0.101823708206687,0.045345334093352,0.127981318427541,0.027823240589198,0.0997198879551821
"DTW",2286,0.0179352580927384,0.0861767279090114,0.0244502893445953,0.0986723785159167,0.0179569710316788,0.0859094790777113,2416,0.0177980132450331,0.0753311258278146,0.0240872244617631,0.0868089133207243,0.0178227360308285,0.0753236245954692
"ELP",1985,0.0120906801007557,0.0664987405541562,0.0181654931718839,0.0786114662445435,0.0123289001067857,0.0667319941205291,1984,0.0151209677419355,0.0751008064516129,0.0217415910932271,0.0878393467820167,0.0152486402486402,0.0750980392156863
"EWR",3676,0.0198585418933623,0.0927638737758433,0.0250388858058054,0.102791330033942,0.0198336532309661,0.092497320471597,3768,0.0238853503184713,0.0942144373673036,0.0294135575144444,0.104177143632093,0.0237822647793505,0.0939330543933054
"FLL",1841,0.00434546442151005,0.0695274307441608,0.00883869502239591,0.0823769428699305,0.00490554221897505,0.0696889826041117,1843,0.00759631036353771,0.0575149213239284,0.0129752430134443,0.069392412366973,0.00802835992075904,0.058030542390732
"GRR",371,0.0134770889487871,0.0485175202156334,0.0326450203025699,0.0765399735069592,0.0143433437920215,0.0519906323185012,353,0.0198300283286119,0.0736543909348442,0.0418036049914266,0.106889389658527,0.0196170014012144,0.073838630806846
"GSP",605,0.0115702479338843,0.0727272727272727,0.0245574712706496,0.0969496031480382,0.0123493090267568,0.0729198184568835,604,0.0182119205298013,0.0794701986754967,0.0331144631861128,0.104519999526139,0.0182567726737338,0.0790909090909091
"HNL",365,0.0136986301369863,0.0986301369863014,0.0331736365924439,0.134625384347669,0.0145388459791004,0.0954869358669834,366,0.0245901639344262,0.0546448087431694,0.0473889277464519,0.0840477520241319,0.0235720761559383,0.057345971563981
"IAD",1615,0.0123839009287926,0.0668730650154799,0.0193433459949659,0.0804515438120928,0.0126612235238433,0.0671454219030521,1732,0.0271362586605081,0.0964203233256351,0.0361756941854765,0.111579521540043,0.0267817618415228,0.0957494407158837
"ICT",1204,0.0224252491694352,0.0697674418604651,0.0328147886162286,0.0859891066259781,0.0222013758599124,0.07,1232,0.0316558441558442,0.0844155844155844,0.0433592684877182,0.10168973536091,0.030905752753978,0.0840062111801242
"IND",1181,0.00846740050804403,0.0702794242167655,0.0159434889947942,0.0867219129998419,0.00907498805922624,0.0704931285367826,1131,0.0167992926613616,0.0671971706454465,0.0265021742599767,0.0837407746713774,0.016912618139612,0.0675652906486942
"JAN",2039,0.0269740068661108,0.079941147621383,0.0351872429214941,0.0928199708480542,0.026676757165831,0.0798090692124105,2039,0.0279548798430603,0.099068170671898,0.0362892030590789,0.113118955552332,0.0276227414624917,0.0984248210023866
