"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",4047,0.00345935260686929,0.0360761057573511,0.0059205593189805,0.0424296364258841,0.00373586919606036,0.0366073604679503
"BOS",6,0,0.166666666666667,0.45298221281347,0.589827534923789,0.0172413793103448,0.0838709677419355
"BWI",1123,0.0204808548530721,0.103294746215494,0.0309569335012144,0.122942997385877,0.0203638791520614,0.1019508057676
"CLE",1,1,1,1,1,0.031496062992126,0.0912280701754386
"CLT",614,0.00651465798045603,0.0179153094462541,0.0175973139609417,0.0325806707268452,0.00783517121300058,0.0226865671641791
"DAL",84,0,0.154761904761905,0.0545011497917969,0.250624760221862,0.00879396984924623,0.122857142857143
"DCA",469,0.046908315565032,0.0980810234541578,0.0709220912777236,0.129248476023913,0.0429988974641676,0.0956190476190476
"DEN",2064,0.00678294573643411,0.0789728682170543,0.0115904217269713,0.091704196201244,0.00719895287958115,0.0788679245283019
"DFW",1742,0.026406429391504,0.0993111366245695,0.0353176477882182,0.114602867133171,0.0260840854061193,0.0985539488320356
"DTW",833,0.00120048019207683,0.0468187274909964,0.00771551729384846,0.0639052051862761,0.00264258973794318,0.0485939257592801
"EWR",1428,0.0455182072829132,0.092436974789916,0.0579491229428212,0.108967779062839,0.0441724321447578,0.0917789757412399
"FLL",307,0.00977198697068404,0.0553745928338762,0.0303409666996671,0.0882549907541521,0.0115122972265829,0.0584022038567493
"HOU",610,0.00819672131147541,0.0786885245901639,0.0199694672144999,0.103508289861471,0.00934033858727379,0.0783783783783784
"IAD",417,0.0311750599520384,0.0887290167865707,0.0536976790195889,0.120896493637598,0.0292563998374644,0.0871035940803383
"IAH",1181,0.00846740050804403,0.0702794242167655,0.0159434889947942,0.0867219129998419,0.00907498805922624,0.0704931285367826
"JFK",337,0.0712166172106825,0.154302670623145,0.104989882522796,0.197897733976229,0.0616205725376031,0.143002544529262
"LAS",941,0.00212539851222104,0.0722635494155154,0.00845664064995645,0.091112729860305,0.00334579807124582,0.0724172517552658
"LAX",661,0.00151285930408472,0.0196671709531014,0.00970869025510873,0.0340723427002193,0.0032599837000815,0.0239888423988842
"LGA",30,0.1,0.2,0.268536260771917,0.380787515859022,0.0418250950570342,0.118604651162791
"MCI",669,0.00448430493273543,0.0881913303437967,0.0140497656684964,0.112772324819557,0.00591238914270358,0.0871724137931034
"MCO",1358,0.00515463917525773,0.0618556701030928,0.0109986368239761,0.0763231503918123,0.005861010326542,0.0623762376237624
"MIA",187,0.0053475935828877,0.0160427807486631,0.033700465735572,0.0492838322434131,0.0091533180778032,0.0296296296296296
"MSP",921,0.00325732899022801,0.0412595005428882,0.0102270624034446,0.0566190204877755,0.00441678377835776,0.0431934493346981
"ORD",3427,0.0504814706740589,0.12255617157864,0.0585176166495944,0.13421035784178,0.049797270287248,0.121791559000861
"PHL",317,0.028391167192429,0.100946372239748,0.0545750936232941,0.140271068518049,0.0265170831208567,0.0970509383378016
"PHX",1403,0.00498930862437634,0.0762651461154669,0.0106473201483599,0.091723882184914,0.00568258693005006,0.0762165867032214
"RSW",782,0.00639386189258312,0.0690537084398977,0.0156079990522744,0.0895974764423369,0.00746616892207186,0.0694510739856802
"SFO",350,0.00571428571428571,0.0914285714285714,0.0225348500793502,0.127366481226304,0.00799623706491063,0.0891625615763547
"SLC",173,0.00578034682080925,0.023121387283237,0.0363537817125199,0.0611029947756431,0.0096696212731668,0.0358078602620087
"TPA",982,0.00814663951120163,0.0702647657841141,0.0165237340830566,0.0884728334072194,0.00889141127506621,0.0705202312138728
