"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",4044,0.00321463897131553,0.0432739861523244,0.00561551430406431,0.0501531719771892,0.00349582443192853,0.0437073170731707
"BOS",6,0,0.166666666666667,0.45298221281347,0.589827534923789,0.0172413793103448,0.0838709677419355
"BWI",1097,0.0264357338195077,0.0711030082041933,0.0381268321628607,0.0883073451793261,0.0259341409315816,0.0712922810060711
"CLT",927,0.00970873786407767,0.0302049622437972,0.0188979015922417,0.0437986155063623,0.0103771702255039,0.0327568667344863
"DAL",84,0.0119047619047619,0.119047619047619,0.0727788911385827,0.20952864136209,0.0150753768844221,0.101428571428571
"DCA",470,0.0446808510638298,0.0893617021276596,0.0682617306630623,0.119484727114154,0.0410858400586941,0.0878326996197719
"DEN",1984,0.0126008064516129,0.0756048387096774,0.0187733863688138,0.0883784040162591,0.0128205128205128,0.0755882352941176
"DFW",1742,0.0298507462686567,0.0855338691159587,0.0392141358773599,0.0999368029674631,0.0293858683689192,0.0852057842046719
"DTW",760,0.00131578947368421,0.0486842105263158,0.00845195507690304,0.0669725539801077,0.0028735632183908,0.0504901960784314
"EWR",1390,0.0669064748201439,0.164028776978417,0.0816482300464177,0.184875566845731,0.0644280644280644,0.160580912863071
"FLL",307,0.00977198697068404,0.0586319218241042,0.0303409666996671,0.0921282831572937,0.0115122972265829,0.0611570247933884
"HOU",618,0.00809061488673139,0.0566343042071197,0.0197132524727411,0.0784536036040698,0.00923254472013849,0.058160237388724
"IAD",403,0.0248138957816377,0.0719602977667494,0.0462538167225048,0.102464496687852,0.0238393977415307,0.0723311546840959
"IAH",1131,0.0167992926613616,0.0671971706454465,0.0265021742599767,0.0837407746713774,0.016912618139612,0.0675652906486942
"JFK",337,0.0652818991097923,0.15727002967359,0.0980846703562269,0.201125136105903,0.0567685589519651,0.145547073791349
"LAS",949,0.00210748155953635,0.0242360379346681,0.00838572573911183,0.0365875798281455,0.00331966412809998,0.0270646766169154
"LAX",661,0.00151285930408472,0.0242057488653555,0.00970869025510873,0.0396536168109025,0.0032599837000815,0.0281729428172943
"LGA",30,0.0333333333333333,0.1,0.185521909477575,0.268536260771917,0.0228136882129278,0.0837209302325581
"MCI",676,0.00443786982248521,0.0443786982248521,0.0139053881520515,0.0633004350579443,0.00585729499467519,0.0467213114754098
"MCO",1364,0.00879765395894428,0.0520527859237537,0.0156761143894943,0.0655159555241345,0.00931072818232351,0.0529577464788732
"MIA",186,0.032258064516129,0.0645161290322581,0.0712446414600802,0.11159125684961,0.0283307810107198,0.0669421487603306
"MSP",994,0.00201207243460765,0.0321931589537223,0.00800799190350981,0.0455526380473664,0.00317994762439207,0.0344761904761905
"ORD",3607,0.0518436373717771,0.141668976989188,0.0597524860033188,0.153685428770039,0.0511650643636956,0.140649740649741
"PHL",4,0,0,0.556186217847897,0.556186217847897,0.0176767676767677,0.07
"PHX",1404,0.0142450142450142,0.0527065527065527,0.0222352665017707,0.0660216658442953,0.0144672796106003,0.0535616438356164
"RSW",782,0.0051150895140665,0.0652173913043478,0.0138425512338063,0.0853190268729884,0.00629958002799813,0.0658711217183771
"SFO",350,0.0114285714285714,0.0342857142857143,0.0306702974149941,0.0602651043108238,0.0126999059266228,0.0399014778325123
"SLC",173,0,0.0115606936416185,0.0271887113724072,0.0449409264330645,0.0056406124093473,0.0270742358078603
"TPA",982,0.00814663951120163,0.0631364562118126,0.0165237340830566,0.0806004247920868,0.00889141127506621,0.063776493256262
