"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",5462,0.00457707799340901,0.0399121201025265,0.00683618844068613,0.045565619574507
"BNA",999,0.01001001001001,0.0630630630630631,0.0188301432060203,0.0803522286751464
"BOS",789,0.0240811153358682,0.0925221799746515,0.037885224073686,0.115360784775871
"BWI",1193,0.0176026823134954,0.0502933780385583,0.0271504307440433,0.0646071427342053
"CLT",2216,0.00541516245487365,0.0370036101083032,0.00966652316092288,0.0459370131785297
"DCA",390,0.0102564102564103,0.0461538461538462,0.0275673464654448,0.0728789430105292
"DEN",370,0.00540540540540541,0.0243243243243243,0.0213330270701782,0.0468849566407648
"DFW",1428,0.0287114845938375,0.0973389355742297,0.0390478141990395,0.114210336121608
"DTW",188,0.0159574468085106,0.0585106382978723,0.0490287546473357,0.103972386623792
"EWR",1172,0.0383959044368601,0.120307167235495,0.0513899000772746,0.140659266889249
"FLL",804,0.00373134328358209,0.0385572139303483,0.0117057888958658,0.0547674041054517
"HOU",399,0.012531328320802,0.0776942355889724,0.0303854722856523,0.109202683468324
"IAD",382,0.0183246073298429,0.0732984293193717,0.0386778219188296,0.104974484217917
"IAH",880,0.0193181818181818,0.0875,0.0312484188394918,0.108555990431861
"JFK",1057,0.0245979186376537,0.120151371807001,0.0362322599197128,0.141649362124839
"LAS",124,0,0.0403225806451613,0.0375487737506286,0.0948810852094857
"LGA",45,0.0666666666666667,0.2,0.188527096059425,0.34370290554088
"MDW",365,0.0246575342465753,0.0657534246575342,0.0475166178389031,0.0971062233989397
"MIA",840,0.0226190476190476,0.0607142857142857,0.0356047532427213,0.07949720954019
"MSP",172,0.00581395348837209,0.0523255813953488,0.0365593814048178,0.0989921380075714
"ORD",622,0.0305466237942122,0.128617363344051,0.0479394751849891,0.157960038103328
"PHL",393,0.0101781170483461,0.0305343511450382,0.0273597444542555,0.0537787982801998
"SJU",64,0,0.03125,0.0703900321187786,0.115890735302667
