"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",299,0.0133779264214047,0.0802675585284281,0.0358093472223901,0.11798906780368
"ATL",2075,0.0139759036144578,0.0833734939759036,0.0202271264537003,0.0963537792811371
"AUS",1734,0.0149942329873126,0.0974625144175317,0.0221504088019105,0.112677494003288
"BNA",364,0.0989010989010989,0.186813186813187,0.134986264410099,0.231135487565383
"BOS",5688,0.0265471167369902,0.117440225035162,0.0311672318645916,0.126252026164895
"BUF",2633,0.0281048233953665,0.112039498670718,0.0353365591471928,0.124940619903657
"BUR",365,0.0219178082191781,0.10958904109589,0.0440061466716371,0.146887694516543
"BWI",364,0.0824175824175824,0.186813186813187,0.116333214117051,0.231135487565383
"CHS",928,0.0226293103448276,0.0765086206896552,0.0348418150790447,0.095928266280955
"CLE",365,0.0821917808219178,0.167123287671233,0.116021728466535,0.209907828498549
"CLT",2810,0.0281138790035587,0.0914590747330961,0.0350885026978794,0.102938864681251
"CMH",730,0.0643835616438356,0.146575342465753,0.0851834153221104,0.174751958110673
"CVG",367,0.0626702997275204,0.171662125340599,0.0934156255642338,0.214673919178008
"DCA",1811,0.0811706239646604,0.151297625621204,0.0949804815946061,0.168923450122944
"DEN",763,0.0170380078636959,0.108781127129751,0.029556518744116,0.133490707588498
"DFW",646,0.021671826625387,0.0665634674922601,0.0367706538002965,0.0891440998755695
"DTW",311,0.0192926045016077,0.122186495176849,0.0431255847985696,0.164503926367319
"FLL",4557,0.0247970155804257,0.101821373710775,0.0298565000739259,0.111139902410756
"HNL",334,0.00598802395209581,0.0449101796407186,0.0235984050826765,0.07407148188752
"HOU",546,0.010989010989011,0.0677655677655678,0.0247555687100805,0.092798231717934
"IAD",1337,0.0471204188481675,0.136873597606582,0.0602005023082442,0.156791140911243
"IND",337,0.0712166172106825,0.154302670623145,0.104989882522796,0.197897733976229
"JAX",1059,0.0226628895184136,0.115203021718602,0.0339346656835368,0.136342258245389
"LAS",4065,0.0150061500615006,0.0774907749077491,0.0193539288773404,0.0863096059420317
"LAX",13403,0.0128329478474968,0.062523315675595,0.0149332481061005,0.0668397296750591
"LGB",662,0.0302114803625378,0.0876132930513595,0.0468837714077029,0.112278725245862
"MCO",5669,0.0192273769624272,0.0837890280472747,0.0232441644060931,0.0914514285791142
"MIA",3737,0.0171260369280171,0.0939256087770939,0.021947102901242,0.103918687350826
"MSP",707,0.00707213578500707,0.0735502121640736,0.0172509001506322,0.0958197007245636
"MSY",1352,0.022189349112426,0.099112426035503,0.0318432274332279,0.116610088663333
"OAK",308,0.0357142857142857,0.0844155844155844,0.064292541222807,0.122105659549096
"ORD",1716,0.0233100233100233,0.119463869463869,0.0318617748306665,0.136039524314751
"ORF",310,0.0806451612903226,0.151612903225806,0.117628855167522,0.197010630274695
"PBI",2002,0.024975024975025,0.0964035964035964,0.0330179710179405,0.110436860614644
"PDX",881,0.0124858115777526,0.113507377979569,0.0227773375283095,0.13672245824551
"PHX",2377,0.0214556163230963,0.087505258729491,0.0283062813076007,0.0998215631860496
"PIT",261,0.00383141762452107,0.0689655172413793,0.0243186327612862,0.107925025040284
"PSP",32,0,0.0625,0.131909363437364,0.215867671286896
"RDU",2237,0.0545373267769334,0.125167635225749,0.0649915813562574,0.13984896573237
"RNO",25,0,0.08,0.163074239892554,0.265996784949691
"ROC",1277,0.028974158183242,0.100234925606891,0.0400455875717225,0.118357122764764
"RSW",1277,0.0258418167580266,0.105716523101018,0.0364320051422672,0.124217190476367
"SAN",1770,0.0214689265536723,0.0813559322033898,0.0295973461400151,0.0953496675734163
"SAT",304,0.00986842105263158,0.0625,0.03063534942038,0.096906453034479
"SAV",731,0.0177838577291382,0.0697674418604651,0.0308388010612235,0.0911910727916759
"SEA",2152,0.0116171003717472,0.0859665427509294,0.0173130924959984,0.0988574263802174
"SFO",9274,0.0168212206167781,0.085723528143196,0.0197159552823118,0.091720501406279
"SJC",318,0.0566037735849057,0.135220125786164,0.0890125679053696,0.178396465405084
"SJU",4811,0.0147578466015381,0.0827270837663687,0.0186828613716223,0.0910285580283051
"SLC",2009,0.0079641612742658,0.0741662518666003,0.0131382310039708,0.0867544346657432
"SMF",300,0.0166666666666667,0.1,0.0402310063106495,0.140466108108418
"TPA",2636,0.0223823975720789,0.0963581183611533,0.0289541593089194,0.108488231101452
