"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ANC",45,0,0,0.0973490362380913,0.0973490362380913,0.0116472545757072,0.0415841584158416,44,0,0,0.0993515546035977,0.0993515546035977,0.011744966442953,0.042
"DEN",92,0.0326086956521739,0.0652173913043478,0.0974387169361567,0.139750266698861,0.0263157894736842,0.0689189189189189,92,0,0.108695652173913,0.0499875965690046,0.192507715608415,0.00837320574162679,0.0959459459459459
"HNL",6888,0.00246806039488966,0.0116144018583043,0.00401999026350395,0.0145099692760457,0.00264246323529412,0.0121255760368664,6890,0.00188679245283019,0.00711175616835994,0.00329816293108601,0.00946184049567005,0.00206742089243669,0.00765908436510222
"LAX",1446,0.0103734439834025,0.0608575380359613,0.0173777440480512,0.0747416523060211,0.0107809623981068,0.0613848202396804,1446,0.00553250345781466,0.0539419087136929,0.0112432474325977,0.0671641832175558,0.00617933210623192,0.0547270306258322
"OAK",298,0.00335570469798658,0.0268456375838926,0.0213471949311616,0.0537051744034113,0.00643086816720257,0.0344632768361582,298,0,0.023489932885906,0.0159571056768531,0.0493705954414038,0.0037513397642015,0.031638418079096
"OGG",830,0,0.0132530120481928,0.00578541209791533,0.0241662831863616,0.00154661953159523,0.0171557562076749,830,0,0.00963855421686747,0.00578541209791533,0.0195282062054933,0.00154661953159523,0.0137697516930023
"PDX",176,0,0.0170454545454545,0.0267370541553548,0.0522754751024499,0.00557324840764331,0.0310344827586207,176,0.00568181818181818,0.0113636363636364,0.0357506267081307,0.0441961436654686,0.00955414012738853,0.0267241379310345
"PHX",312,0.0288461538461538,0.0416666666666667,0.0554328318001038,0.0713920489923475,0.0268595041322314,0.0467391304347826,312,0.016025641025641,0.0544871794871795,0.0387106518657999,0.0868723086334155,0.0165289256198347,0.0576086956521739
"SAN",51,0,0,0.0868459085456425,0.0868459085456425,0.0110935023771791,0.0392523364485981,51,0,0,0.0868459085456425,0.0868459085456425,0.0110935023771791,0.0392523364485981
"SEA",614,0.00162866449511401,0.0195439739413681,0.010446089599946,0.034624703473311,0.00348229831688915,0.0241791044776119,616,0.0194805194805195,0.051948051948052,0.0345134569666932,0.0731252154722071,0.0193865740740741,0.0538690476190476
"SFO",744,0.0174731182795699,0.0752688172043011,0.0303046879520073,0.0970977331386794,0.017578125,0.07525,744,0.00537634408602151,0.0833333333333333,0.0145445075021371,0.106016316130277,0.006591796875,0.08275
"SJC",190,0,0.0473684210526316,0.0248134527445909,0.0899095331367561,0.0052790346907994,0.0536585365853659,190,0,0.0263157894736842,0.0248134527445909,0.0628616511197066,0.0052790346907994,0.0373983739837398
