"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",9947,0.0139740625314165,0.0731878958479944,0.016539024343401,0.0785867965304651,0.014008900241464,0.0731980405878237,9948,0.0101527945315641,0.0734821069561721,0.0123786648084263,0.0788902447511942,0.0102162981882034,0.0734906037584966
"AS",4228,0.0021286660359508,0.0290917691579943,0.00416460851960596,0.0347419594568534,0.00241680609778769,0.0296918767507003,4228,0.00189214758751183,0.0227057710501419,0.00385564239136064,0.0277808141628894,0.00218442089607734,0.0233893557422969
"B6",3946,0.0146984287886467,0.0919918905220476,0.0190819804795239,0.101620700391133,0.0147717099373321,0.0917541229385307,3945,0.0134347275031686,0.0757921419518378,0.0176573170755797,0.0846670286737019,0.013531665091289,0.0757810547363159
"DL",11095,0.00504731861198738,0.0348805768364128,0.00659444061335446,0.038539394708926,0.00513867253943528,0.0350820554210385,11101,0.00342311503468156,0.0386451671020629,0.00473897426032074,0.0424770248531134,0.00352534850843757,0.0388276418392041
"EV",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158,1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"F9",3007,0.00731626205520452,0.122381110741603,0.0112118340053106,0.134848761177179,0.00759197975472065,0.121514854717597,3008,0.00565159574468085,0.112367021276596,0.00919331275325966,0.124413821936805,0.00596782563570316,0.11168407310705
"FL",417,0.0143884892086331,0.0455635491606715,0.0323108067250807,0.0711012896526948,0.0150345388053637,0.0490486257928118,417,0.00719424460431655,0.0455635491606715,0.0224358669990787,0.0711012896526948,0.00893945550589191,0.0490486257928118
"HA",886,0.00451467268623025,0.0440180586907449,0.0122274585907437,0.0601211183394687,0.00561797752808989,0.045859872611465,886,0.00451467268623025,0.0237020316027088,0.0122274585907437,0.0364796793179156,0.00561797752808989,0.0267515923566879
"NK",4587,0.0198386745149335,0.139960758665795,0.0244153671076714,0.150524961892963,0.0198189695851744,0.139177256084428,4596,0.0174064403829417,0.133376849434291,0.0217279613756829,0.143731289748759,0.0174259290974482,0.132674118658641
"OO",4331,0.014546294158393,0.0736550450242438,0.0186858527203332,0.0820024787408391,0.0146157686895738,0.0736722133576476,4331,0.0122373585776957,0.06834449318864,0.01608719818551,0.0764284986894628,0.0123462393899505,0.0684294506496467
"UA",12707,0.010860155819627,0.0724797355788148,0.0128655210387505,0.0772176988571653,0.0109057908654222,0.0724907937005406,12705,0.00739866194411649,0.072805981896891,0.00908976054643358,0.0775537423378022,0.00746467191436754,0.0728156100619074
"US",6020,0.00930232558139535,0.0335548172757475,0.0121444294525423,0.0385255420900345,0.00941724635778974,0.0339368005266623,6021,0.00597907324364723,0.0513203786746388,0.00834686924759603,0.0573191744346881,0.00613496932515337,0.0515385881191377
"VX",4035,0.00867410161090459,0.0822800495662949,0.0121588696701807,0.0913610904862798,0.00885601673884483,0.0821803959912002,4038,0.00866765725606736,0.0465577018325904,0.0121498555531851,0.0536646115350426,0.00884955752212389,0.0469467513434294
"WN",73411,0.00814591818664778,0.066161746877171,0.00883728385607132,0.0680204389941249,0.00815663349036962,0.0661684838090571,73410,0.00751941152431549,0.0541888026154475,0.00818503902967355,0.0558845271044801,0.00753076810024331,0.0542046661040481
