"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",1501,0.00666222518321119,0.0552964690206529,0.0125584898391622,0.0683792799643524,0.00723258469737343,0.0560051380860629
"ALB",301,0.00664451827242525,0.0398671096345515,0.0261432259830384,0.0698673741323181,0.00903774587985114,0.0453781512605042
"ANC",146,0.00684931506849315,0.0273972602739726,0.0428619042659763,0.072,0.0108499095840868,0.0405940594059406
"ATL",4084,0.00489715964740451,0.0435847208619001,0.00767014567121023,0.0504489783967,0.00514522023466051,0.0440096618357488
"AUS",1121,0.00624442462087422,0.0526315789473684,0.0133119571618085,0.0677254297871109,0.00702223708409965,0.053695836873407
"BDL",239,0,0.0209205020920502,0.0198220718438235,0.0502663812306637,0.00445576066199873,0.0311864406779661
"BHM",365,0,0.0328767123287671,0.0130643674688631,0.0578319300918365,0.00318037255792821,0.038479809976247
"BNA",982,0.0112016293279022,0.0305498981670061,0.0204497029654142,0.0437409783618471,0.0117290957245554,0.0329479768786127
"BOI",718,0.00696378830083565,0.052924791086351,0.0169886271691388,0.0724289853572316,0.00806858295511851,0.0545219638242894
"BOS",959,0.0239833159541189,0.105318039624609,0.0362090796960386,0.126876006031222,0.0235931154515568,0.103645320197044
"BUF",608,0.00657894736842105,0.0460526315789474,0.0177694538081894,0.0664748139863928,0.007903981264637,0.0484939759036145
"BUR",3358,0.0119118522930316,0.0515187611673615,0.016323695979934,0.0597143734404461,0.0120587207270185,0.0519039250146456
"BWI",1645,0.00911854103343465,0.0723404255319149,0.0152841691250038,0.0862204171025703,0.0095337751424253,0.0724279835390946
"CLE",1085,0.00737327188940092,0.0645161290322581,0.0149636822655972,0.0811753532465544,0.00810205137045337,0.0650306748466258
"CLT",1698,0.00353356890459364,0.0447585394581861,0.0080161833053791,0.0559659396682367,0.00417324610872998,0.0457240592930445
"CMH",682,0.00586510263929619,0.0410557184750733,0.0158564261302027,0.0593472954862372,0.00713153724247227,0.0436314363143631
"CVG",439,0.00227790432801822,0.0979498861047836,0.0145651291780944,0.130286103629718,0.00466744457409568,0.0953535353535354
"DAL",1005,0.00796019900497512,0.0587064676616915,0.0161478063132072,0.0754618067584031,0.00870209220514719,0.0595664467483506
"DCA",361,0.0138504155124654,0.03601108033241,0.0335356617776345,0.0618770774252687,0.0146721687299404,0.0412470023980815
"DEN",6539,0.00718764337054595,0.0747820767701483,0.00962058368450587,0.0815561356449506,0.00731758942880469,0.0747839272175891
"DFW",4490,0.0140311804008909,0.0933184855233853,0.0180256965842961,0.102373642325501,0.0141067204065539,0.0930928288605367
"DSM",365,0,0.0410958904109589,0.0130643674688631,0.0678970682095982,0.00318037255792821,0.0456057007125891
"DTW",2619,0.00343642611683849,0.0568919434898816,0.00671724214005327,0.0666635620095875,0.0038601440130651,0.0572710280373832
"ELP",821,0.0048721071863581,0.0560292326431181,0.0131892515229612,0.0744815403158879,0.00602544074983263,0.0572405929304447
"EWR",1901,0.0142030510257759,0.0778537611783272,0.0208336148749152,0.0910817645580197,0.0143710150794454,0.0777721001532959
"FAT",286,0.00699300699300699,0.0384615384615385,0.0274907517465793,0.0691297285054705,0.00941306755260244,0.0444444444444444
"FLL",786,0.00127226463104326,0.0279898218829517,0.00817407335537761,0.0425923814671008,0.00278680910357641,0.0311163895486936
"GEG",708,0.00423728813559322,0.0367231638418079,0.0132814684904892,0.053894417618035,0.00561797752808989,0.0395287958115183
