"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ABQ",1507,0.0072992700729927,0.0643662906436629,0.0133554036491257,0.0782506913683234,0.00783718872456074,0.0647472808701216,1501,0.00666222518321119,0.0552964690206529,0.0125584898391622,0.0683792799643524,0.00723258469737343,0.0560051380860629
"ALB",301,0.00332225913621262,0.129568106312292,0.0211377801616935,0.173489997187346,0.00637958532695375,0.121008403361345,301,0.00664451827242525,0.0398671096345515,0.0261432259830384,0.0698673741323181,0.00903774587985114,0.0453781512605042
"ANC",146,0,0.0136986301369863,0.032063384449516,0.0529753752656867,0.00632911392405063,0.0306930693069307,146,0.00684931506849315,0.0273972602739726,0.0428619042659763,0.072,0.0108499095840868,0.0405940594059406
"ATL",4101,0.00780297488417459,0.0407217751767861,0.0111116950139818,0.0473712969959234,0.00799770125951822,0.0411835458263171,4084,0.00489715964740451,0.0435847208619001,0.00767014567121023,0.0504489783967,0.00514522023466051,0.0440096618357488
"AUS",1133,0.00441306266548985,0.0609002647837599,0.010796120288204,0.0767965235128722,0.00529713623572256,0.0615643397813289,1121,0.00624442462087422,0.0526315789473684,0.0133119571618085,0.0677254297871109,0.00702223708409965,0.053695836873407
"BDL",240,0.00416666666666667,0.129166666666667,0.0264046723149469,0.179032726465381,0.00761421319796954,0.118918918918919,239,0,0.0209205020920502,0.0198220718438235,0.0502663812306637,0.00445576066199873,0.0311864406779661
"BHM",365,0,0.0602739726027397,0.0130643674688631,0.0907153644234204,0.00318037255792821,0.0622327790973872,365,0,0.0328767123287671,0.0130643674688631,0.0578319300918365,0.00318037255792821,0.038479809976247
"BNA",976,0.0102459016393443,0.0686475409836066,0.0192710765394249,0.0867527752853375,0.0108447488584475,0.0689922480620155,982,0.0112016293279022,0.0305498981670061,0.0204497029654142,0.0437409783618471,0.0117290957245554,0.0329479768786127
"BOI",716,0.00279329608938547,0.0516759776536313,0.0110956575191302,0.0710375223534698,0.00429726996966633,0.0533678756476684,718,0.00696378830083565,0.052924791086351,0.0169886271691388,0.0724289853572316,0.00806858295511851,0.0545219638242894
"BOS",960,0.0197916666666667,0.1,0.0311875247137532,0.121126186248213,0.0197063369397218,0.0986220472440945,959,0.0239833159541189,0.105318039624609,0.0362090796960386,0.126876006031222,0.0235931154515568,0.103645320197044
