"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ANC",111,0,0.027027027027027,0.0417715150548425,0.0815116108580999
"AUS",512,0.001953125,0.052734375,0.0125077846373643,0.0764792610900022
"BOS",289,0.0311418685121107,0.0934256055363322,0.059752708312409,0.133868403565586
"IAD",64,0,0.046875,0.0703900321187786,0.136832063586421
"JFK",662,0.0302114803625378,0.0876132930513595,0.0468837714077029,0.112278725245862
"LAS",1318,0.0144157814871017,0.0728376327769348,0.0227625307617562,0.0885408550924228
"OAK",1158,0.0077720207253886,0.0423143350604491,0.015147829865034,0.0559086952623649
"PDX",861,0.00464576074332172,0.0301974448315912,0.0125802996983018,0.0444049833351394
"PHX",120,0.00833333333333333,0.0416666666666667,0.0517898434887936,0.0979030334804043
"SEA",1242,0.00966183574879227,0.0475040257648953,0.017207989500974,0.0611824539379389
"SFO",1093,0.0137236962488564,0.0622140896614822,0.0229553936098067,0.0785693023753031
"SLC",2201,0.00636074511585643,0.0336210813266697,0.0108711665359769,0.0422369540289664
"SMF",725,0.00689655172413793,0.0537931034482759,0.0168258385763049,0.0733071558402414
