"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ANC",111,0,0.036036036036036,0.0417715150548425,0.0936475488141951,111,0,0.027027027027027,0.0417715150548425,0.0815116108580999
"AUS",511,0.00782778864970646,0.0450097847358121,0.0211074915215516,0.0674840042720051,512,0.001953125,0.052734375,0.0125077846373643,0.0764792610900022
"BOS",290,0.0275862068965517,0.0724137931034483,0.055156681402113,0.109553875139635,289,0.0311418685121107,0.0934256055363322,0.059752708312409,0.133868403565586
"IAD",63,0,0.0317460317460317,0.0714312233292764,0.117593427028847,64,0,0.046875,0.0703900321187786,0.136832063586421
"JFK",662,0.0211480362537764,0.0981873111782477,0.0358908704377141,0.123912060072266,662,0.0302114803625378,0.0876132930513595,0.0468837714077029,0.112278725245862
"LAS",1319,0.0144048521607278,0.0720242608036391,0.022745367446201,0.0876506957525503,1318,0.0144157814871017,0.0728376327769348,0.0227625307617562,0.0885408550924228
"OAK",1158,0.00863557858376511,0.0492227979274611,0.0162584651773123,0.0636550813586253,1158,0.0077720207253886,0.0423143350604491,0.015147829865034,0.0559086952623649
"PDX",861,0.00232288037166086,0.0452961672473868,0.00923785055297423,0.0618486283800432,861,0.00464576074332172,0.0301974448315912,0.0125802996983018,0.0444049833351394
"PHX",121,0.00826446280991736,0.0330578512396694,0.0513782395343455,0.0862396652705015,120,0.00833333333333333,0.0416666666666667,0.0517898434887936,0.0979030334804043
"SEA",1242,0.00966183574879227,0.0410628019323672,0.017207989500974,0.0539704552276036,1242,0.00966183574879227,0.0475040257648953,0.017207989500974,0.0611824539379389
"SFO",1094,0.0155393053016453,0.111517367458867,0.0251749012005792,0.132036274695193,1093,0.0137236962488564,0.0622140896614822,0.0229553936098067,0.0785693023753031
"SLC",2200,0.00409090909090909,0.0359090909090909,0.00799304711784873,0.0447668519050151,2201,0.00636074511585643,0.0336210813266697,0.0108711665359769,0.0422369540289664
"SMF",725,0.0096551724137931,0.0593103448275862,0.0205251686419745,0.079555179414374,725,0.00689655172413793,0.0537931034482759,0.0168258385763049,0.0733071558402414
