"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ANC",111,0,0.036036036036036,0.0417715150548425,0.0936475488141951
"AUS",511,0.00782778864970646,0.0450097847358121,0.0211074915215516,0.0674840042720051
"BOS",290,0.0275862068965517,0.0724137931034483,0.055156681402113,0.109553875139635
"IAD",63,0,0.0317460317460317,0.0714312233292764,0.117593427028847
"JFK",662,0.0211480362537764,0.0981873111782477,0.0358908704377141,0.123912060072266
"LAS",1319,0.0144048521607278,0.0720242608036391,0.022745367446201,0.0876506957525503
"OAK",1158,0.00863557858376511,0.0492227979274611,0.0162584651773123,0.0636550813586253
"PDX",861,0.00232288037166086,0.0452961672473868,0.00923785055297423,0.0618486283800432
"PHX",121,0.00826446280991736,0.0330578512396694,0.0513782395343455,0.0862396652705015
"SEA",1242,0.00966183574879227,0.0410628019323672,0.017207989500974,0.0539704552276036
"SFO",1094,0.0155393053016453,0.111517367458867,0.0251749012005792,0.132036274695193
"SLC",2200,0.00409090909090909,0.0359090909090909,0.00799304711784873,0.0447668519050151
"SMF",725,0.0096551724137931,0.0593103448275862,0.0205251686419745,0.079555179414374
