"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",2817,0.0248491302804402,0.0951366702165424,0.0314613946401005,0.106788769364665,0.0246870894129037,0.094744169857292,2817,0.0209442669506567,0.0823571175008875,0.0271005640350021,0.0933349067878336,0.0208837563100754,0.082213713887922
"AS",382,0.00261780104712042,0.0235602094240838,0.016711434773041,0.0454353659013412,0.005249343832021,0.0301369863013699,382,0.00261780104712042,0.0209424083769634,0.016711434773041,0.042077962291467,0.005249343832021,0.0278538812785388
"DL",5299,0.00434044159275335,0.0300056614455558,0.00659558751463824,0.0350724040217252,0.00454021063600164,0.0304761904761905,5301,0.00301829843425769,0.0311262026032824,0.00498979712623607,0.0362743892866687,0.00323648673784457,0.0315848422624603
"EV",5487,0.0371787862219792,0.1013304173501,0.0426446545347375,0.109775862670243,0.036927834310165,0.101064405556558,5484,0.0350109409190372,0.113967906637491,0.0403352733486536,0.122837535859818,0.0347891782990358,0.113574007220217
"F9",681,0.00440528634361234,0.0851688693098385,0.0138040648141202,0.109194027313883,0.0058185665167945,0.0843962008141113,681,0,0.0763582966226138,0.00704276644629251,0.0994244566795424,0.00185136207352552,0.0762550881953867
"FL",386,0.0181347150259067,0.0362694300518135,0.0382829875547842,0.0611132792204845,0.018213356461405,0.0411764705882353,386,0.0103626943005181,0.0310880829015544,0.0278490999025682,0.0547378752176514,0.0117085862966175,0.0366515837104072
"MQ",12,0.25,0.666666666666667,0.544256202721739,0.867061459137964,0.0504587155963303,0.179411764705882,12,0.25,0.5,0.544256202721739,0.75,0.0504587155963303,0.15
"NK",762,0.0131233595800525,0.144356955380577,0.0246393225862686,0.171746092805971,0.0136168179646441,0.13960880195599,762,0.0131233595800525,0.143044619422572,0.0246393225862686,0.170345797208882,0.0136168179646441,0.13838630806846
"OO",2140,0.0233644859813084,0.0985981308411215,0.0308984307035316,0.112267349583167,0.0232033224990971,0.0979963570127504,2141,0.0242877160205511,0.102288650163475,0.0319397495687459,0.116157975163685,0.0240952982582799,0.101593081474738
"UA",428,0.0303738317757009,0.14018691588785,0.0523386574951094,0.177255100674432,0.0286168521462639,0.132644628099174,429,0.027972027972028,0.132867132867133,0.0493333565491535,0.169231774048944,0.0265767552558509,0.126185567010309
"US",2510,0.00836653386454183,0.0354581673306773,0.0129465737022713,0.0436476934131563,0.00866470679251122,0.0363211223694466,2511,0.004778972520908,0.043010752688172,0.00853378027648963,0.0518935684943706,0.00518134715025907,0.0437086092715232
"WN",22320,0.00913978494623656,0.0581989247311828,0.0105076442524889,0.0614139557721513,0.00917160820175752,0.0582409724705041,22321,0.00940818063706823,0.0628108059674746,0.0107942595621224,0.0661386454196508,0.00943910127610934,0.062841310273942
