"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ABQ",100,0,0.05,0.0461644104379188,0.116445397892612,0.00799086757990868,0.058974358974359,100,0.02,0.08,0.0761761798342662,0.153969296585393,0.0194063926940639,0.0782051282051282
"ALB",691,0.0115774240231548,0.0723589001447178,0.0234228634009641,0.0947801167736636,0.0122683372487601,0.0725568942436412,703,0.0142247510668563,0.0483641536273115,0.0266890452146744,0.0674547274036956,0.0146491904394757,0.0503293807641634
"ATL",8564,0.00665576833255488,0.0497431106959365,0.00867288831472366,0.0546603222196848,0.0067598851745532,0.049907192575406,8566,0.00653747373336446,0.0469297221573663,0.00853908013076201,0.0517200161236626,0.00664259593574966,0.0471120389700766
"AUS",1060,0.0113207547169811,0.0490566037735849,0.0201446611059683,0.064209712257514,0.0118040873854827,0.0503584229390681,1062,0.00564971751412429,0.0555555555555556,0.012791358165902,0.071451208207535,0.00650721069293,0.0565295169946333
"BDL",1801,0.0122154358689617,0.0882842865074958,0.0186884222749669,0.102614374462271,0.0124720179085385,0.0878836833602585,1804,0.0188470066518847,0.0798226164079823,0.0264822623208014,0.0935673800985854,0.0188378033205619,0.0796774193548387
"BHM",719,0.00417246175243394,0.0681502086230876,0.013079730718358,0.0895849145111105,0.00554016620498615,0.0686451612903226,720,0.00416666666666667,0.0958333333333333,0.0130616943956149,0.120172183595758,0.00553319919517103,0.0943298969072165
"BNA",1508,0.0125994694960212,0.0762599469496021,0.0199082552652011,0.0911239776046958,0.0128852956038403,0.0762148337595908,1507,0.0152621101526211,0.0716655607166556,0.0231084899294616,0.0861669248907744,0.0154215649096195,0.071785028790787
"BOS",3038,0.0184331797235023,0.0954575378538512,0.0240255233376598,0.106671391569272,0.0184376204548375,0.095087265675501,3039,0.0161237249095097,0.0865416255347154,0.0214139541164489,0.097307825351839,0.0161839316678441,0.0863327948303716
"BUF",1629,0.0098219766728054,0.0828729281767956,0.0161900714108758,0.0976153891332275,0.0102100692406994,0.0826112759643917,1631,0.0110361741263029,0.0619251992642551,0.017669356916375,0.075014088382717,0.0113702965654671,0.0623592175459395
"BWI",3295,0.0224582701062215,0.0804248861911988,0.0282611673841221,0.0904304044288085,0.0223725594920183,0.080334228588481,3292,0.0167071688942892,0.0859659781287971,0.0218351137619962,0.0962594454368255,0.0167498218104063,0.0857825567502987
"CLE",1274,0.00706436420722135,0.0918367346938776,0.0137751494828474,0.109371559481093,0.00770827156833679,0.0911278195488722,1276,0.00391849529780564,0.0681818181818182,0.00959141705749957,0.083750147556755,0.00473653049141504,0.0684684684684685
"CLT",3353,0.0077542499254399,0.0477184610796302,0.0114801243866971,0.0556550591460151,0.0079925325243568,0.048166617776474,3353,0.00447360572621533,0.0512973456606024,0.00751424043989088,0.0594843622656568,0.00478385158392159,0.0516867116456439
"CMH",1110,0.00900900900900901,0.0810810810810811,0.0169576184180143,0.0990791104394452,0.00961862976712791,0.0807890222984563,1110,0.0117117117117117,0.0702702702702703,0.0203713108310044,0.0872838966756206,0.0121498481268984,0.0704974271012007
"CVG",936,0.00747863247863248,0.0811965811965812,0.0159268165019113,0.100973197126432,0.00830696202531646,0.0808467741935484,935,0.00748663101604278,0.06524064171123,0.0159437452341471,0.0834214391757869,0.00831518511185904,0.0657921291624622
"DAL",778,0.0102827763496144,0.0475578406169666,0.0208235126282253,0.0654406157883416,0.0110173464603844,0.049400479616307,776,0.0077319587628866,0.047680412371134,0.0174714999657029,0.0656073618395212,0.00869360902255639,0.0495192307692308
"DAY",380,0.00789473684210526,0.0736842105263158,0.0245909507487555,0.105515213499951,0.00966608084358524,0.0738532110091743,379,0.0105540897097625,0.0554089709762533,0.028356278857859,0.084332125437113,0.011889035667107,0.0579310344827586
"DCA",3406,0.0135055783910746,0.0637110980622431,0.0181110081344797,0.0726190953914976,0.0136159944846605,0.063893703061814,3407,0.0114470208394482,0.0554740240680951,0.0157517005731456,0.0638685229302499,0.0116018608925392,0.0557897776494369
