"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",100,0,0.05,0.0461644104379188,0.116445397892612
"ALB",691,0.0115774240231548,0.0723589001447178,0.0234228634009641,0.0947801167736636
"ATL",8564,0.00665576833255488,0.0497431106959365,0.00867288831472366,0.0546603222196848
"AUS",1060,0.0113207547169811,0.0490566037735849,0.0201446611059683,0.064209712257514
"BDL",1801,0.0122154358689617,0.0882842865074958,0.0186884222749669,0.102614374462271
"BHM",719,0.00417246175243394,0.0681502086230876,0.013079730718358,0.0895849145111105
"BNA",1508,0.0125994694960212,0.0762599469496021,0.0199082552652011,0.0911239776046958
"BOS",3038,0.0184331797235023,0.0954575378538512,0.0240255233376598,0.106671391569272
"BUF",1629,0.0098219766728054,0.0828729281767956,0.0161900714108758,0.0976153891332275
"BWI",3295,0.0224582701062215,0.0804248861911988,0.0282611673841221,0.0904304044288085
"CLE",1274,0.00706436420722135,0.0918367346938776,0.0137751494828474,0.109371559481093
"CLT",3353,0.0077542499254399,0.0477184610796302,0.0114801243866971,0.0556550591460151
"CMH",1110,0.00900900900900901,0.0810810810810811,0.0169576184180143,0.0990791104394452
"CVG",936,0.00747863247863248,0.0811965811965812,0.0159268165019113,0.100973197126432
"DAL",778,0.0102827763496144,0.0475578406169666,0.0208235126282253,0.0654406157883416
"DAY",380,0.00789473684210526,0.0736842105263158,0.0245909507487555,0.105515213499951
"DCA",3406,0.0135055783910746,0.0637110980622431,0.0181110081344797,0.0726190953914976
"DEN",2941,0.0108806528391704,0.0850051003060184,0.0154819660687784,0.0958778544798283
"DFW",4007,0.0224606937858747,0.0895932118792114,0.027664434461204,0.0990400498620885
"DTW",2511,0.003584229390681,0.0521704500199124,0.00700545827911369,0.0618079398212186
"EWR",5186,0.0208252988816043,0.0985345160046278,0.0251931976067489,0.107129480329622
"FLL",362,0.00828729281767956,0.0635359116022099,0.025796403090207,0.0946787696429278
"GRR",305,0.00983606557377049,0.140983606557377,0.0305365891918862,0.185763963700964
"HOU",1499,0.0100066711140761,0.0660440293529019,0.0167660967203932,0.0801148813991743
"HPN",1346,0.0304606240713224,0.101783060921248,0.0414106076031237,0.119505755169471
"IAD",1761,0.00965360590573538,0.11130039750142,0.015677477581481,0.127205111103899
"IAH",2697,0.0096403411197627,0.0982573229514275,0.0142643494314261,0.110338018414911
"IND",1358,0.00515463917525773,0.0618556701030928,0.0109986368239761,0.0763231503918123
"JFK",5662,0.0206640762981279,0.13069586718474,0.0248124070863494,0.139920052010507
"LAS",817,0.00244798041615667,0.0501835985312118,0.00973233116676236,0.067925470668893
"LAX",2335,0.00471092077087794,0.0565310492505353,0.00863233656460326,0.0668998376073843
"LGA",4125,0.0254545454545455,0.114424242424242,0.0308593708190638,0.124719687558392
"MCI",932,0.00643776824034335,0.0793991416309013,0.0145647732709822,0.09905209058104
"MDW",2891,0.0242130750605327,0.0812867519889312,0.0306591368385086,0.0920560973278071
"MEM",502,0.0099601593625498,0.0697211155378486,0.0242189206534338,0.0962693586731536
"MIA",3281,0.00457177689728741,0.0569948186528497,0.00767879645230686,0.0656599003377848
"MKE",1375,0.00872727272727273,0.088,0.0155512918778135,0.104545867418565
"MSN",21,0.0476190476190476,0.238095238095238,0.249984614474175,0.459599554565149
"MSP",1620,0.00185185185185185,0.0351851851851852,0.00582835357271835,0.0456161659153519
"MSY",1271,0.004720692368214,0.0613690007867821,0.0106973171213072,0.0763280343599883
"OMA",109,0.018348623853211,0.119266055045872,0.0701642980716929,0.196580146539944
"ORD",4250,0.0148235294117647,0.111529411764706,0.0190411029892977,0.12156116432033
"ORF",465,0.00645161290322581,0.0881720430107527,0.0201454869943032,0.118335204824143
"PHL",4912,0.0193403908794788,0.0934446254071661,0.0236986197681607,0.10209089143526
"PHX",1396,0.00859598853868195,0.0472779369627507,0.0153184315625675,0.0600620763087296
"PIT",1634,0.0104039167686659,0.0905752753977968,0.0168907749149145,0.105828090246631
"PVD",2195,0.0173120728929385,0.0938496583143508,0.0238897400881791,0.107069738578816
"RDU",1118,0.00715563506261181,0.0608228980322004,0.014524338633526,0.0768296028469632
"RIC",752,0.00531914893617021,0.074468085106383,0.0143908734983369,0.0960788482180081
"ROC",426,0.00469483568075117,0.0446009389671361,0.0185612834413693,0.0696245346646677
"SAN",622,0.00321543408360129,0.0401929260450161,0.0127591053788807,0.0593701589521661
"SAT",530,0,0.1,0.00903207017975647,0.12930300552813
"SDF",395,0.00506329113924051,0.0886075949367089,0.0199997477951686,0.121773781315863
"SEA",465,0.0043010752688172,0.0387096774193548,0.0170211213319655,0.061303805535925
"SFO",858,0.00815850815850816,0.0780885780885781,0.0173649597520889,0.0985318625946976
"SJU",3599,0.00388996943595443,0.0555709919422062,0.00665618019999662,0.0637293986213929
"SLC",1084,0.000922509225092251,0.033210332103321,0.0059368772454127,0.0460584680968225
"STL",1528,0.00916230366492147,0.0660994764397906,0.015638456198079,0.0800284450147902
