"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",717,0.0292887029288703,0.0711297071129707,0.0449895082059151,0.0929470907554383,0.0282756879575865,0.0714100905562743
"ALB",727,0.0247592847317744,0.0715268225584594,0.0394269038136524,0.0932198129165412,0.0241834953876839,0.0717752234993614
"ATL",4947,0.0218314129775622,0.0727713765918739,0.0264071594671281,0.0805160684494253,0.0217832822269125,0.072796322206676
"AUS",965,0.0238341968911917,0.0673575129533679,0.0359857152588837,0.0854433491117244,0.0234570274947126,0.0677766895200784
"BDL",963,0.0269989615784008,0.063343717549325,0.0397400842649216,0.0810224277815389,0.0263918320169524,0.0639842983316977
"BHM",693,0.0202020202020202,0.0894660894660895,0.0343007816539031,0.113698334249675,0.0200468627961468,0.0883845126835781
"BNA",2274,0.0391380826737027,0.0949868073878628,0.0481535676831044,0.108025090731493,0.038481185084284,0.0945064377682403
"BOI",64,0.015625,0.09375,0.0939239071643072,0.195789548724126,0.0172413793103448,0.085
"BOS",1472,0.0298913043478261,0.0869565217391304,0.0402111202473659,0.102829367323665,0.0293433298862461,0.0865183246073298
"BUF",1119,0.0259159964253798,0.064343163538874,0.0373826866159362,0.0807018182374778,0.0254563724669235,0.0648510638297872
"BWI",2185,0.0503432494279176,0.105263157894737,0.060583564494054,0.119142797328239,0.0492876736571985,0.104506916555109
"CHS",606,0.0214521452145215,0.0676567656765677,0.0371313714931182,0.0912199751195348,0.0211391661773341,0.0682779456193354
"CLE",1993,0.0230807827395886,0.0617160060210738,0.0308907696155731,0.0734349278465064,0.0229184798375399,0.0620790629575403
"CLT",688,0.0276162790697674,0.059593023255814,0.0433887477024197,0.0804925889791477,0.0267295597484277,0.060752688172043
"CMH",2032,0.0295275590551181,0.0964566929133858,0.0380679684450744,0.110382652165208,0.0291381928625664,0.0958812260536398
"DAL",1495,0.0187290969899666,0.071571906354515,0.027247684822418,0.0861288312738828,0.0187237294612151,0.0716956802063185
"DCA",2699,0.0655798443868099,0.114116339384957,0.0757887538573989,0.126945201104501,0.0643068271934251,0.113321234119782
"DEN",3422,0.0248392752776154,0.0876680303915839,0.0307695198800249,0.0978368612402046,0.0247054786686492,0.0874640598044853
"DSM",702,0.0199430199430199,0.066951566951567,0.0338651967871039,0.0885346013585835,0.0198147195059187,0.0675461741424802
"DTW",3062,0.0186152841280209,0.0829523187459177,0.0242054020811617,0.0934882394131713,0.0186153257682009,0.0828094932649134
"EWR",1944,0.0581275720164609,0.131172839506173,0.0697150420361693,0.147265225482128,0.0566561014263074,0.1296
"FLL",1211,0.0156895127993394,0.074318744838976,0.0247618116411656,0.0908993816419071,0.0158606748561654,0.0743488555643252
"GEG",87,0.0114942528735632,0.0804597701149425,0.0704013462528633,0.161489821522988,0.0147965474722565,0.0783216783216783
"GSP",688,0.0218023255813953,0.059593023255814,0.0363356809797176,0.0804925889791477,0.0214884696016771,0.060752688172043
"HOU",2274,0.0241864555848725,0.06948109058927,0.031566971265949,0.080945395795497,0.0240081729950621,0.0696137339055794
"IAD",1070,0.0233644859813084,0.0794392523364486,0.0346935231236029,0.0976566423947672,0.0230527418791477,0.0792184724689165
"ICT",668,0.0239520958083832,0.0748502994011976,0.0392423628728473,0.0979954902165675,0.0234122712594187,0.0748618784530387
"JAX",365,0.0246575342465753,0.0657534246575342,0.0475166178389031,0.0971062233989397,0.0236256247160382,0.0669833729216152
"LAS",2992,0.018716577540107,0.0681818181818182,0.024393655142534,0.078004325401655,0.0187141366718831,0.0683070866141732
"LAX",2067,0.019351717464925,0.0672472181906144,0.0264748326437801,0.079153062811882,0.019325926617496,0.0674517192651908
"LGA",2517,0.0476758045292014,0.12673818037346,0.0569415193067651,0.140608483119674,0.0468328061106396,0.125612125923047
"LIT",363,0.0358126721763085,0.107438016528926,0.0615422860416445,0.144604179304148,0.0328617069831127,0.103102625298329
"MCI",2850,0.0245614035087719,0.071578947368421,0.0310985041316572,0.0818675649327763,0.0244085874470122,0.0716448726772195
"MCO",2891,0.0242130750605327,0.0812867519889312,0.0306591368385086,0.0920560973278071,0.0240712022115838,0.0811672887682389
"MEM",688,0.0305232558139535,0.0799418604651163,0.0468654870762662,0.103272293589422,0.0293501048218029,0.0795698924731183
"MSP",3301,0.0254468342926386,0.0811875189336565,0.0315595570155275,0.0912231106660559,0.0252947100290267,0.0810843014596366
"MSY",951,0.0210304942166141,0.0588853838065195,0.0327457073284008,0.0761903384164001,0.0208536347690509,0.0597815292949355
"OAK",1093,0.0182982616651418,0.0466605672461116,0.028519863504398,0.0612617478973399,0.0183187810306454,0.0480417754569191
"OKC",507,0.0236686390532544,0.0788954635108481,0.0418397097746925,0.106491973211972,0.0230161456544143,0.0785079928952043
"OMA",1813,0.0237175951461666,0.066188637617209,0.0320579142848783,0.0788861921032201,0.0235144582141722,0.0664526484751204
"ONT",356,0.0168539325842697,0.050561797752809,0.0377601310840022,0.0797007496488987,0.0171614100185529,0.0538834951456311
"ORF",586,0.0273037542662116,0.0733788395904437,0.0446692242345128,0.0981264720457372,0.0263157894736842,0.0735202492211838
"PBI",7,0,0,0.414400781478848,0.414400781478848,0.0170316301703163,0.0666666666666667
"PDX",680,0.0220588235294118,0.0426470588235294,0.0367589059120909,0.0612284542759154,0.0217161016949153,0.0451086956521739
"PHL",2079,0.0418470418470418,0.121212121212121,0.0515892837031732,0.136278541259833,0.0410361154953115,0.12
"PHX",2456,0.0175081433224756,0.0586319218241042,0.0236963944905313,0.0688772357151091,0.0175410872313527,0.0589968152866242
"PIT",1950,0.0256410256410256,0.058974358974359,0.0338940678982214,0.0706118936575584,0.0253802093620383,0.0594217347956132
"PNS",17,0.0588235294117647,0.176470588235294,0.295577852521385,0.423980966275911,0.0260303687635575,0.0986301369863014
"PVD",982,0.0336048879837067,0.0631364562118126,0.0472822102331199,0.0806004247920868,0.0325387816874763,0.063776493256262
"RDU",1151,0.0234578627280626,0.050390964378801,0.0343153750007457,0.0650079475141313,0.0231609851573968,0.0515327257663629
"RNO",247,0.0121457489878543,0.0566801619433198,0.0375592378574956,0.0945849465317301,0.0136561142147734,0.0600660066006601
"ROC",681,0.0220264317180617,0.0646108663729809,0.0367054644309616,0.0862792552491634,0.0216873842898704,0.0654002713704206
"RSW",1226,0.0179445350734095,0.0823817292006525,0.0273999172602889,0.0995360474028937,0.0179833999385183,0.0820592823712949
"SAN",1280,0.01875,0.0484375,0.0281107942401159,0.0619907705428277,0.0187426210153483,0.0495508982035928
"SAT",750,0.0186666666666667,0.0693333333333333,0.0317170613080274,0.0903990442314025,0.0186621425109065,0.069727047146402
"SDF",1282,0.0218408736349454,0.078003120124805,0.0317464413790337,0.0943867912538438,0.0216622458001768,0.0778774289985052
"SEA",1093,0.0192131747483989,0.0548947849954254,0.029617666087709,0.0704617340077348,0.0191747988358158,0.0558746736292428
"SFO",853,0.022274325908558,0.101992966002345,0.0350667014101475,0.124692401081496,0.021978021978022,0.1003300330033
"SJC",365,0.0136986301369863,0.0602739726027397,0.0331736365924439,0.0907153644234204,0.0145388459791004,0.0622327790973872
"SLC",807,0.023543990086741,0.0557620817843866,0.0370477337940031,0.0743626055136351,0.0231240081614146,0.0570104287369641
"SMF",434,0.0184331797235023,0.0483870967741935,0.0371048866166129,0.0738274687645083,0.0184603299293009,0.0514285714285714
"SNA",3,0,0,0.627208174095541,0.627208174095541,0.0179028132992327,0.0711864406779661
"STL",2563,0.0284822473663675,0.0780335544284042,0.0358650587825616,0.089319835390729,0.0282010461678417,0.0779686903398244
"TPA",1544,0.0194300518134715,0.0783678756476684,0.0279044963093093,0.0932051752162035,0.0193922924901186,0.07825
"TUL",365,0.0246575342465753,0.0383561643835616,0.0475166178389031,0.0645654098577451,0.0236256247160382,0.0432304038004751
"TUS",524,0.0229007633587786,0.0458015267175573,0.040498934941093,0.0680753434984957,0.0223631508678238,0.0486206896551724
"TYS",28,0,0.0714285714285714,0.148081649610182,0.241926793336686,0.0135658914728682,0.0738095238095238
