"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",3290,0.00668693009118541,0.0398176291793313,0.0102496053058564,0.0472357874103685,0.00695352430761916,0.040406455469217
"BWI",420,0.00952380952380952,0.0523809523809524,0.0256230976235419,0.0790486297844758,0.0109046849757674,0.0550420168067227
"CLT",697,0.0114777618364419,0.0559540889526542,0.023222941984101,0.0762141242533838,0.0121730121730122,0.0573705179282869
"CVG",26,0,0.0769230769230769,0.157750673475196,0.257459911500168,0.0138339920948617,0.075609756097561
"DAL",168,0.0119047619047619,0.148809523809524,0.0462396207256634,0.21245249752589,0.0139802631578947,0.130357142857143
"DEN",931,0.0171858216970999,0.083780880773362,0.0282387250733647,0.103856843451543,0.0172927847346452,0.0832826747720365
"DFW",1528,0.0196335078534031,0.0948952879581152,0.0281951214860619,0.111002618022107,0.0195858283433134,0.0941919191919192
"DTW",234,0,0.0299145299145299,0.020237470189119,0.0625439553091568,0.00452781371280724,0.0386206896551724
"EWR",1009,0.0614469772051536,0.135777998017839,0.078466263466201,0.158837347217517,0.0584762958863678,0.132582159624413
"HOU",566,0.0106007067137809,0.106007067137809,0.0238895030737988,0.134854201427655,0.0115408608858391,0.103215434083601
"IAD",98,0,0.0714285714285714,0.0470643153730982,0.144403747684249,0.00808314087759815,0.0727272727272727
"IAH",1539,0.0253411306042885,0.0779727095516569,0.0347601825199127,0.092805846002057,0.0250278775864205,0.0778683385579937
"LAS",91,0,0.010989010989011,0.0505104824903399,0.0674628053148122,0.00842358604091456,0.0353741496598639
"LAX",281,0.00355871886120996,0.0249110320284698,0.0226169167295828,0.0522965024133323,0.00673778775968557,0.0332344213649852
"LGA",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"MCO",502,0.0099601593625498,0.0697211155378486,0.0242189206534338,0.0962693586731536,0.0110880110880111,0.0702508960573477
"MDW",688,0.0261627906976744,0.107558139534884,0.0416388320461769,0.133598714648812,0.02541928721174,0.10510752688172
"MIA",334,0.0209580838323353,0.0389221556886228,0.0441407674169968,0.0667814741963126,0.0205278592375367,0.0441025641025641
"MSP",365,0,0.0602739726027397,0.0130643674688631,0.0907153644234204,0.00318037255792821,0.0622327790973872
"MSY",2,0,0,0.718233512793084,0.718233512793084,0.0181347150259067,0.0724137931034483
"ORD",2404,0.0561564059900166,0.145590682196339,0.0663346034670643,0.160578263637765,0.0550177476605357,0.143983739837398
"PIT",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"RDU",4,0,0,0.556186217847897,0.556186217847897,0.0176767676767677,0.07
"SLC",131,0.00763358778625954,0.0458015267175573,0.0475955211430422,0.0999013645748437,0.011639185257032,0.0545454545454545
"TPA",365,0.00547945205479452,0.0712328767123288,0.0216213027333306,0.103451386367894,0.00772376192639709,0.0717339667458432
