"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",3290,0.00759878419452888,0.0428571428571429,0.0113386842122309,0.0505135477769764,0.00784500178295495,0.0433950986252241
"BWI",421,0.0190023752969121,0.106888361045131,0.0382346020598405,0.141013994892528,0.01894397420395,0.10314465408805
"CLT",695,0.0215827338129496,0.0460431654676259,0.0359732735591362,0.0649137990167739,0.0212931706050377,0.048202396804261
"CVG",27,0,0.0740740740740741,0.152763434119102,0.24945245487192,0.0136986301369863,0.0746987951807229
"DAL",168,0.0178571428571429,0.0952380952380952,0.0546898522513422,0.151331495016168,0.0180921052631579,0.0901785714285714
"DEN",967,0.0227507755946225,0.0847983453981386,0.03468188911103,0.104551498550941,0.0224525043177893,0.0842619745845552
"DFW",1528,0.0255235602094241,0.087696335078534,0.0350089578098997,0.10330580370529,0.0251996007984032,0.0872474747474747
"DTW",230,0.00434782608695652,0.0521739130434783,0.0275291632617995,0.0908376176301977,0.00786369593709043,0.0566433566433566
"EWR",1000,0.059,0.141,0.0758351960935668,0.164489949369711,0.0561755952380952,0.1375
"HOU",565,0.0141592920353982,0.0513274336283186,0.0285917977336171,0.0735113183925759,0.0146829115901281,0.0534621578099839
"IAD",98,0,0.0918367346938776,0.0470643153730982,0.169268365195272,0.00808314087759815,0.0857142857142857
"IAH",1579,0.032298923369221,0.0892970234325522,0.0425233109933756,0.104744605173175,0.0316769435376617,0.0888073394495413
"LAS",89,0,0.0337078651685393,0.0515897702781868,0.100540391937992,0.00852618757612668,0.0496551724137931
"LAX",284,0,0.0140845070422535,0.0167312121095415,0.0376655550604734,0.00389755011135857,0.0241176470588235
"MCI",22,0.0454545454545455,0.181818181818182,0.240697151387854,0.396026509393715,0.0246913580246914,0.105128205128205
"MCO",502,0.0099601593625498,0.049800796812749,0.0242189206534338,0.0733423695686453,0.0110880110880111,0.0523297491039426
"MDW",688,0.0305232558139535,0.0799418604651163,0.0468654870762662,0.103272293589422,0.0293501048218029,0.0795698924731183
"MIA",334,0.029940119760479,0.0808383233532934,0.055633449601726,0.11626606149655,0.0278592375366569,0.08
"MSP",367,0.00544959128065395,0.0463215258855586,0.0215050625876299,0.0741014343889036,0.00768882858435097,0.0501182033096927
"MSY",2,0,0,0.718233512793084,0.718233512793084,0.0181347150259067,0.0724137931034483
"ORD",2321,0.0680741059887979,0.164153382162861,0.079317088310123,0.180116964262032,0.0665219931558301,0.162053007993269
"RDU",2,0,0,0.718233512793084,0.718233512793084,0.0181347150259067,0.0724137931034483
"SLC",129,0,0.0155038759689922,0.036143460148887,0.0596946649182385,0.00685602350636631,0.0335135135135135
"TPA",365,0.00547945205479452,0.063013698630137,0.0216213027333306,0.093916818189003,0.00772376192639709,0.0646080760095012
